date,FUTU SECURITIES INTERNATIONAL,ARISTO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCOM INTERNATIONAL SECURITIES LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,2.962313,0.0,0.0,0.0,0.0,0.0,1.01,0.0,3.972313
2024-03-04,3.091513,0.0,2.1736,2.4544,0.0,0.0,1.01,1.0608,9.790313000000001
2024-03-05,3.169113,0.0,2.1736,2.4536,0.0,0.0,1.01,1.0608,9.867113
2024-03-06,3.1899129999999998,0.0,2.1736,2.4536,0.0,0.0,1.01,1.0608,9.887913
2024-03-07,3.209513,0.0,2.1736,2.4536,0.0,0.0,1.01,1.0836000000000001,9.930313
2024-03-08,3.2067129999999997,0.0,2.1736,2.4536,0.0,0.0,1.01,1.0836000000000001,9.927513000000001
2024-03-11,3.2599129999999996,0.0,2.1728,2.4536,0.0,0.0,1.01,1.0836000000000001,9.979913
2024-03-12,3.265113,0.0,2.1728,2.4496,0.0,0.0,1.01,1.0856,9.983113000000001
2024-03-13,3.271913,0.0,2.1728,2.4496,0.0,0.0,1.01,1.086,9.990313
2024-03-14,3.2743130000000003,0.0,2.1728,2.4496,0.0,0.0,1.0096,1.086,9.992313
2024-03-15,3.276713,0.0,2.174,2.4496,0.0,0.0,1.0096,1.086,9.995913
2024-03-18,3.297113,0.0,2.1756,2.4496,0.0,0.0,1.0096,1.0856,10.017513000000001
2024-03-19,3.333113,0.0,2.1768,2.4496,0.0,0.0,1.0096,1.0428,10.011913
2024-03-20,3.346313,0.0,2.1768,2.4496,0.0,0.0,1.0096,1.0276,10.009913
2024-03-21,3.368713,0.0,2.1768,2.4516,0.0,0.0,1.0031999999999999,1.0276,10.027913
2024-03-22,3.403913,0.0,2.152,2.4528000000000003,0.0,0.0,1.0012,1.0456,10.055513000000001
2024-03-25,3.405113,0.0,2.15,2.4512,1.2902,0.0,1.0012,1.0448000000000002,11.342513
2024-03-26,3.407113,0.0,2.15,2.4408,1.2918,0.0,1.002,1.0448000000000002,11.336513
2024-03-27,3.4103130000000004,0.0,2.15,2.4432,1.2918,0.0,0.9979999999999999,1.0448000000000002,11.338113
2024-03-28,3.416313,0.0,2.15,2.442,1.2918,0.0,1.0024,1.0448000000000002,11.347313
2024-04-02,3.428713,0.0,2.15,2.442,1.2918,0.0,0.9967999999999999,1.0448000000000002,11.354113
2024-04-03,3.4299129999999995,0.0,2.152,2.442,1.2918,0.0,0.9967999999999999,1.0448000000000002,11.357313
2024-04-05,3.432313,0.0,2.152,2.442,1.2918,0.0,0.9967999999999999,1.0448000000000002,11.359713000000001
2024-04-08,3.443113,0.0,2.152,2.4484,1.2918,0.0,0.9967999999999999,1.0448000000000002,11.376913
2024-04-09,3.465513,0.0,2.152,2.4459999999999997,1.2918,0.0,0.9967999999999999,1.0448000000000002,11.396913
2024-04-10,3.4707130000000004,0.0,2.152,2.4459999999999997,1.2918,0.0,0.9967999999999999,1.044,11.401313
2024-04-11,3.481113,0.0,2.1612,2.4516,1.2918,0.0,0.9964000000000001,1.044,11.426113
2024-04-12,3.4855129999999996,0.0,2.1683999999999997,2.4516,1.295,0.0,0.9964000000000001,1.044,11.440913
2024-04-15,3.4895130000000005,0.0,2.1664,2.4516,1.295,0.0,0.9964000000000001,1.044,11.442913
2024-04-17,3.4895130000000005,0.0,2.1664,2.4516,1.295,0.0,0.9952000000000001,1.044,11.441713
2024-04-19,3.481513,0.0,2.166,2.4516,1.295,0.0,0.9952000000000001,1.044,11.433313
2024-04-22,3.485113,0.0,2.166,2.4516,1.295,0.0,0.9952000000000001,1.044,11.436913
2024-04-23,3.513113,0.0,2.17,2.4516,1.295,0.0,0.9952000000000001,1.016,11.440913
2024-04-24,3.517113,0.0,2.17,2.4516,1.295,0.0,0.9952000000000001,1.016,11.444913
2024-04-29,3.517113,0.0,2.1688,2.4516,1.295,0.0,0.9952000000000001,1.016,11.443712999999999
2024-05-02,3.517113,0.0,2.1668,2.4516,1.295,0.0,0.9952000000000001,1.016,11.441713
2024-05-03,3.5091129999999997,0.0,2.1668,2.4516,1.295,2.004,1.0552000000000001,1.016,13.497713000000001
2024-05-06,3.5091129999999997,0.0,2.1668,2.4516,1.295,2.004,1.0952,0.972,13.493713
2024-05-07,3.517113,0.0,2.1668,2.4512,1.295,2.004,1.0928,0.964,13.490912999999999
2024-05-08,3.629113,7.392600000000001,2.1668,2.4792,1.295,2.004,1.0928,0.964,21.023512999999998
2024-05-09,3.6371130000000003,7.392600000000001,2.1508,2.4788,1.295,2.004,1.0928,0.964,21.015113
2024-05-10,3.644313,7.392600000000001,2.1508,2.476,1.295,2.004,1.0928,0.964,21.019513
2024-05-14,3.808313,7.392600000000001,2.1908,2.5267999999999997,0.9642,2.004,1.0928,0.964,20.943513
2024-05-16,3.8283129999999996,7.392600000000001,2.1904,2.5008,0.9642,2.004,1.0928,0.964,20.937113
2024-05-17,3.836313,7.392600000000001,2.1904,2.5008,0.9642,2.004,1.0928,0.964,20.945113000000003
2024-05-20,3.8283129999999996,7.392600000000001,2.1904,2.5008,0.9642,2.004,1.0928,0.976,20.949113
2024-05-21,3.8283129999999996,7.3726,2.1904,2.5008,0.9642,2.004,1.1008,0.976,20.937113
2024-05-22,3.824313,7.3686,2.1904,2.4968,0.9642,2.004,1.1008,0.976,20.925113
2024-05-23,3.824313,7.3366,2.1904,2.4968,0.9642,2.004,1.1328,0.976,20.925113
2024-05-24,3.824313,7.3326,2.1904,2.4968,0.9642,2.004,1.1328,0.976,20.921113
2024-05-27,3.840313,7.3126,2.1904,2.4968,0.9642,2.004,1.1328,0.976,20.917113
2024-05-28,3.8483129999999997,7.3126,2.1904,2.5048,0.9642,2.004,1.1328,0.97,20.927113
2024-05-30,3.840313,7.3126,2.1904,2.5048,0.9642,2.004,1.1328,0.97,20.919113
2024-05-31,3.844313,7.3086,2.1904,2.5048,0.9642,2.004,1.1328,0.97,20.919113
2024-06-04,3.8483129999999997,7.3086,2.1904,2.5048,0.9642,2.004,1.1328,0.97,20.923112999999997
2024-06-05,5.741013,7.3086,2.1904,2.5048,0.9642,2.004,1.1328,0.97,22.815813
2024-06-06,5.745013,7.3086,2.1904,2.5048,0.9642,2.004,1.1328,0.97,22.819813
2024-06-07,5.741013,7.3086,2.1904,2.5048,0.9642,2.004,1.1328,0.97,22.815813
2024-06-11,5.745013,7.3086,2.1904,2.5048,0.9642,2.004,1.1288,0.97,22.815813
2024-06-12,5.749013,7.3086,2.1904,2.5048,0.9642,2.004,1.1288,0.97,22.819813
2024-06-13,5.761013,7.3086,2.1904,2.5048,0.9642,2.004,1.1128,0.9696,22.815413
2024-06-18,5.757013,7.3086,2.1904,2.5048,0.9642,2.004,1.1128,0.9696,22.811412999999998
2024-06-19,5.757013,7.3086,2.1904,2.5048,0.9642,2.004,1.1088,0.9696,22.807413
2024-06-20,5.736212999999999,7.3086,2.1944000000000004,2.4928,0.9642,2.004,1.0688,0.9696,22.738613
2024-06-21,5.784213,7.3086,2.1944000000000004,2.4928,0.9642,2.004,1.0688,0.9696,22.786613
2024-06-24,5.776213,7.3086,2.1944000000000004,2.4928,0.9642,2.004,1.0688,0.9696,22.778613
2024-07-02,5.840212999999999,7.3086,2.1944000000000004,2.4928,0.9642,2.004,1.0688,0.9776,22.850613
2024-07-03,5.924213,7.3086,2.1904,2.5128,0.9642,2.004,1.0688,0.9776,22.950613
2024-07-04,5.924213,7.3086,2.1904,2.5124,0.9642,2.004,1.0688,0.9776,22.950213
2024-07-08,6.084213,7.3086,2.1904,2.5364,0.9642,2.004,1.0688,0.9776,23.134213
2024-07-09,6.0802130000000005,7.3086,2.1904,2.5364,0.9625999999999999,2.004,1.0688,0.9776,23.128613
2024-07-11,6.076213,7.3086,2.1944000000000004,2.5364,0.9625999999999999,2.004,1.0684,0.9776,23.128213
2024-07-12,6.076213,7.3086,2.1904,2.5364,0.9625999999999999,2.004,1.0684,0.9776,23.124212999999997
2024-07-16,6.076213,7.3086,2.1984,2.5364,0.9625999999999999,2.004,1.0684,0.9816,23.136213
2024-07-17,6.0642130000000005,7.3086,2.2064,2.5364,0.9625999999999999,2.004,1.0684,0.9816,23.132213
2024-07-18,6.0642130000000005,7.3086,2.2064,2.5364,0.9625999999999999,2.004,1.0684,0.9795999999999999,23.130212999999998
2024-07-19,6.060213,7.3086,2.2064,2.5364,0.9594,2.004,1.0684,0.9795999999999999,23.123013
2024-07-23,6.0802130000000005,7.3086,2.2064,2.5364,0.9594,2.004,1.0684,0.9795999999999999,23.143013
2024-07-26,6.076213,7.3086,2.2064,2.5364,0.9594,2.004,1.0684,0.9795999999999999,23.139013
2024-07-30,6.0802130000000005,7.3086,2.2024,2.5364,0.9594,2.004,1.0684,0.9795999999999999,23.139013
2024-08-02,6.084213,7.3086,2.2024,2.5364,0.9594,2.004,1.0684,0.9795999999999999,23.143013
2024-08-05,6.0802130000000005,7.3086,2.2024,2.5364,0.9594,2.004,1.0684,0.9795999999999999,23.139013
2024-08-07,6.112213,7.3086,2.2024,2.5084,0.9594,2.004,1.0684,0.9795999999999999,23.143013
2024-08-12,6.116213,7.3086,2.1984,2.4844,0.9594,2.004,1.0684,0.9795999999999999,23.119013
2024-08-13,6.116213,7.3086,2.1984,2.4804,0.9594,2.004,1.0684,0.9795999999999999,23.115013
2024-08-14,6.128213,7.3086,2.1864000000000003,2.4804,0.9594,2.004,1.0604,0.9795999999999999,23.107013000000002
