date,EMPEROR SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-06,70.46222988051755,0.0,0.0,29.537770119482442,0.0,0.0,0.0
2024-03-07,55.73773754272025,0.0,20.923269775049018,23.338992682230742,0.0,0.0,0.0
2024-03-08,55.75238344210152,0.0,20.928767667811844,23.318848890086645,0.0,0.0,0.0
2024-03-11,55.74819811408774,0.0,20.927196546503556,23.324605339408702,0.0,0.0,0.0
2024-03-12,55.74610568571625,0.0,20.926411074304074,23.327483239979674,0.0,0.0,0.0
2024-03-13,51.90018792356014,0.0,19.482700252554817,21.690167411463985,0.0,0.0,6.926944412421067
2024-03-14,51.811473102233464,0.0,19.449397786012458,21.667045400708528,0.0,0.0,7.072083711045553
2024-03-15,39.50594339397227,23.801259746654694,14.829918380445333,16.47045625972709,0.0,0.0,5.392422219200618
2024-03-18,39.503841857177314,23.799993627715956,14.829129496129074,16.4748996521525,0.0,0.0,5.392135366825154
2024-03-19,36.90540597644428,22.271778786945564,14.455043804498072,15.09553987587829,0.0,6.182592286884067,5.08963926934973
2024-03-20,35.08318531758551,21.11540873030412,13.74129603495302,13.306128401746237,6.038321352168338,5.877324072312689,4.838336090930081
2024-03-21,35.162131578382734,21.05153545058001,13.668049806264282,13.343172983334448,6.051909140390258,5.873977439779506,4.849223601268766
2024-03-22,35.20296876328903,21.06413364805668,13.622298701698526,13.37052068802764,6.058937807922865,5.826284917265522,4.854855473739738
2024-03-25,35.1147461495721,21.011344551244704,13.588159683356704,13.705836814700445,6.0437534257942565,5.693470717464633,4.842688657867154
2024-03-26,35.091142750635804,20.99722116429158,13.549374519851176,13.793493435183363,6.039690940974515,5.689643685365238,4.839433503698331
2024-03-27,35.15093875531757,20.962000018351347,13.572462923326137,13.717596662769848,6.049982694376488,5.699338951286482,4.847679994572129
2024-03-28,35.1695002617324,21.01971753113242,13.579629882916322,13.672745492291213,6.053177396895616,5.702348495846329,4.802880939185697
2024-04-02,35.17699700606524,21.024198102283748,13.582524522095415,13.654343941197688,6.0544676945401115,5.703564010666043,4.803904723151752
2024-04-03,36.02424016556436,21.620251624399483,14.448121117526682,10.87130305690268,6.27554136808047,5.840935190814508,4.919607476711815
2024-04-05,36.024021725515325,21.620120525761365,14.44863987813154,10.871237136623394,6.275503315103979,5.840899773157852,4.919577645706539
2024-04-15,36.024152789226854,21.62019918475345,14.448328622523576,10.87127668869503,6.275526146834495,5.840921023700303,4.919595544266292
2024-04-23,36.02416152684153,21.620204428706607,14.448307872069183,10.87127932551004,6.27552766895577,5.84092244040863,4.91959673750824
