date,QUAM SECURITIES LTD,CCB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,8.422061186236444,5.97636899183291,6.709399266970144,4.187307537823002,3.6450662739322537,0.0,0.0,28.94020325679475
2024-03-04,0.0,0.0,8.469758334449057,5.9449892890614535,6.735758217298166,4.187307537823002,3.6074106306065072,1.3304993975097068,0.0,30.27572340674789
2024-03-05,0.0,0.0,8.471431918596867,5.940805328691927,6.732411049002544,4.187307537823002,3.6074106306065072,1.334683357879234,2.0011882447449456,32.27523806734502
2024-03-06,0.0,0.0,8.456369661266569,5.93829495247021,6.732411049002544,4.187307537823002,3.6074106306065072,1.2928437541839604,1.9342448788325077,32.1488824641853
2024-03-07,0.0,0.0,8.531680947918062,5.977624179943768,6.737431801445977,4.085218904806533,3.6074106306065072,1.2928437541839604,1.9342448788325077,32.16645509773731
2024-03-08,0.0,0.0,8.601971482126121,5.984318516535011,6.732411049002544,4.085218904806533,3.6074106306065072,1.2928437541839604,1.9342448788325077,32.238419216093185
2024-03-11,0.0,0.0,8.635443165082341,6.024066140045521,6.729063880706922,4.085218904806533,3.611594590976034,1.2928437541839604,1.9421944035346097,32.32042483933592
2024-03-12,0.0,0.0,8.64925023430178,5.921140714955148,6.736176613335118,4.085218904806533,3.6136865711607977,1.2928437541839604,1.928805730352122,32.22712252309547
2024-03-13,0.0,0.0,8.643811085821396,5.96423550676128,6.736176613335118,4.085218904806533,3.6032266702369795,1.2928437541839604,1.928805730352122,32.25431826549739
2024-03-14,0.0,0.0,8.586072432721917,5.996870397643594,6.743707742000268,4.088566073102156,3.605318650421743,1.2961909224795822,1.9401024233498458,32.2568286417191
2024-03-15,0.0,0.0,8.576867719908957,6.000635961976168,6.74705491029589,4.088566073102156,3.605318650421743,1.286986209666622,1.9401024233498458,32.245531948721386
2024-03-18,0.0,0.0,8.606155442495648,5.981389744276342,6.74705491029589,4.085218904806533,3.605318650421743,1.286986209666622,1.9401024233498458,32.252226285312624
2024-03-19,0.0,0.0,8.606155442495648,5.993941625384924,6.681366732494309,4.085218904806533,3.605318650421743,1.286986209666622,1.9401024233498458,32.199089988619626
2024-03-20,0.0,0.0,8.589001204980587,5.974277011648145,6.686387484937743,4.105301914580265,3.605318650421743,1.286986209666622,1.9401024233498458,32.18737489958495
2024-03-21,0.0,0.0,8.589001204980587,5.972603427500334,6.688897861159459,4.105301914580265,3.605318650421743,1.286986209666622,1.9401024233498458,32.18821169165886
2024-03-22,0.0,0.0,8.579796492167628,5.99938077386531,6.687224277011648,4.105301914580265,3.605318650421743,1.286986209666622,1.948051948051948,32.21206026576516
2024-03-25,0.0,0.0,8.569336591243808,5.979297764091578,6.687224277011648,4.105301914580265,3.605318650421743,1.286986209666622,1.948051948051948,32.18151735506761
2024-03-26,0.0,0.0,8.559295086356942,5.97344021957424,6.678856356272593,4.105301914580265,3.605318650421743,1.286986209666622,1.948051948051948,32.15725038492435
2024-03-27,0.0,0.0,8.559295086356942,5.975532199759003,6.678856356272593,4.105301914580265,3.605318650421743,1.286986209666622,1.948051948051948,32.15934236510912
2024-03-28,0.0,0.0,8.567244611059044,5.975113803722051,6.678856356272593,4.105301914580265,3.605318650421743,1.2953541304056768,1.948051948051948,32.17524141451332
2024-04-02,0.0,0.0,8.568918195206855,5.962561922613469,6.678856356272593,4.105301914580265,3.5940219574240193,1.2953541304056768,1.948051948051948,32.15306642455483
