date,SHANXI SECURITIES INTERNATIONAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA PA SECURITIES (HONG KONG) CO LTD,HAFOO SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.035571610353685,41.96442838964631
2024-04-29,99.32746939508978,0.0,0.0,0.0,0.0,0.0,0.0,0.3903945232050085,0.28213608170521376
2024-05-09,99.32736134885539,0.0,0.0,0.0,0.0,0.0,0.0,0.390457242518971,0.2821814086256412
2024-05-10,98.88755002722161,0.0,0.0,0.0,0.44121721423156857,0.0,0.0,0.39025124143897766,0.2809815171078507
2024-05-13,98.88749686718242,0.0,0.0,0.0,0.44123829843757334,0.0,0.0,0.3902698901618803,0.28099494421812454
2024-05-14,98.34129507681142,0.0,0.55092953095623,0.0,0.4389533065018191,0.0,0.0,0.38928229892689276,0.27953978680363967
2024-05-17,98.3427179373575,0.0,0.550937502133472,0.0,0.43895965754021965,0.0,0.0,0.3878410716167038,0.27954383135210115
2024-05-20,98.34373429152757,0.0,0.5509431959727261,0.0,0.4389641941087403,0.0,0.0,0.3880517762598791,0.2783065421310804
2024-05-22,98.33987225743773,0.0,0.5550553251866784,0.0,0.4389469556471944,0.0,0.0,0.3878298489092913,0.2782956128191026
2024-05-24,98.33966900088812,0.0,0.5550541779548622,0.0,0.4389460483972496,0.0,0.0,0.38803573514383827,0.2782950376159349
2024-06-04,98.2945668351293,0.0,0.5547996098259111,0.0,0.4387447316993685,0.0,0.04586365422726675,0.3878577677759937,0.27816740134215107
2024-06-13,98.29436376581795,0.0,0.5550050562611694,0.0,0.43874382528517497,0.0,0.04586355947634632,0.38785696649050716,0.2781668266688558
2024-06-14,98.29273924153243,0.0,0.5549958836173071,0.0,0.43873657410645023,0.0,0.045862801483076567,0.3895032698927593,0.27816222936797264
2024-06-27,98.29578526861783,0.0,0.5550130825732711,0.0,0.43751059667558473,0.0,0.04586422274101085,0.38765597996050793,0.27817084943178744
2024-08-13,98.2933484318468,0.0,0.5574784090382309,0.0,0.43749975041288086,0.0,0.04586308572761658,0.3876463696364854,0.2781639533379959
2024-08-19,98.29375456291814,0.0,0.5550016164841899,0.0,0.4375015580859858,0.0,0.04586327522593401,0.38971388462253115,0.2781651026632166
2024-08-30,98.28888121155526,0.0,0.5599320458950707,0.0,0.43747986699458496,0.0,0.04586100134947236,0.3896945628182192,0.2781513113873802
2024-09-04,98.28867816573536,0.0,0.5601374698441557,0.0,0.4374789632457866,0.0,0.045860906609512905,0.3896937577846178,0.27815073678056423
2024-09-09,98.28867816573536,0.0,0.5601374698441557,0.0,0.4374789632457866,0.0,0.045860906609512905,0.3876279511805857,0.28021654338459634
2024-09-25,98.23703300063455,0.0,0.5601374698441557,0.0,0.4374789632457866,0.0,0.09750607171031572,0.3876279511805857,0.28021654338459634
2024-09-27,98.18104964166528,0.0,0.5601374698441557,0.0,0.4374789632457866,0.0,0.15348943067958598,0.3876279511805857,0.28021654338459634
2024-09-30,98.01619007832826,0.0,0.5601397841250861,0.0,0.43727418923319916,0.0,0.3185486944617452,0.3876295527159655,0.2802177011357515
2024-10-03,97.80960856441013,0.0,0.5601397841250861,0.0,0.43727418923319916,0.0,0.525130208379868,0.3876295527159655,0.2802177011357515
2024-10-07,97.81021473787725,0.0,0.5560115996982643,0.0,0.4407888067343776,0.0,0.525133462865841,0.38763195504384895,0.2802194377804221
2024-10-08,81.27657494226817,16.350587990729238,0.5082966343517845,0.5381996928685673,0.3831758652221981,0.0,0.4186417876740868,0.309365105848358,0.21515798103758668
2024-10-09,80.91737164557918,16.278021370040747,0.5454370736941045,0.5267670882886546,0.4168476369401133,0.431130977719719,0.40841823378720016,0.27257552199611795,0.2034304519541625
2024-10-10,80.9193542514247,16.278695695651365,0.57623780805021,0.5276448092069732,0.4338117114938768,0.43114883754759353,0.4079216131391829,0.22208875404396805,0.20309651944213036
2024-10-14,80.9224017542639,16.282732493609362,0.5807103537860727,0.5268087492836687,0.42903483260169245,0.4311650750388426,0.40793697587020944,0.2149072931210495,0.2043024724252108
2024-10-15,80.92143206937102,16.284249221868688,0.5827576062930606,0.5268024365881168,0.43074153410433025,0.4311599084316914,0.4123828783196118,0.20531839944231728,0.20515594558116107
2024-10-16,80.9140909234901,16.282771924123924,0.5862992821578923,0.5267546453733727,0.4307024574795354,0.4311207938522177,0.4128589733673149,0.21043483493274334,0.20496616522291236
2024-10-17,80.91364275705436,16.286139545139797,0.5873242838984337,0.5267528421010873,0.4315568237418457,0.4311193179693071,0.4125152237160007,0.20598374282980716,0.20496546354935632
2024-10-18,80.89702636455873,16.279372370369384,0.5872036712243415,0.5266446683534436,0.4314681994094943,0.4310307834829617,0.41243050975882206,0.2299000609170131,0.2049233719258138
2024-10-21,80.90126833135449,16.280570411738783,0.5845085556987567,0.5266834255048439,0.4314999522769092,0.4310625041598004,0.4124608615931221,0.2261517769747517,0.20579418069855238
2024-10-22,80.91456257475167,16.285299829658364,0.5673160614347442,0.5267699736863043,0.43157085926649985,0.4311333392649589,0.41252863995060557,0.22499072379712695,0.20582799818972844
2024-10-25,80.9243480979658,16.284189918379678,0.5697934463040958,0.5268448247321881,0.4316321830544959,0.4311946008838273,0.41258725794650464,0.21355242554459333,0.20585724518881016
2024-10-29,80.92448663909462,16.284217796640128,0.5697944217809343,0.5268457266817057,0.43163292200156533,0.4311953390817634,0.41258796428898115,0.21338159281733865,0.20585759761296668
2024-10-30,80.92428278346074,16.284245674996033,0.5670562193647883,0.5268466286343114,0.43163366095116484,0.431196077282227,0.4125886706338762,0.2162923346385225,0.2058579500383299
2024-10-31,80.93134900438446,16.285667597731184,0.5671057341010871,0.5268926323125993,0.42961678792722047,0.4312337288577333,0.4098852803523633,0.21237330900128298,0.20587592533207166
2024-11-04,80.93176470286897,16.28575124797825,0.5671086470019239,0.5268953386615167,0.4296189946252412,0.43123594386106345,0.40971617125398363,0.21203197094899012,0.2058769828000518
2024-11-07,80.94423764345365,16.288261155039322,0.5750731263003911,0.5269765420589415,0.429685206108627,0.4061300019689442,0.40977931537890655,0.21377705696574464,0.2060799527254745
2024-11-08,80.94409903410352,16.288233262932867,0.5750721415420608,0.526975639661462,0.42968447031335716,0.4061293065097333,0.40977861367059165,0.21394793143336277,0.20607959983304935
2024-11-11,80.94423764345365,16.288261155039322,0.5778129796418296,0.5269765420589415,0.43002768777630684,0.4061300019689442,0.40977931537890655,0.21069472195662628,0.2060799527254745
2024-11-12,80.94312878194435,16.288038020862338,0.5778050641361513,0.5269693229656397,0.43002179679302266,0.4061244383619468,0.4092599863156817,0.21257545900095703,0.2060771296199136
2024-11-13,80.94326738797156,16.28806591230013,0.5800321577184246,0.5269702253414857,0.4300225331571064,0.40612513380448534,0.40686334419034587,0.2125758230125822,0.20607748250387872
2024-11-14,80.94271296671086,16.28795434712209,0.5807131352189435,0.526966615856644,0.43156072619081937,0.40612235204862157,0.4068605573781069,0.2110332284986443,0.20607607097526942
2024-11-15,80.94493069732503,16.288400617004502,0.5695982965418767,0.5269810540926976,0.4344836695234375,0.4061334793007266,0.4068717048561284,0.21566255264975084,0.2069379287058473
2024-11-18,80.90295305381333,16.288682360667366,0.571527901092682,0.5267077643062273,0.47533518713220513,0.40592286047302006,0.4066607031882745,0.2153795576145306,0.2068306117123626
2024-11-19,80.90226071858115,16.28854296861481,0.57152301018466,0.5267032569510748,0.47533111940309614,0.4059193867469415,0.406999527207921,0.21589117057193927,0.20682884173841015
2024-11-21,80.90226071858115,16.28854296861481,0.5669019053761596,0.5267032569510748,0.47567342346298497,0.4059193867469415,0.406999527207921,0.22068342741038408,0.20631538564857677
2024-11-22,80.89519957599485,16.287121305939344,0.5668524262250116,0.5266572863346178,0.4756319067261503,0.4058839581366294,0.40696400432303936,0.229392157861481,0.20629737845887808
2024-11-25,80.89575334655355,16.287232799925544,0.5663428918406022,0.5266608915831521,0.47563516267889044,0.40588673662765784,0.4069667902075569,0.22922258990916805,0.20629879067388127
2024-12-02,80.89561490320308,16.287204926285888,0.5663419226128712,0.526659990266391,0.4756343486865262,0.40588604200133444,0.4069660937328517,0.22939333559273103,0.20629843761831781
2024-12-05,80.89104653845745,16.286285149696276,0.5663099399587269,0.5266302485438594,0.47577861680731215,0.4058631206663863,0.40694311140485395,0.23485648700253223,0.20628678746261253
2024-12-06,80.88855492061096,16.285783497159084,0.5662924963971285,0.5266140272019195,0.47576396180477054,0.40585061921118265,0.4086418070313199,0.23621823719683163,0.2062804333868139
2024-12-10,80.88855492061096,16.285783497159084,0.5662924963971285,0.5266140272019195,0.47576396180477054,0.40585061921118265,0.4088129300660901,0.23604711416206145,0.2062804333868139
2024-12-12,80.88813966589285,16.285699891407422,0.5662895892413364,0.5266113237420836,0.47576151939211975,0.40584853571019,0.40881083135758683,0.23655926884417247,0.20627937441223712
2024-12-17,80.88827808365849,16.28572775989593,0.5662905582899507,0.5266122248922781,0.475933455975994,0.4058492302081439,0.40898265337380413,0.23707304099751808,0.20525299270789235
2024-12-19,80.88841650189785,16.285755628479816,0.5657781591160619,0.5266131260455567,0.4762765158902533,0.40584992470847486,0.4089833532361346,0.2370734466834062,0.20525334394244135
