date,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD
2024-08-07,48836430.0,21929825.0,8466338.0,12063330.0,172603.0,3267337.0,1599266.0,2714960.0,226200.0
2024-08-08,48456430.0,21996425.0,8455538.0,12074458.0,172384.0,3241937.0,1597666.0,0.0,0.0
2024-08-09,48396830.0,22131773.0,8445938.0,12056322.0,172410.0,3239937.0,1594066.0,0.0,0.0
2024-08-12,48356630.0,21631473.0,10926759.0,12035124.0,0.0,3229137.0,1596466.0,2712160.0,0.0
2024-08-13,48343230.0,21648464.0,11287959.0,12049883.0,174181.0,3230337.0,1602666.0,0.0,0.0
2024-08-14,48660830.0,21355264.0,11248759.0,12062683.0,0.0,3215737.0,1632266.0,2705560.0,207600.0
2024-08-15,48574830.0,21358680.0,11313159.0,12086173.0,0.0,3224427.0,1601266.0,2709670.0,0.0
2024-08-16,48536830.0,21399510.0,11332145.0,12059463.0,172181.0,3227227.0,1599066.0,2732070.0,0.0
2024-08-19,48390630.0,21448206.0,11264732.0,12059553.0,0.0,3222427.0,1588866.0,0.0,0.0
2024-08-20,48451430.0,21152370.0,11412505.0,12085585.0,172357.0,3219827.0,1683666.0,2726270.0,0.0
2024-08-21,48804030.0,20995370.0,11305485.0,12145385.0,180989.0,3214627.0,1695466.0,2740070.0,194000.0
2024-08-22,48872230.0,21033817.0,11133497.0,12059534.0,172181.0,3213227.0,1710466.0,2772070.0,189800.0
2024-08-23,49279830.0,21063239.0,10875267.0,12059446.0,0.0,3225027.0,1866866.0,2789070.0,0.0
2024-08-26,49224430.0,21180836.0,10864067.0,12060109.0,0.0,3234427.0,1745466.0,2793270.0,185400.0
2024-08-27,48718830.0,21307447.0,10802060.0,12059373.0,0.0,3291027.0,1783866.0,2800270.0,184400.0
2024-08-28,48786430.0,21601511.0,10664120.0,12059437.0,172183.0,3304027.0,1805466.0,2801270.0,0.0
2024-08-29,49177430.0,21690712.0,10424520.0,12071637.0,172182.0,3313827.0,1708866.0,2803870.0,0.0
2024-08-30,49283830.0,21641512.0,10204320.0,12071837.0,0.0,3312827.0,1720666.0,0.0,0.0
2024-09-02,49032830.0,21601945.0,11036760.0,12084437.0,0.0,3311027.0,1603666.0,0.0,0.0
2024-09-03,48358630.0,22430597.0,11057560.0,12090037.0,181982.0,3301627.0,1602066.0,2801870.0,183000.0
2024-09-04,48408430.0,21990681.0,11192360.0,12074437.0,0.0,3317627.0,1606866.0,2802070.0,0.0
2024-09-05,48411130.0,21713881.0,11459160.0,12101637.0,0.0,3304627.0,1606266.0,0.0,0.0
2024-09-09,48397730.0,21557380.0,11738960.0,12087237.0,199883.0,3297627.0,1600466.0,2803070.0,0.0
2024-09-10,48287130.0,21713159.0,11737760.0,12105037.0,188653.0,3285827.0,1592066.0,2802070.0,0.0
2024-09-11,48110230.0,21884179.0,11692160.0,12103037.0,172187.0,3282827.0,1590266.0,2801870.0,0.0
2024-09-12,47919830.0,21877980.0,11809160.0,12138037.0,175688.0,3272627.0,1589066.0,2798270.0,0.0
2024-09-13,47874230.0,22177064.0,11750476.0,12215637.0,179853.0,3225897.0,1564466.0,2793200.0,0.0
2024-09-16,47578630.0,22501870.0,11827676.0,12290237.0,190688.0,3186097.0,1449266.0,2779000.0,0.0
2024-09-17,47090430.0,22704326.0,12026566.0,12418637.0,205488.0,3113297.0,1394666.0,2776600.0,0.0
2024-09-19,0.0,21882199.0,12268950.0,12423437.0,209097.0,3113097.0,1730866.0,0.0,0.0
2024-09-20,0.0,21997099.0,12112550.0,12448437.0,220962.0,3098897.0,1721466.0,2771200.0,0.0
2024-09-23,46959630.0,22036412.0,12213750.0,12408837.0,228498.0,3120907.0,1803866.0,2767590.0,0.0
2024-09-24,46231230.0,22594304.0,12299525.0,12460637.0,220254.0,3071307.0,1763066.0,2751790.0,0.0
2024-09-25,46310630.0,22591004.0,12344325.0,12465437.0,223654.0,3069907.0,1791466.0,2749790.0,0.0
2024-09-26,46265630.0,22778515.0,12441725.0,12463037.0,226054.0,3039867.0,1764156.0,2754430.0,0.0
2024-09-27,46214230.0,22552201.0,12628533.0,12478237.0,226218.0,3020267.0,1841956.0,2726030.0,182800.0
2024-09-30,45552830.0,22967241.0,12719332.0,12529037.0,226104.0,3006467.0,1816956.0,2722030.0,178800.0
2024-10-02,44736830.0,23243518.0,12766130.0,12647237.0,227933.0,2992467.0,1779156.0,2694430.0,136800.0
2024-10-03,44199430.0,23435638.0,12791772.0,12797123.0,231533.0,2934618.0,1835156.0,2832630.0,133400.0
2024-10-04,0.0,23440039.0,12603810.0,12806323.0,240133.0,2967218.0,2035956.0,2880230.0,131600.0
2024-10-07,0.0,23613904.0,12658621.0,12871523.0,253933.0,2992218.0,2064556.0,2872430.0,0.0
2024-10-08,0.0,23515928.0,12442741.0,13260123.0,255333.0,2873818.0,2033734.0,2792830.0,131400.0
2024-10-09,0.0,23453182.0,12653299.0,12873323.0,256733.0,2877618.0,2181934.0,2816230.0,135400.0
2024-10-10,44314630.0,23233019.0,12789992.0,13098323.0,263533.0,2873008.0,2143734.0,2819830.0,135800.0
2024-10-14,43851830.0,23470747.0,12823017.0,13153923.0,266333.0,2858008.0,2147834.0,2815830.0,133800.0
2024-10-15,43616291.0,23298125.0,13250217.0,13160723.0,267333.0,2859228.0,2039634.0,2814810.0,134800.0
