date,ORIENT SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,GARY CHENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ARK SECURITIES (HONG KONG) LTD,PRIME SECURITIES LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,45.855694823628525,30.42466424289755,0.0,23.71964093347393,0.0,0.0,0.0,0.0,0.0
2024-03-27,0.0,45.815019788288396,30.44186536528678,0.0,23.743114846424817,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,45.95524629860258,30.318100974111246,0.0,23.726652727286172,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,33.87409573668709,22.140632597936072,0.0,17.327045030367724,0.0,0.0,0.0,0.0,26.658226635009118
2024-04-03,0.0,34.03979034187184,22.085153834844267,0.0,17.283627886703528,0.0,0.0,0.0,0.0,26.591427936580363
2024-04-05,0.0,33.963704084943494,22.09758901333459,0.0,17.308701850341112,0.0,0.0,0.0,0.0,26.6300050513808
2024-04-11,0.0,34.04645531922039,22.069898139095535,0.0,17.287012014138174,0.0,0.0,0.0,0.0,26.596634527545902
2024-04-15,0.0,28.598608295141155,18.538445957906863,0.0,14.52087979645387,16.00516375653841,0.0,0.0,0.0,22.336902193959705
2024-04-16,0.0,28.636167201945177,18.528694274537685,0.0,14.513241452747042,15.99674464257492,0.0,0.0,0.0,22.325152428195175
2024-04-17,0.0,28.673686615686435,18.518952845030405,0.0,14.505611140732647,15.98833438128113,0.0,0.0,0.0,22.313415017269385
2024-04-18,0.0,28.748607212879847,18.499500682978084,0.0,14.490374561162586,15.971540360910005,0.0,0.0,0.0,22.28997718206948
2024-04-19,0.0,28.78600852045498,18.48978991820612,0.0,14.48276826836407,15.96315657400956,0.0,0.0,0.0,22.27827671896527
2024-04-22,0.0,28.953042201357075,18.46241200652548,0.0,14.42594391034406,15.913312703234855,0.0,0.0,0.0,22.24528917853853
