date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CMB INTERNATIONAL SECURITIES LTD,CHIEF SECURITIES LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.34273659527222866,0.0,0.0,0.0,0.0,0.9463041943986634,1.2890407896708922
2024-03-04,0.0,0.0,0.0,0.0,0.34273659527222866,0.0,0.0016016955727883207,0.0,1.0088056378119226,0.9442298673453802,2.29737379600232
2024-03-05,0.0,0.0,0.0,2.193981589761864,0.34273659527222866,0.07265396147385711,0.001496666354900562,0.0,1.0088056378119226,0.9442298673453802,4.563904318020153
2024-03-06,0.0,0.0,0.0,2.193981589761864,0.34273659527222866,0.07265396147385711,0.001496666354900562,0.0,1.0088056378119226,0.9440198089096047,4.563694259584378
2024-03-07,0.0,0.0,0.0,2.193981589761864,0.34276285257670064,0.07265396147385711,0.0015754382683163812,0.0,1.0088056378119226,0.942969516730727,4.562748996623387
2024-03-08,0.0,0.0,0.0,2.193981589761864,0.34302542562142,0.0729165345185765,0.0015754382683163812,0.08047863820649513,1.0088056378119226,0.9416566515071301,4.642439915695725
2024-03-11,0.0,0.0,0.0,2.193981589761864,0.34315671214377974,0.0731791075632959,0.0016279528772602605,0.0809250123825181,1.0088056378119226,0.9153993470351904,4.617075359575831
2024-03-12,0.0,0.0,0.0,2.193981589761864,0.34315671214377974,0.07362548173931888,0.0017592393996199588,0.08339319900288043,1.0118252278261959,0.8590249143339359,4.566766364207595
2024-03-13,0.0,0.0,0.0,2.193981589761864,0.34318296944825166,0.07362548173931888,0.0017592393996199588,0.08339319900288043,1.0124028885245784,0.8603902941664767,4.56873566204299
2024-03-14,0.0,0.0,0.0,2.193981589761864,0.34318296944825166,0.07273273338727292,0.0017592393996199588,0.08339319900288043,1.009960959208688,0.8635936853120535,4.568604375520631
2024-03-15,0.0,0.0,0.0,2.193981589761864,0.3448634369344558,0.07338916599907142,0.0017592393996199588,0.08339319900288043,1.0098559299908003,0.8651691235803697,4.572411684669063
2024-03-18,0.0,0.0,2.8466738485383285,2.193981589761864,0.34302542562142,0.07338916599907142,0.0017592393996199588,0.08365577204759983,1.0098559299908003,0.8651691235803697,7.417510094939074
2024-03-19,0.0,0.0,2.8466738485383285,2.193981589761864,0.34302542562142,0.07338916599907142,0.0017592393996199588,0.08365577204759983,1.0101185030355195,0.8509901791655224,7.403593723568946
2024-03-20,0.0,0.0,2.8466738485383285,2.193981589761864,0.34302542562142,0.07338916599907142,0.0017592393996199588,0.08365577204759983,1.0101185030355195,0.8501499454224203,7.4027534898258445
2024-03-21,0.0,18.75445734974767,2.8466738485383285,2.193981589761864,0.343051682925892,0.07338916599907142,0.0017592393996199588,0.08365577204759983,1.0104861052981269,0.8488108228943513,26.156265576612526
