date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD
2024-05-13,2.903627946521093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,2.9005953917377787,2.880680961246907,0.0,0.0,0.0,0.0,0.0,0.0,1.5370974857146267,1.63882828201798
2024-05-16,2.8997034638603334,2.87443746610479,0.0,0.0,0.0,1.2730508001045713,0.0,0.0,1.5424490529792985,1.640076981046403
2024-05-17,0.0,2.878897105492016,0.0,0.0,0.0,0.0,0.0,0.0,1.5415571251018532,1.6407905233483593
2024-05-20,2.903984717672071,0.0,0.0,0.0,0.0,1.2734075712555495,0.0,0.0,0.0,1.6418608368012937
2024-05-21,2.8941735110201727,0.0,1.4109284899187868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,2.898633150407399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,1.2739427279820166,0.0,0.0,0.0,0.0
2024-05-27,0.0,2.878005177614571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,2.8941735110201727,2.8753293939822346,1.409144634163896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,2.893281583142727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30,2.88703808800061,0.0,1.4082527062864507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03,0.0,2.884248672756688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-04,2.8852542322457193,2.884962215058644,0.0,0.0,0.0,0.0,0.0,0.0,1.5362055578371814,0.0
2024-06-05,2.8907841850858804,2.88763799869098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,2.8818649063114274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.544589679885167,0.0
2024-06-07,2.8729456275369745,0.0,1.4073607784090054,0.0,0.0,1.2641315213301185,0.0,0.0,1.5451248366116344,0.0
2024-06-11,2.874729483291865,2.8920976380782064,0.0,0.0,0.0,1.253428386800775,0.0,0.0,0.0,0.0
2024-06-12,0.0,0.0,0.0,0.0,0.0,1.2525364589233297,0.0,0.0,0.0,0.0
2024-06-17,0.0,0.0,0.0,0.0,0.0,1.167624924990538,0.0,0.0,0.0,0.0
2024-06-19,0.0,2.888708312143914,0.0,0.0,0.0,1.167981696141516,0.0,0.0,0.0,0.0
2024-06-26,0.0,0.0,0.0,0.0,0.0,1.168160081717005,0.0,0.0,0.0,0.0
2024-06-27,0.0,2.8815728891243517,0.0,37.67696706454187,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-03,2.8729456275369745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-04,2.8738375554144198,0.0,0.0,0.0,0.0,1.1653059125091803,0.0,0.0,0.0,0.0
2024-07-05,2.8661669756683903,0.0,0.0,0.0,0.0,1.1635220567542894,0.0,0.0,0.0,1.6500665732737907
2024-07-08,0.0,0.0,0.0,0.0,0.0,1.1633436711788003,0.0,0.0,0.0,1.6411472944993375
2024-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.544232908734189,0.0
2024-07-10,2.8542151421106237,2.879789033369461,0.0,37.67661029339089,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,0.0,0.0,0.0,0.0,0.0,1.113752481192842,0.0,0.0,0.0,0.0
2024-07-17,2.853679985384156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5433409808567438,0.0
2024-07-19,2.8670589035458356,2.8771132497371252,1.3802461709346685,0.0,0.5487140302043437,0.0,0.0,0.0,0.0,0.0
2024-07-22,2.8547502988370903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5308539905725096,0.0
2024-07-23,2.839409139345032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,2.825851835607863,2.879789033369461,1.378640700755267,0.0,0.0,0.0,0.0,0.0,1.5358487866862032,0.0
