date,THE HONGKONG AND SHANGHAI BANKING,CGS INTERNATIONAL SECURITIES HK LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-04-25,2.771450265755505,0.0,0.0,0.0,15.603644646924831,0.0,81.62490508731966,0.0,0.0,0.0
2024-04-26,23.61259338313767,0.0,0.26680896478121663,2.454642475987193,14.140875133404482,1.44076840981857,57.07043756670224,0.0,1.0138740661686232,0.0
2024-04-29,34.209639366363334,0.0,0.4493877092461521,2.4042242444669135,11.908774295023031,1.6627345242107627,48.06201550387597,0.4493877092461521,0.8538366475676891,0.0
2024-04-30,27.81326781326781,0.0,0.4914004914004914,2.628992628992629,13.022113022113022,1.8181818181818181,52.55528255528256,0.4914004914004914,1.1793611793611793,0.0
2024-05-02,97.29958133797003,0.0,0.019427472388704868,0.10393697727957105,0.7576714231594899,0.08159538403256045,1.6814477352424064,0.019427472388704868,0.03691219753853925,0.0
2024-05-03,97.33646310235122,0.0,0.01939939473888415,0.1037867618530302,0.7575463645534259,0.0911771552727555,1.6305191278032125,0.01939939473888415,0.041708698688600915,0.0
2024-05-06,95.3572276287681,0.0,0.03133159268929504,0.10443864229765012,0.7718965107999051,0.07975314502729647,3.567054355566105,0.018988844054118204,0.06930928079753146,0.0
2024-05-07,95.36307211941207,0.0,0.03141421064656157,0.10566598126570712,0.7739319168380169,0.07996344528215672,3.5764602848221765,0.01903891554337065,0.050453126189932224,0.0
2024-05-08,95.07345683699036,0.0,0.031318806468757114,0.20025055045175005,0.8000531470655227,0.08066965302558651,3.743071900387214,0.01898109482954977,0.052198010781261864,0.0
