date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),VALUABLE CAPITAL LTD,CCB INTERNATIONAL SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SKY SECURITIES LTD,WINBULL SECURITIES INTERNATIONAL (HONG
2024-07-30,279094715.0,266627607.0,157447547.0,106785300.0,288982830.0,40865451.0,0.0,35784000.0,0.0,0.0
2024-07-31,279085115.0,0.0,158263547.0,0.0,286606830.0,39881451.0,0.0,35880000.0,0.0,0.0
2024-08-01,278605115.0,266555607.0,157759547.0,0.0,285478830.0,39281451.0,0.0,36840000.0,0.0,0.0
2024-08-02,278604582.0,266411607.0,158575547.0,106732234.0,284374830.0,40097451.0,0.0,39384000.0,0.0,0.0
2024-08-05,278052582.0,266675607.0,158359547.0,111732234.0,282262830.0,41369451.0,0.0,39768000.0,0.0,0.0
2024-08-06,278484582.0,266483607.0,158167547.0,0.0,281806830.0,41537451.0,0.0,41544000.0,0.0,0.0
2024-08-07,278100582.0,266171607.0,157783547.0,0.0,281470830.0,0.0,0.0,45000000.0,0.0,0.0
2024-08-08,0.0,266195607.0,157975547.0,111729568.0,278326830.0,39737451.0,0.0,50256000.0,0.0,0.0
2024-08-09,277620582.0,0.0,157087547.0,0.0,275422830.0,41393451.0,0.0,50832000.0,0.0,0.0
2024-08-12,277476582.0,266219607.0,157687547.0,112233568.0,0.0,37577451.0,0.0,55056000.0,0.0,0.0
2024-08-13,277020582.0,0.0,157207547.0,112665568.0,272710830.0,38153451.0,0.0,57624000.0,0.0,0.0
2024-08-14,276636582.0,274851667.0,157087547.0,0.0,268006830.0,38225451.0,0.0,58200000.0,0.0,0.0
2024-08-15,276228582.0,270242767.0,157135547.0,0.0,267238830.0,38753451.0,0.0,60768000.0,0.0,0.0
2024-08-16,276780582.0,265402867.0,157543547.0,112785568.0,267358830.0,39137451.0,0.0,61992000.0,0.0,0.0
2024-08-19,277164582.0,0.0,157759547.0,0.0,266542830.0,39593451.0,0.0,64416000.0,0.0,0.0
2024-08-20,0.0,265474867.0,158791547.0,0.0,265366830.0,39545451.0,0.0,65280000.0,0.0,0.0
2024-08-21,277236582.0,265450867.0,160831547.0,112823702.0,263518830.0,40193451.0,0.0,66432000.0,0.0,0.0
2024-08-22,278964582.0,265594867.0,161023547.0,112391702.0,260302830.0,40289451.0,0.0,67632000.0,0.0,0.0
2024-08-26,278386982.0,260596367.0,161959547.0,0.0,259126830.0,68863016.0,0.0,71376000.0,0.0,0.0
2024-08-27,279274982.0,0.0,161431547.0,0.0,259054830.0,68911016.0,0.0,71952000.0,0.0,0.0
2024-08-28,279202982.0,0.0,160735547.0,112631702.0,255670830.0,68983016.0,0.0,75696000.0,0.0,0.0
2024-08-29,305578982.0,260740367.0,160975547.0,113855702.0,251782830.0,83167016.0,0.0,77232000.0,0.0,0.0
2024-09-02,305698982.0,255762367.0,161719547.0,114719702.0,251014830.0,87487016.0,0.0,0.0,0.0,0.0
2024-09-03,305746982.0,255810367.0,164167547.0,114959702.0,250414830.0,88255016.0,0.0,0.0,0.0,0.0
2024-09-04,304738982.0,255690367.0,163927547.0,0.0,254230830.0,88111016.0,0.0,77808000.0,0.0,0.0
2024-09-05,304234982.0,255594367.0,164071547.0,0.0,254878830.0,88447016.0,0.0,78384000.0,0.0,0.0
2024-09-09,303202982.0,255666367.0,163207547.0,0.0,254806830.0,87295016.0,0.0,79224000.0,0.0,0.0
2024-09-10,301114982.0,255618367.0,162775547.0,0.0,252286830.0,85519016.0,0.0,82752000.0,0.0,0.0
2024-09-11,300682982.0,269250534.0,161143547.0,0.0,252166830.0,85159016.0,0.0,0.0,0.0,0.0
2024-09-13,300658982.0,258853334.0,171671547.0,0.0,252718830.0,86527016.0,0.0,84744000.0,0.0,0.0
2024-09-16,300418982.0,253580934.0,172463547.0,0.0,253006830.0,85087016.0,0.0,90192000.0,0.0,0.0
2024-09-17,299746982.0,265309539.0,169295547.0,0.0,248950830.0,85111016.0,0.0,90552000.0,0.0,0.0
2024-09-19,299458982.0,259820939.0,171359547.0,0.0,250606830.0,83239016.0,0.0,91608000.0,0.0,0.0
2024-09-20,299962982.0,259964939.0,171407547.0,115367702.0,250942830.0,82879016.0,0.0,92496000.0,0.0,0.0
2024-09-23,299950982.0,254733639.0,171383547.0,0.0,251854830.0,83263016.0,0.0,96288000.0,0.0,0.0
2024-09-24,300070982.0,249538339.0,171623547.0,0.0,251878830.0,82039016.0,0.0,101880000.0,0.0,0.0
2024-09-25,301894982.0,249826339.0,169799547.0,115511702.0,250750830.0,76639016.0,0.0,106080000.0,0.0,0.0
2024-09-26,299638982.0,262410454.0,168215547.0,114719702.0,249286830.0,65383016.0,0.0,113400000.0,0.0,0.0
2024-09-27,301131782.0,257850554.0,168935547.0,114569569.0,249550830.0,66199016.0,0.0,116256000.0,0.0,0.0
2024-09-30,299355782.0,258330554.0,168359547.0,114241569.0,248086830.0,62479016.0,0.0,116376000.0,0.0,0.0
2024-10-02,299859782.0,258714554.0,169271547.0,114167169.0,226870830.0,60871016.0,0.0,138840000.0,0.0,0.0
2024-10-03,300939782.0,253986854.0,168143547.0,115358369.0,224998830.0,60271016.0,0.0,138936000.0,0.0,0.0
2024-10-04,301293382.0,254226854.0,167135547.0,0.0,224950830.0,61423016.0,0.0,139272000.0,0.0,150000000.0
2024-10-07,294685382.0,253938854.0,165599547.0,114446369.0,223918830.0,60511016.0,0.0,150264000.0,0.0,0.0
2024-10-08,322261382.0,253890854.0,167063547.0,112069569.0,223894830.0,62023016.0,0.0,154848000.0,0.0,0.0
2024-10-09,324531782.0,253770854.0,165599547.0,111794369.0,224086830.0,60703016.0,0.0,155352000.0,0.0,0.0
2024-10-10,325275782.0,252978854.0,170063547.0,138226369.0,224014830.0,62935016.0,0.0,155496000.0,109201333.0,0.0
2024-10-14,332451782.0,248073154.0,170327547.0,138130369.0,224134830.0,61639016.0,0.0,155976000.0,0.0,0.0
2024-10-15,297363782.0,0.0,170735547.0,137490369.0,223894830.0,61735016.0,0.0,156312000.0,0.0,0.0
2024-10-16,297195782.0,248169154.0,169991547.0,137850369.0,222694830.0,62695016.0,0.0,0.0,0.0,0.0
2024-10-17,297339782.0,248049154.0,168623547.0,137848769.0,223150830.0,62743016.0,0.0,156408000.0,0.0,0.0
2024-10-18,297702582.0,248097154.0,170711547.0,0.0,220390830.0,63991016.0,0.0,0.0,0.0,0.0
2024-10-21,333942582.0,247977154.0,170999547.0,137896769.0,220822830.0,63151016.0,0.0,0.0,0.0,0.0
2024-10-22,337738848.0,242941654.0,171383547.0,140656769.0,218278830.0,62767016.0,0.0,0.0,0.0,0.0
2024-10-23,338170848.0,0.0,171983547.0,142288769.0,218398830.0,62935016.0,0.0,0.0,0.0,0.0
2024-10-24,339730848.0,243037654.0,172607547.0,142480769.0,217894830.0,63031016.0,0.0,156888000.0,0.0,0.0
2024-10-25,340172848.0,242965654.0,172943547.0,142240769.0,217750830.0,63439016.0,0.0,0.0,0.0,0.0
2024-10-28,340676848.0,242941654.0,172703547.0,0.0,217798830.0,63559016.0,0.0,157512000.0,0.0,0.0
2024-10-29,341612848.0,0.0,172775547.0,142528769.0,217654830.0,63391016.0,0.0,158736000.0,110881333.0,0.0
2024-10-30,341611248.0,242893654.0,172943547.0,142336769.0,218422830.0,63463016.0,0.0,159048000.0,111241333.0,0.0
2024-10-31,341899248.0,0.0,173255547.0,142072769.0,217798830.0,63391016.0,0.0,161328000.0,0.0,0.0
2024-11-01,370867248.0,0.0,172319547.0,142216769.0,217846830.0,63343016.0,0.0,0.0,113833333.0,0.0
2024-11-04,370075248.0,0.0,172871547.0,143176769.0,217702830.0,63055016.0,0.0,161400000.0,0.0,0.0
2024-11-05,369139248.0,237492854.0,173783547.0,144136769.0,217630830.0,63247016.0,0.0,0.0,114241333.0,0.0
2024-11-07,368707248.0,0.0,173063547.0,147016769.0,217702830.0,61663016.0,0.0,0.0,116233333.0,0.0
2024-11-11,367963248.0,237516854.0,173303547.0,147051436.0,217774830.0,63103016.0,0.0,0.0,116665333.0,0.0
2024-11-12,368275248.0,237492854.0,173279547.0,147123436.0,217702830.0,63127016.0,0.0,161544000.0,117601333.0,0.0
2024-11-14,367818448.0,237660854.0,173183547.0,147027436.0,217702830.0,63223016.0,0.0,0.0,117745333.0,0.0
2024-11-20,377970448.0,0.0,173591547.0,146931436.0,217726830.0,62887016.0,0.0,0.0,0.0,0.0
2024-11-22,378269648.0,0.0,173975547.0,146979436.0,217846830.0,62887016.0,0.0,0.0,0.0,0.0
2024-11-25,377621648.0,0.0,173759547.0,0.0,217774830.0,62479016.0,0.0,0.0,119137333.0,0.0
2024-11-26,377011248.0,0.0,174023547.0,0.0,217894830.0,62599016.0,0.0,0.0,119761333.0,0.0
2024-11-27,376819248.0,0.0,173855547.0,146883436.0,217702830.0,62575016.0,0.0,0.0,120481333.0,0.0
2024-11-28,374539248.0,236988854.0,174287547.0,0.0,217894830.0,62599016.0,0.0,0.0,122497333.0,0.0
2024-11-29,374659248.0,236940854.0,174311547.0,0.0,218062830.0,0.0,0.0,0.0,122593333.0,0.0
2024-12-03,374032582.0,0.0,173951547.0,0.0,217822830.0,62575016.0,0.0,0.0,123001333.0,0.0
2024-12-04,373888582.0,0.0,174047547.0,0.0,217798830.0,62215016.0,0.0,0.0,123529333.0,0.0
2024-12-09,372568582.0,0.0,174503547.0,0.0,217894830.0,60415016.0,0.0,0.0,124921333.0,0.0
2024-12-10,371968582.0,0.0,174479547.0,0.0,217822830.0,59791016.0,0.0,0.0,126025333.0,0.0
2024-12-11,370576582.0,0.0,173687547.0,0.0,217750830.0,60391016.0,0.0,0.0,127753333.0,0.0
2024-12-12,369472582.0,237228854.0,173255547.0,147099436.0,0.0,60055016.0,0.0,0.0,129913333.0,0.0
2024-12-13,368776582.0,0.0,173375547.0,146379436.0,217798830.0,60343016.0,0.0,0.0,131329333.0,0.0
2024-12-16,404896582.0,0.0,173303547.0,0.0,217870830.0,60319016.0,0.0,0.0,131401333.0,0.0
2024-12-17,405256582.0,0.0,173711547.0,145683436.0,217726830.0,60343016.0,0.0,0.0,0.0,0.0
2024-12-18,414416582.0,0.0,173015547.0,145275436.0,217462830.0,59599016.0,0.0,0.0,134401333.0,0.0
2024-12-19,413312582.0,0.0,172919547.0,0.0,217414830.0,59911016.0,0.0,0.0,136177333.0,0.0
