date,DONGXING SECURITIES (HONG KONG) CO LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,UBS SECURITIES HONG KONG LTD,CHINA GALAXY INTERNATIONAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,QUAM SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-03-01,0.0,0.0,0.0,44.693452217183484,5.520664845462369,6.006940669513633,34.277049948891694,0.0,5.446383887932554,4.055508431016271
2024-03-04,0.0,0.0,0.0,44.691427156031246,5.524575199486095,5.984547071176993,34.296474632841644,0.0,5.445585589897172,4.05739035056685
2024-03-05,0.0,0.0,0.0,44.66198471991186,5.510567444418159,5.988715853300623,34.31639673935029,0.0,5.4628577304880315,4.059477512531035
2024-03-06,0.0,0.0,0.0,44.6269775837159,5.512580529785306,5.99877158484761,34.33517102786263,0.0,5.465246588588338,4.0612526852002215
2024-03-07,0.0,0.0,0.0,44.639814249973675,5.541045990698557,5.900218569317555,34.36895149975203,0.0,5.487548811554143,4.0624208787040414
2024-03-08,0.0,0.0,0.0,44.6403898596798,5.542208516067418,5.897616553895428,34.3693946714454,0.0,5.487917137174349,4.062473261737606
2024-03-11,0.0,0.0,0.0,44.598453520679,5.541263130871221,5.894058091288605,34.3624756349503,0.0,5.559957087192757,4.043792535018116
2024-03-12,0.0,0.0,0.0,44.58749583191617,5.539901661314595,5.891222944224794,34.35403289123603,0.0,5.584547682400576,4.0427989889078315
2024-03-13,0.0,0.0,0.0,44.60433224211032,5.5418944409010455,5.893348384081095,34.36700510640057,0.0,5.549094261126528,4.0443255653804435
2024-03-14,0.0,0.0,0.0,44.60172419699248,5.5374080838646815,5.896274189377129,34.364797438987104,0.0,5.555706999817029,4.044089090961581
2024-03-15,0.0,0.0,0.0,44.621023200673754,5.538471075824054,5.8933649788999665,34.36520336448919,0.0,5.537940466603231,4.04399691350981
2024-03-18,0.0,0.0,0.0,44.61098758913185,5.546241554567071,5.890949654673961,34.36876928972534,0.0,5.539964524422286,4.0430873874794875
2024-03-19,0.0,0.0,0.0,44.61279985452379,5.5537989542637,5.895152259324032,34.34539490152325,0.0,5.5496023975339765,4.043251632831247
2024-03-20,0.0,0.0,0.0,44.60961743743477,5.54369340535898,5.8947317335253,34.342944901253816,0.0,5.566049311598835,4.042963210828291
2024-03-21,0.0,0.0,0.0,44.61819332013642,5.547236498212013,5.895171293924501,34.323881669421766,0.0,5.5717767764614745,4.043740441843817
