date,EVERBRIGHT SECURITIES INVESTMENT,VMS SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,45.69910341191904,29.892131904842223,9.638057258410589,14.770707424828144,0.0
2024-03-11,0.0,0.0,0.0,45.698886852448126,29.89225111879037,9.638095696313306,14.770766332448204,0.0
2024-03-12,0.0,0.0,0.0,45.64427615033434,29.97603069535601,9.626578059686514,14.753115094623134,0.0
2024-03-21,0.0,0.0,0.0,45.64245804136677,29.974836686055916,9.630177826025646,14.75252744655167,0.0
2024-03-22,72.3208798361834,0.0,0.0,12.633430806989482,8.296771065241199,2.66554849245486,4.083369799131061,0.0
2024-04-02,72.31673384845188,0.0,0.0,12.632706561802593,8.296295430664772,2.6711284500372248,4.083135709043539,0.0
2024-04-03,72.66191278652634,0.0,0.0,12.215688978643541,8.335894929899764,2.683878158614724,4.102625146315626,0.0
2024-04-10,72.66271768411825,0.0,0.0,12.21571352248852,8.33598726908405,2.6829109319961413,4.102670592313043,0.0
2024-04-12,72.66094693295396,0.0,0.0,12.215415832151137,8.335784125578927,2.6852824968682474,4.102570612447721,0.0
2024-04-15,72.63262664716245,0.0,0.0,12.243872888392733,8.33253517550743,2.6899936918772704,4.100971597060107,0.0
2024-04-16,72.62442432563465,0.0,0.0,12.242490201481736,8.34277636549013,2.689800628482458,4.100508478911029,0.0
2024-04-18,72.6204042563862,0.0,0.0,12.24181252783626,8.347849980731192,2.689651736633863,4.100281498412496,0.0
2024-04-29,72.62353987221256,0.0,0.0,12.242341106842378,8.343781895793816,2.689878584106029,4.10045854104522,0.0
