date,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,TIGER BROKERS (HK) GLOBAL LTD,TOTAL_CCASS_PCT
2024-03-01,15.84163293896707,5.869009349191373,1.0447815102417581,5.810091646060424,2.4278092048969446,2.3134478532077263,1.8158074023218815,1.292997333262331,0.011783446358618957,0.0,36.42736068450813
2024-03-04,15.837862236132313,5.869009349191373,1.041717814188517,5.805378267516976,2.4362932862751507,2.3117981707175197,1.8125037363835472,1.292997038676172,0.011783446358618957,0.0,36.41934334544018
2024-03-05,15.844696635020314,5.865827818674546,1.0430139932879652,5.80031138558277,2.4426563473088048,2.3041389305844175,1.813682081019409,1.292997038676172,0.011783446358618957,0.0,36.41910767651302
2024-03-06,15.8311456717079,5.869952024900062,1.0436031656058962,5.7907667940322884,2.447958898170183,2.30437459951159,1.8107362194297545,1.2929966851727812,0.011783446358618957,0.0,36.403317504889074
2024-03-07,15.742062817236741,5.8731335554168895,1.039714628307552,5.780043857845945,2.5082901435263123,2.3042567650480037,1.808615199085203,1.2906399959010575,0.011783446358618957,0.06363061033654237,36.422171019062866
2024-03-08,15.73711376976612,5.871012535072338,1.0430139932879652,5.7756839826932564,2.5104111638708635,2.3053172752202795,1.808615199085203,1.2907567109372398,0.011783446358618957,0.06374844480012856,36.417456521092014
2024-03-11,15.74300549294543,5.912608100718264,1.046077689341206,5.777569334110636,2.5130035220697597,2.30437459951159,1.8013094623428594,1.290285373082895,0.011783446358618957,0.06374844480012856,36.46376546528139
2024-03-12,15.73746727315688,5.914964789989987,1.046666861659137,5.784639401925807,2.5185417418583107,2.293180325470902,1.7964782493358256,1.2858076634666196,0.011783446358618957,0.06692997531695567,36.456459728539045
2024-03-13,15.741709313845984,5.921327851023641,1.0456063514868612,5.786524753343185,2.518777410785483,2.2897631260269025,1.7988349386075493,1.288517561542943,0.011783446358618957,0.06692997531695567,36.46977472833812
2024-03-14,15.574266541090006,5.921445685487227,1.0625745142432725,5.753766772466226,2.540930289939687,2.425506660561239,1.7420387271590059,1.2756736050120483,0.011783446358618957,0.06704780978054187,36.375034052097874
2024-03-15,15.515584978224084,5.936174993435501,1.0549152741101704,5.732320900093538,2.5655576928292003,2.442946161171995,1.7491087949741773,1.2724920744952213,0.011783446358618957,0.06704780978054187,36.34793212547305
2024-03-18,15.437696397793612,5.848859655918134,1.0993388668821638,5.701212601706784,2.5682678854916827,2.45979648946482,1.7460450989209362,1.2715493987865316,0.011783446358618957,0.07046500922454135,36.215014850547824
2024-03-19,15.444412962218026,5.833069837797585,1.0882624273050618,5.701566105097544,2.565911196219959,2.4706372601147493,1.7286055983101802,1.277440886296914,0.011783446358618957,0.07058284368812756,36.19227256340677
2024-03-20,15.434161363886028,5.836369202777998,1.0557401153552737,5.706632987031749,2.567207375319407,2.578081080701909,1.731669294363421,1.276851713978983,0.011783446358618957,0.07058284368812756,36.26907942346151
