date,CHINA GALAXY INTERNATIONAL SECURITIES,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA CITIC BANK INTERNATIONAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,3.8602913273040045,0.0,0.0,0.0,0.0,0.0,0.0,3.8602913273040045
2024-03-04,0.0,0.0,3.856816439959823,0.0,0.0,0.0,0.0,0.0,0.0,3.856816439959823
2024-03-05,0.0,7.140232394975257,3.829770233464279,0.0,0.0,0.0,0.0,0.0,0.0,10.970002628439536
2024-03-08,0.0,7.140232394975257,3.829770233464279,0.0,0.0,0.0,0.0,1.3766237640357086,0.0,12.346626392475244
2024-03-12,0.0,7.140232394975257,3.829770233464279,0.0,3.1129268043556104,0.0,0.0,1.3766237640357086,0.0,15.459553196830855
2024-03-13,0.0,7.140232394975257,3.829770233464279,0.0,3.1129268043556104,0.0,1.3695240479584445,1.3766237640357086,0.0,16.8290772447893
2024-03-15,0.0,7.137336655521772,3.829770233464279,0.0,3.1129268043556104,0.0,1.3695240479584445,1.3766237640357086,0.0,16.826181505335818
2024-03-18,0.0,7.131545176614804,3.829770233464279,0.0,3.1129268043556104,0.0,1.3695240479584445,1.3766237640357086,0.0,16.820390026428846
2024-03-21,0.0,7.128070289270623,3.829770233464279,0.0,3.1117685085742166,0.0,1.3695240479584445,1.3766237640357086,0.0,16.81575684330327
2024-03-27,0.0,7.128070289270623,3.829770233464279,0.0,3.111478934628868,0.0,1.3695240479584445,1.3766237640357086,0.0,16.815467269357924
2024-03-28,0.0,7.128070289270623,3.829770233464279,0.0,3.109162343066081,0.0,1.3695240479584445,1.3766237640357086,0.0,16.813150677795136
2024-04-03,0.0,7.127923417365542,3.829770233464279,0.0,3.109162343066081,0.0,1.3696709198635253,1.3766237640357086,0.0,16.813150677795136
2024-04-05,0.0,7.132093282178559,3.829770233464279,0.0,3.109162343066081,0.0,1.3696709198635253,1.3766237640357086,0.0,16.81732054260815
2024-04-08,0.0,7.137884761085528,3.829770233464279,0.0,3.109162343066081,0.0,1.3696709198635253,1.3766237640357086,0.0,16.823112021515122
2024-04-16,0.0,7.137884761085528,3.829770233464279,0.0,3.109162343066081,0.0,1.3696709198635253,1.3766816788247782,0.0,16.82316993630419
2024-04-26,0.0,7.149757292844813,3.829770233464279,0.0,3.109162343066081,0.0,1.3696709198635253,1.3766816788247782,0.0,16.835042468063477
2024-05-06,0.0,7.155548771751782,3.829770233464279,0.0,3.109162343066081,0.0,1.3696709198635253,1.3766816788247782,0.0,16.840833946970445
2024-05-08,0.0,7.158734085150615,3.829770233464279,0.0,3.097579385252143,0.0,1.3715241931137552,1.3766816788247782,0.0,16.83428957580557
2024-05-09,30.21938217079852,7.158734085150615,3.829770233464279,0.0,3.097579385252143,0.0,1.3715241931137552,1.376739593613848,0.0,47.053729661393156
2024-05-22,30.21938217079852,7.158734085150615,3.829770233464279,0.0,3.096751203768447,0.0,1.3715241931137552,1.376739593613848,0.0,47.052901479909465
2024-05-24,30.21938217079852,7.158676170361546,3.829770233464279,0.0,3.096089353558958,0.0,1.3715241931137552,1.376739593613848,0.0,47.05218171491091
2024-05-27,30.21938217079852,7.132672430069256,3.829770233464279,0.0,3.0849697140575785,0.0,1.3715241931137552,1.376739593613848,0.0,47.01505833511723
2024-05-28,30.21938217079852,7.132672430069256,3.829770233464279,0.0,3.0849697140575785,0.0,1.3715241931137552,1.3766816788247782,0.0,47.015000420328164
2024-05-29,30.21938217079852,7.0979235566274435,3.829770233464279,0.0,3.071301823837132,0.0,1.3715241931137552,1.4310057509721452,0.0,47.02090772881327
2024-05-31,30.21938217079852,7.100935125659068,3.829770233464279,0.0,3.071301823837132,0.0,1.3715241931137552,1.4309478361830754,0.0,47.023861383055824
