date,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,48.017946849623556,0.0,22.576229624343615,0.0,0.0,4.282324825504897,11.5159337481108,5.901502361389574,7.7060625910275595,0.0
2024-03-04,48.01063666220918,0.0,22.571052779330564,0.0,0.0,4.249485289822982,11.520705091481597,5.880160448750129,7.767959728405552,0.0
2024-03-05,32.51715608890159,32.461244643430284,15.075051750227864,0.0,0.0,2.8958126914845046,7.797268636271566,3.9478150493644435,5.305651140319745,0.0
2024-03-06,32.56145061021993,32.40368237666787,15.055965749290095,0.0,0.0,2.8906776590951977,7.622875959219131,4.096360140995606,5.368987504512171,0.0
2024-03-07,32.57124606009883,32.37483466574053,15.040211499043506,0.0,0.0,2.8881042036303413,7.666919657283998,4.103290664030384,5.3553932501724075,0.0
2024-03-08,32.5110042197132,32.34393123152518,15.020024343910249,0.0,0.0,2.8837770710294404,7.728483003401103,4.082385513332098,5.430394617088723,0.0
2024-03-11,32.51548765925736,32.348391630820046,15.014760296864438,0.0,0.0,2.8841747591497273,7.730722464172983,4.0477386340027754,5.458724555732672,0.0
2024-03-12,32.516849915854294,32.349746886824846,15.015389349594022,0.0,0.0,2.8178993357639484,7.744544026800429,4.077250997396333,5.478319487766126,0.0
2024-03-13,32.540485688538205,32.361932773849254,15.023393831585313,0.0,0.0,2.818925590966064,7.786208394609462,3.933778924534228,5.535274795917468,0.0
2024-03-14,32.58251680739719,32.36697967822476,15.03483786582196,0.0,0.0,2.8205395441953898,7.829111613283484,3.7365167089877955,5.62949778208942,0.0
2024-03-15,32.60024390123655,32.353396904010815,15.025300439416636,0.0,0.0,2.819355907286071,7.770948942261214,3.732894456664157,5.697859449124559,0.0
2024-03-18,32.605393008041176,33.331514436281864,14.047867818033783,0.0,0.0,2.8182621278570528,7.764311581185167,3.7094712070680353,5.723179821532921,0.0
2024-03-19,32.59923925575986,33.32222446999518,14.040431877447526,0.0,0.0,2.817476638190662,7.731635687309827,3.7330815274760827,5.755910543820863,0.0
2024-03-20,29.708670478348083,30.265134921700493,12.748053387557393,9.001122312803322,0.0,2.5632556213260504,7.01511559348628,3.4556145034187,5.2430331813596815,0.0
2024-03-21,29.719974997989308,30.250061495351865,12.744367618896513,8.99663934074362,0.0,2.5619790023742195,7.034526528617256,3.4520291058449866,5.240421910182232,0.0
2024-03-22,29.72575558313806,30.247000281503272,12.740414850276908,8.995728908315412,0.0,2.5715731247988813,7.042070196369639,3.4426253074250046,5.234831748172827,0.0
