date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,VMS SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS
2024-03-01,54.0391325111589,28.351857101109957,1.7979011942320413,0.0,1.958817637708929,6.252878304625869,2.802113373532891,2.6139629469845307,1.212288580324788,0.9710483503221016
2024-03-04,53.79521717127012,28.485770315555204,1.8668288378343494,0.0,1.975325560928495,6.205554571344648,2.8532062300576455,2.6158470422922666,1.2206956327485352,0.981554637968737
2024-03-05,54.003605200488344,28.62355627429259,1.5395093578827752,0.0,1.9628624611537235,6.216300375860566,2.8522027379032453,2.6231797748639805,1.2208722227454503,0.9579115948093248
2024-03-06,53.8702977275068,28.716001511540036,1.5783292842852348,0.0,1.967226871455921,6.208486896584642,2.8524541479470074,2.621823282995616,1.2249024541217628,0.9604778235629851
2024-03-07,53.98830918117908,28.750106861227977,1.4656159902572627,0.0,2.030426072126818,6.18712408230763,2.7450638915090453,2.6266612848556314,1.2315717896423888,0.9751208468941668
2024-03-08,54.09933133032799,28.63293903490377,1.452397745360318,0.0,2.038072562901249,6.180835506897601,2.749256139383253,2.62411693119336,1.2320399238811544,0.9910108251513012
2024-03-11,54.01172088004373,28.5500784665295,1.4484403670426926,0.0,2.0529737992990365,6.295177654188267,2.7580175228345074,2.623180737191434,1.2285240381703413,1.0318865347004853
2024-03-12,54.06687137714252,28.55343814302228,1.4514347887289363,0.0,2.057235127322703,6.242513003872753,2.7840424323962405,2.6237178769582856,1.234319114871452,0.9864281356848266
2024-03-13,53.706697796583946,28.6438802052898,1.8014844327494826,0.0,2.0598241429769293,6.216151495294492,2.7660387848817845,2.6164698917976286,1.216959180933426,0.9724940694925065
2024-03-14,53.9896345810366,28.663014138636463,1.5314629601015248,0.0,2.10287633420832,6.2189742690175365,2.7638161065499705,2.6142755916796117,1.185546417292615,0.9303996014773658
2024-03-15,53.79489242728977,28.91049597195164,1.5133971176326337,0.0,2.08637425311272,6.221611491021914,2.762991445165975,2.6081466291698505,1.1748571268269745,0.9272335378285259
2024-03-18,53.62418078833413,29.07513706615406,1.5168341071819373,0.0,2.0937170525820727,6.220652658510617,2.762976623969942,2.6105399640007256,1.1742970476091108,0.9216646916573982
2024-03-19,53.48662396535261,29.077495838225904,1.7654772701743235,0.0,2.001609514098697,6.184610166900808,2.7228983557002993,2.5926390631202096,1.1655525006181624,1.003093325808991
2024-03-20,53.492722131379345,29.178677370795093,1.7667984373461534,0.0,1.9743353287465575,6.185204178377254,2.723883229672231,2.594186582707933,1.1655845124625315,0.9186082285129026
2024-03-21,53.468566188052804,29.16528431460791,1.7612906703002547,0.0,1.9614344084245303,6.291887539144147,2.646172549272375,2.590193672310815,1.155518953153155,0.9596517047340137
2024-03-22,53.38233227864914,29.208425140780637,1.761397310046532,0.0,1.968663459275801,6.318699319456926,2.6292523503285223,2.588489206758793,1.1547411325190409,0.9879998021846103
2024-03-25,53.50975254035344,29.03779010901844,1.7754721451368138,0.0,1.9862197558086845,6.362826860511814,2.6481163442370157,2.594359860469887,1.158512510969328,0.9269498734945776
2024-03-26,53.4255859156425,29.04475934414054,1.77658003693964,0.0,1.9967007912721422,6.344548723462775,2.6312983708789517,2.593091952559173,1.166227993468052,1.0212068716362248
2024-03-27,53.42235104789124,29.18431929012027,1.5238267049924379,0.0,1.9758117539284532,6.424648773173744,2.6153075814573645,2.6007186398366713,1.248637823325304,1.0043783852745256
2024-03-28,53.19997412646234,29.336252785305366,1.7695134454117887,0.0,1.9109336064604934,6.4021056726627865,2.6035106606792175,2.587572271708063,1.2652446317884596,0.9248927995214928
2024-04-02,46.03022277417691,25.342346701377693,1.5494798897395412,13.497808637541366,1.6598424495006612,5.512794378427669,2.253938183607349,2.2392492065285716,1.0958691315949811,0.8184486475052556
2024-04-03,45.9331826194402,25.417994255833754,1.5517502506772725,13.495101047938482,1.6755106129185178,5.5107698162536485,2.2884559197430354,2.2392375127620134,1.094118098426218,0.7938798660068547
2024-04-05,45.8644250768548,25.396897775387085,1.5349380493631635,13.477019575169397,1.7045268693298512,5.558664799251808,2.273930588711162,2.2730263415774132,1.095130579548981,0.8214403448063375
2024-04-08,46.154732236232675,25.23074158662541,1.5310026593052009,13.407598559347973,1.6986804982060015,5.5500306925301075,2.2647154747157012,2.261401343593257,1.0880262411214636,0.8130707083222124
2024-04-09,45.97317161568495,25.343803613799466,1.5334608975508266,13.418182021672157,1.700021373753104,5.5544116814501185,2.2664304822132366,2.263106467526176,1.0906510942293266,0.8567607521206418
2024-04-10,45.98638790964065,25.27357161248098,1.527742676088404,13.405503225525232,1.828453182120913,5.542788489724076,2.2473280726353773,2.2611719445669065,1.0875724588325872,0.8394804283848833
2024-04-11,46.035075575399226,25.23827907322285,1.5241891615963585,13.38514405398771,1.830867005009054,5.538430346365849,2.228379084518621,2.258238086955441,1.088682848102517,0.8727147648423803
2024-04-12,46.05476257930205,25.19248627947819,1.5213481773903301,13.39483275291965,1.8851702634794139,5.5506663000018825,2.227989730865215,2.259727592066281,1.078225838076977,0.8347904864200166
2024-04-15,46.10792993576421,25.12890564893102,1.520199733935281,13.376365601552656,1.8746308515577212,5.536218040488543,2.227598651623654,2.261407749597343,1.0918079044983235,0.8749358820512438
2024-04-16,46.15289161858793,25.11745845740736,1.5129282286437313,13.385930829199102,1.7871293273556128,5.581531155318567,2.237674124069746,2.2683826292931415,1.1025429499277437,0.8535306801970628
2024-04-17,46.186846661099246,25.17138715414515,1.493488819002387,13.422597074530835,1.5991104098407225,5.570284731167127,2.2558860574551467,2.281680619708606,1.155209164821716,0.8635093082290659
2024-04-18,46.2936515303703,24.99055302998182,1.4854278844244666,13.431878628983549,1.549655407861648,5.661326189231384,2.2607051426804676,2.2885690719221548,1.1759447785174133,0.8622883360268011
2024-04-19,46.22065975934325,24.985147248052193,1.4696063391305625,13.46341592593508,1.565252810696918,5.6772875415211965,2.266246495808356,2.294957041188553,1.1942004074135812,0.8632264309103136
2024-04-22,45.948554665813695,25.094063615321904,1.4673317552616192,13.537423486130502,1.595691887815021,5.693787054993535,2.284994849631993,2.3063302204040523,1.2046464640396042,0.8671760005880751
2024-04-23,46.139514264923406,25.014135722577418,1.458945900784895,13.482693453199957,1.6274617509656049,5.6733236768816155,2.2919245442599228,2.2970936583416233,1.198344955206084,0.8165620728594669
2024-04-24,31.301430987606416,24.94020564987434,16.3945904217834,13.48867876330431,1.618569928849105,5.663042632920567,2.305813817552337,2.2985300403133397,1.1893720034877413,0.7997657543084494
2024-04-25,31.331668172576798,24.908659205128163,16.389551421843155,13.498060608392079,1.6210555047907478,5.655064911609688,2.287152121034044,2.300479665110327,1.1867778100499786,0.821530579465021
2024-04-26,31.53361660928045,24.988520687101563,16.17005842154429,13.483705418186979,1.613065537352259,5.686354476372547,2.192921015803488,2.300224004720613,1.1940969164904671,0.8374369131473433
2024-04-29,31.630991839537554,24.903489144886677,16.098300302870967,13.492384134853513,1.6153314723760654,5.693244472709658,2.194443408882285,2.302829917890998,1.1963562617903136,0.8726290442019717
2024-04-30,4.3369300540639,3.4295712317929725,2.2011389206812098,1.8485909640710598,0.22297653057897962,0.7783030586068307,0.31045515736858426,0.3154445459555963,0.16277732709175916,0.12249425715743731
2024-05-02,31.584428693579742,24.971760911696805,16.03915555946648,13.465227770647411,1.6152454245764651,5.664092776461071,2.281470168936681,2.2939796208195347,1.1814189722725823,0.9032201015432277
2024-05-03,31.691275979658734,24.958772285407377,16.00344364550983,13.445156324366508,1.5770970644309708,5.604165203582191,2.33141820398406,2.2951624855149224,1.1875663178739788,0.9059424896714262
2024-05-06,31.8317419042011,24.916684122475104,15.985436047842324,13.44446773439009,1.577016293839376,5.603878187805485,2.2450100767171275,2.2952888779884018,1.1881499317688478,0.9123268229721445
2024-05-07,31.89541613935134,24.920241201055294,15.962825415200124,13.426519111951741,1.5749109468225622,5.596396902880672,2.239089590079963,2.2890249311373165,1.1857783498258507,0.909797411695136
