date,ABN AMRO CLEARING HONG KONG LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HAFOO SECURITIES LTD,BOOM SECURITIES (H.K.) LTD
2025-03-24,100.0,0.0,0.0,0.0
2025-03-25,100.0,0.0,0.0,0.0
2025-03-26,100.0,0.0,0.0,0.0
2025-03-28,100.0,0.0,0.0,0.0
2025-04-01,100.0,0.0,0.0,0.0
2025-04-03,100.0,0.0,0.0,0.0
2025-04-07,100.0,0.0,0.0,0.0
2025-04-09,99.99523696118123,0.0,0.004763038818766373,0.0
2025-04-10,99.99374843710928,0.0,0.006251562890722681,0.0
2025-04-11,99.99338011386205,0.0,0.006619886137958427,0.0
2025-04-14,99.99341715489435,0.0,0.006582845105654664,0.0
2025-04-15,99.99504729830122,0.0,0.004952701698776683,0.0
2025-04-16,99.98514189490368,0.0,0.004952701698776683,0.009905403397553365
2025-04-17,99.98685306104562,0.0,0.004382312984793374,0.008764625969586748
2025-04-22,99.83715395214831,0.1252661906551422,0.012526619065514218,0.025053238131028437
2025-04-24,99.84964290189198,0.1252975817566721,0.01252975817566721,0.01252975817566721
2025-04-25,99.84231274638633,0.1314060446780552,0.013140604467805518,0.013140604467805518
2025-04-30,99.90483743061063,0.07930214115781126,0.007930214115781126,0.007930214115781126
