date,CINDA INTERNATIONAL SECURITIES LTD,SPDB INTERNATIONAL SECURITIES LTD,CCB INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD
2024-03-01,0.0,0.0,0.0,67.86939186671663,0.0,0.0,25.71282858714623,0.0,6.417779546137149,0.0
2024-03-04,0.0,0.0,0.0,52.06259272988524,23.030589496251224,0.0,19.947064843163282,0.0,4.959752930700256,0.0
2024-03-06,0.0,0.0,0.0,47.651440662438276,21.162198199766156,0.0,18.29006035556395,8.350849563543688,4.545451218687928,0.0
2024-03-07,0.0,0.0,0.0,44.67102226048033,19.899507572933743,0.0,17.232124633287373,7.886662959734397,4.269687957514607,6.040994616049553
2024-03-08,0.0,0.0,0.0,44.562596879047724,19.90800522159706,0.0,17.30307363443055,7.907544820642522,4.271023039644387,6.047756404637748
2024-03-11,0.0,0.0,0.0,44.46942085309431,19.835993455198047,0.0,17.430361238303977,7.946934730863983,4.268387517339354,6.048902205200327
2024-03-12,0.0,0.0,0.0,44.42502376941134,19.777793247265496,0.0,17.52216110320242,7.96188737685554,4.264649003045289,6.048485500219912
2024-03-13,0.0,0.0,0.0,44.415844432587974,19.773706653484886,0.0,17.523706214405983,7.977461029508823,4.262045940326387,6.047235729685946
2024-03-14,0.0,0.0,0.0,44.41507055514894,19.770884582098915,0.0,17.523670096147853,7.97979686981832,4.261571506368973,6.049006390416996
2024-03-15,0.0,0.0,0.0,44.381958236174235,19.758466789545288,0.0,17.53693498396231,8.01479669614681,4.2584201269958575,6.049423167175499
2024-03-18,0.0,0.0,0.0,44.35635611398241,19.752045145831765,0.0,17.59876649250203,7.995300333540378,4.251129077925977,6.046402836217443
2024-03-19,0.0,0.0,0.0,44.355592469961586,19.751705092398705,0.0,17.60018512141543,7.995162685549666,4.251055890009149,6.046298740665467
2024-03-20,0.0,0.0,0.0,44.3639940006325,19.738226950723423,0.0,17.603518827198112,7.996677074170833,4.250139158367302,6.047443988907831
2024-03-25,0.0,0.0,0.0,44.36475793397159,19.738566836479016,0.0,17.60382195398415,7.9968147743116,4.248490377355638,6.047548123898006
2024-03-26,0.0,0.0,0.0,44.36628587958056,19.73408056417439,0.0,17.607872291498,7.99709018882053,4.246914671288769,6.047756404637748
2024-04-03,0.0,0.0,0.0,44.36628587958056,19.735802590485505,0.0,17.606150265186884,7.99709018882053,4.246914671288769,6.047756404637748
2024-04-05,0.0,0.0,0.0,44.360938530347106,19.733423887225555,0.0,17.616080974519114,7.996126321026703,4.246402802074075,6.047027484807447
2024-04-08,0.0,0.0,0.0,44.36170235846053,19.730319970056367,0.0,17.621549841949815,7.996264002200385,4.243032221879039,6.047131605453866
2024-04-11,0.0,0.0,0.0,44.359410953027954,19.73102260356822,0.0,17.627526677716002,7.9924074539650585,4.242813057451911,6.04681925427085
2024-04-12,0.0,0.0,0.0,44.3838648216733,19.741899660423122,0.0,17.58556288866675,7.9933679852726325,4.245151979249217,6.050152664714976
2024-04-15,0.0,0.0,0.0,44.337546784139406,19.741219493044305,0.0,17.583234364261973,8.043049418569698,4.245005721090474,6.049944218894148
2024-04-16,0.0,0.0,0.0,44.32609303740031,19.718897688702004,0.0,17.604525139893788,8.058193695003345,4.243909106055095,6.048381332945447
2024-04-18,0.0,0.0,0.0,44.32685643640663,19.719237294245147,0.0,17.60482833099586,8.058332475947884,4.242259962184566,6.048485500219912
2024-04-19,0.0,0.0,0.0,44.32838331330708,19.71991654042544,0.0,17.60543474453104,8.055165465705851,4.242406090497347,6.048693845533238
