date,ABCI SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,CCB INTERNATIONAL SECURITIES LTD,BNP PARIBAS,SHENG YUAN SECURITIES LTD,TFI SECURITIES AND FUTURES LTD
2024-03-15,0.0,0.0,0.0,0.0,100.0,0.0
2024-04-30,36.95267837448317,21.71445322152916,1.7310049273665373,0.0,0.8292437794277886,0.24014899852228758
2024-06-11,60.11723440134907,35.32661045531197,2.8160539629005057,0.0,1.3490725126475547,0.3910286677908938
2024-07-04,59.068621927893226,34.71041570288796,2.7669341166396477,1.744279296774031,1.3255409201109742,0.3842080356941659
2024-07-08,59.447014920918065,34.93277027386449,2.784659068529941,1.1148541464109145,1.3340323218022136,0.3866692684743716
2024-08-02,59.446908567253246,34.93274697315772,2.7827228655422047,1.1147867012140786,1.3340314319816895,0.3888034608510634
2024-08-05,59.444907520105275,34.93274697315772,2.7769198288130843,1.1147867012140786,1.3340314319816895,0.3966075447281563
2024-08-16,59.439363810599566,34.933212993199255,2.77695687429064,1.114734870556036,1.3340492286177172,0.4016822227367946
2024-08-20,59.43932416310729,34.933189691901866,2.7769550219932877,1.114734127000935,1.3340483387746385,0.40174865722198244
2024-08-27,59.06097560975609,34.71082979851538,2.7592788971367974,1.7441675503711558,1.325556733828208,0.3991914103923648
2024-10-09,59.06023187671947,34.71165196090452,2.759244150557489,1.7441455867138471,1.325540041582191,0.3991863835224769
2024-10-28,59.06011444689964,34.711781774125775,2.7592386643354883,1.744142118818522,1.3255374060028287,0.3991855898177518
2024-10-29,59.060036160612505,34.711868315986486,2.7592350068662745,1.7441398068959668,1.325535648955743,0.39918506068302195
2024-11-18,59.05960558974308,34.71234429211942,2.7592148909589187,1.7441270914314684,1.3255259852800338,0.3991821504670822
