date,BRIGHT SMART SECURITIES INTERNATIONAL,NANYANG COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,49.74373576309795,0.0,24.77220956719818,25.48405466970387,0.0
2024-03-06,0.0,0.0,49.86204928170488,0.0,24.831129293121492,25.306821425173627,0.0
2024-03-07,39.742042973687234,0.0,30.110306790761804,0.0,14.99482936918304,15.15282086636792,0.0
2024-03-08,39.776321085618996,0.0,30.13627738485424,0.0,15.007762635846127,15.079638893680638,0.0
2024-03-11,39.81065837937385,0.0,30.16229281767956,0.0,15.0207182320442,15.006330570902392,0.0
2024-03-12,39.82211732197341,0.0,30.170974612860512,0.0,15.025041736227045,14.981866328939036,0.0
2024-03-13,39.79920602957252,0.0,30.153616017490364,0.0,15.016397215350095,15.03078073758702,0.0
2024-03-15,39.76488848011037,0.0,30.12761554380317,0.0,15.003449068751436,15.10404690733502,0.0
2024-03-18,39.776321085618996,0.0,30.13627738485424,0.0,15.007762635846127,15.079638893680638,0.0
2024-03-19,39.76488848011037,0.0,30.12761554380317,0.0,15.003449068751436,15.10404690733502,0.0
2024-03-20,39.742042973687234,0.0,30.110306790761804,0.0,14.99482936918304,15.15282086636792,0.0
2024-03-21,39.66797603004846,0.0,30.168879204059984,0.0,15.05290019210368,15.110244573787885,0.0
2024-03-25,39.58851975849143,0.0,30.108449938478266,0.0,14.707986379374482,15.59504392365582,0.0
2024-03-27,39.65660561240576,0.0,30.160231604895806,0.0,14.647289821423454,15.535872961274974,0.0
2024-03-28,39.47556138899193,0.0,30.022541159015038,0.0,14.580420578080863,15.921476873912175,0.0
2024-04-02,39.47556138899193,0.0,29.965474933660513,0.0,14.580420578080863,15.978543099266698,0.0
2024-04-09,39.441799469738,0.0,29.88282920432192,0.0,14.567950508880461,16.107420817059612,0.0
2024-04-10,39.616000915646104,0.0,29.967380107588415,0.0,14.507267940940826,15.909351035824654,0.0
2024-04-11,36.69371949925737,0.0,27.776893698281352,7.30956927646934,13.446849140674729,14.77296838531721,0.0
2024-04-12,36.70345413063087,0.0,27.78426274738685,7.31150846288534,13.423887090783678,14.77688756831326,0.0
2024-04-16,36.73268903993203,0.0,27.806393372982157,7.317332200509771,13.434579439252337,14.709005947323705,0.0
2024-04-17,36.16835302219633,0.0,27.7401070085289,7.299888753509562,13.402553371828152,15.389097843937066,0.0
2024-04-18,36.177935565917764,0.0,27.747456549385337,7.301822806273845,13.406104281475201,15.36668079694786,0.0
2024-04-22,36.18752318863624,0.0,27.701807388562038,7.303757884136322,13.409657073196588,15.397254465468807,0.0
2024-04-24,36.260046531302876,0.0,27.635892554991543,7.365693739424704,13.377749576988155,15.360617597292725,0.0
2024-04-25,36.212177219200505,0.0,27.599408565242644,7.355969794582035,13.360088715213603,15.47235570576121,0.0
2024-04-29,36.35147190008921,0.0,27.425617883192526,7.309649997376293,13.354672823634358,15.558587395707612,0.0
2024-04-30,36.363874963911705,0.0,27.43497545996168,7.31214403821422,13.325109577176452,15.563895960735938,0.0
2024-05-06,36.3715118263198,0.0,27.419735909484682,7.313679678681123,13.327908014595858,15.567164570918541,0.0
2024-05-07,36.486096158390886,0.0,27.42693590315889,7.315600136543865,13.331407714728357,15.439960087178006,0.0
2024-05-14,36.502769537710336,0.0,27.419735909484682,7.313679678681123,13.327908014595858,15.435906859527998,0.0
2024-05-16,36.512354593913294,0.0,27.42693590315889,7.551926056245568,13.331407714728357,15.177375731953891,0.0
2024-05-17,36.41672995835843,0.0,27.09320901972082,8.055941125631826,13.296493203781786,15.137626692507137,0.0
2024-05-20,36.89906673986354,0.0,27.04363056492301,7.779781977884087,13.272161660523357,15.005359056806004,0.0
2024-05-22,33.783944029408275,0.0,24.534566583659434,7.0105537768291235,12.040792126170995,13.565753587098303,9.064389896833868
2024-05-23,33.89850604695281,0.0,24.519800806260374,7.009722551576951,11.944510315390087,13.564145126867441,9.063315152952336
2024-05-24,33.08457711442786,0.0,24.615020137408198,7.6190476190476195,11.93319118692253,13.69343757403459,9.054726368159203
2024-05-27,33.08692870850807,0.0,24.562276399649345,7.619589167673609,11.934039377354468,13.741796384485985,9.055369962328523
2024-05-29,33.09476977036282,0.0,24.544398890916415,7.763585088987368,11.936867549825816,13.602862762755647,9.05751593715193
