date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BOCOM INTERNATIONAL SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CMB INTERNATIONAL SECURITIES LTD
2024-03-01,7.38775829001025,8.144489807435114,0.0,0.0,1.4741173442115456,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,8.588595856373303,0.0,1.4822959045382083,0.0,0.0,0.0,0.0
2024-03-07,7.3407315681319405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,2.0946656089970705,0.0,0.0,0.0
2024-03-11,0.0,8.145239508798394,8.588459547034526,0.0,1.4802512644565426,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,0.0,2.087850142058185,0.0,0.0,0.0
2024-03-13,7.326896170246003,8.087376194487254,8.59050418711619,2.164455990451258,1.4577602235582203,0.0,0.0,0.0,0.0
2024-03-14,7.63781777199796,8.03830483252728,8.574147066462865,2.041845740220708,1.4632125971093286,1.9719872040971316,0.0,0.0,0.0
2024-03-15,7.64667787901851,8.123566323932737,8.5721024263812,0.0,1.43813167877423,1.9518815766274191,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,0.0,1.427908478365902,0.0,0.0,0.0,0.0
2024-03-20,7.642588598855178,0.0,8.570057786299534,0.0,1.4483548791825582,1.910307228300218,0.0,0.0,0.0
2024-03-21,7.622142198038523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0,0.0,8.5721024263812,0.0,1.4503995192642238,0.0,0.0,0.0,0.0
2024-03-25,7.620097557956856,0.0,0.0,2.0622921410373642,1.4647119998358835,0.0,0.0,0.0,0.0
2024-03-26,0.0,0.0,0.0,0.0,0.0,1.9184857886268805,0.0,0.0,0.0
2024-04-02,8.727582992111302,0.0,0.0,2.058884407567922,1.444265599019227,1.910307228300218,0.0,0.0,0.0
2024-04-03,8.721449071866305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,8.123089241247015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,8.74189547268296,0.0,0.0,0.0,1.4463102391008926,0.0,0.0,0.0,0.0
2024-04-09,8.745984752846292,0.0,0.0,2.060929047649587,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,1.43813167877423,0.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,1.4401763188558958,0.0,0.0,0.0,0.0
2024-04-16,0.0,8.141218383304452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,0.0,8.161664784121108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,0.0,8.160983237427219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,8.757571046642399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,8.7514371263974,0.0,0.0,0.0,1.462667359754218,1.8939501076468925,0.0,0.0,0.0
2024-05-06,8.744621659458515,8.171206437835547,0.0,0.0,1.4667566399175491,0.0,0.0,0.0,0.0
2024-05-07,8.74666629954018,8.172569531223324,0.0,0.0,1.4708459200808806,0.0,0.0,0.0,0.0
2024-05-08,8.743258566070738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,0.0,8.170865664488602,0.0,2.0629736877312532,0.0,0.0,0.0,0.0,0.0
2024-05-17,8.742508864707462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,8.738419584544129,8.195401345468591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,0.0,0.0,2.060929047649587,1.472549786815602,0.0,0.0,0.0,0.0
2024-05-24,8.737056491156352,0.0,0.0,2.05956595426181,0.0,0.0,0.0,0.0,0.0
