date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,54.50553985078245,9.310640831600029,10.045377753464688,5.338902264921986,12.982160360168448,0.0,4.602867286586417,1.2657988156243485,1.474567831393661,0.4741450054579731
2024-03-04,54.52809314485659,9.207202700559584,9.982236429158519,5.467340367160413,13.038408148897934,0.0,4.582648188955122,1.258144581951743,1.4650002106000357,0.4709262278600552
2024-03-05,54.57053347304041,9.166830071824183,9.968603599938435,5.489238979272008,13.087290465137025,0.0,4.578894977588034,1.25652572306159,1.4134910518040125,0.4685916583342976
2024-03-06,54.53257752358935,9.187512680992786,9.975001806648,5.511886075609186,13.068817929180303,0.0,4.583291326500024,1.2583704283692885,1.4133960393175857,0.46914618979347034
2024-03-07,54.65445917206655,9.203644336473776,9.97797289096843,5.51069773217496,12.986420959201014,0.0,4.57852117920575,1.2597561846411511,1.394880402832205,0.43364714243615776
2024-03-08,54.82289748877014,9.17398626344811,9.968852177097403,5.440886279970375,12.945533249492508,0.0,4.574248595316481,1.2589140326035593,1.388473165717932,0.4262087475834931
2024-03-11,54.91375795193238,9.230252021384002,9.993406681169008,5.48676717741573,12.374042532243593,0.0,4.906728090140718,1.2607381057375646,1.416056860084758,0.4182505798922426
2024-03-12,52.26764194226876,8.926060429469802,9.55032012004232,5.264604872676309,11.777822122343942,4.6019268049478335,4.679988460431109,1.2031808670029798,1.3290341819589764,0.3994201988579718
2024-03-13,52.0777954415156,9.012884848585806,9.553956711213715,5.253655063515387,11.853446190560103,4.603796337128425,4.686526184868088,1.2047641723226157,1.3534405712987005,0.39973447899156084
2024-03-14,52.132540791231406,9.092586224955227,9.520424951778402,5.22235804832046,11.904998294372028,4.587880197563802,4.652145211581642,1.1906936005305064,1.304625125574,0.391747554092524
2024-03-15,52.33127060387696,9.10081678561453,9.49595453247248,5.305959983593593,11.694903330968828,4.5767293088954375,4.643120068124581,1.1832810604906698,1.2986282400534646,0.3693360859094632
2024-03-18,52.25547558860255,9.201875560307867,9.487479939270354,5.549487003432845,11.474221157044893,4.569084689498696,4.612824642085613,1.1811596124517603,1.2983902409323693,0.37000156637305504
2024-03-19,52.287887577071736,9.205069711955979,9.479505175052044,5.7217724734459905,11.320524242696663,4.565244115044206,4.589693533526998,1.1775137085417102,1.2861439070676024,0.3666455555970752
2024-03-20,52.231051421633545,9.238700145691226,9.489191667133024,5.7370420628276175,11.456128174773896,4.565353635695884,4.5278487650861035,1.1640688896439524,1.2343425858241168,0.3562726516906396
2024-03-21,52.096707204143314,9.490878435112931,9.498283847714,5.6712046268211775,11.504530636626432,4.570123246675804,4.46645215369294,1.1662274672471693,1.1797029099905494,0.35588947197568016
2024-03-22,52.190655247530934,9.41529785222842,9.500095984913633,5.689214156170152,11.56325408528375,4.570997996585222,4.400970924097828,1.166365919175671,1.146026715825642,0.3571211181887487
2024-03-25,51.9320408945872,9.412582442588667,9.505639979708953,5.803050312845524,11.730155821684257,4.573665505328577,4.346780398784624,1.1688609249016069,1.1426487565050185,0.3845749630655721
