date,ABN AMRO CLEARING HONG KONG LTD,BNP PARIBAS,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CHINA MERCHANTS SECURITIES (HK) CO LTD,BOOM SECURITIES (H.K.) LTD,HANG SENG BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,IFAST SECURITIES (HK) LTD,LONG BRIDGE HK LTD
2024-09-17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19,75.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23,66.66666666666666,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26,83.33333333333334,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27,57.72005772005772,0.0,0.0,42.279942279942276,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-02,55.99104143337066,0.0,0.0,44.00895856662934,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-03,70.49345417925478,0.0,0.0,29.506545820745217,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-04,33.5946248600224,0.0,0.0,66.40537513997761,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-07,35.24672708962739,0.0,0.0,64.7532729103726,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-08,45.31722054380665,0.0,0.0,54.68277945619335,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-09,53.83580080753701,0.0,0.0,46.16419919246299,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-10,66.04823747680891,0.0,0.0,33.95176252319109,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-14,28.426395939086298,0.0,0.0,71.57360406091371,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-15,47.863247863247864,0.0,0.0,52.13675213675214,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16,83.58340688437775,0.0,0.0,16.15180935569285,0.0,0.0,0.264783759929391,0.0,0.0,0.0
2024-10-17,83.58340688437775,0.0,0.0,16.15180935569285,0.0,0.0,0.264783759929391,0.0,0.0,0.0
2024-10-18,46.70487106017192,0.0,0.0,52.43553008595988,0.0,0.0,0.8595988538681949,0.0,0.0,0.0
2024-10-21,46.70487106017192,0.0,0.0,52.43553008595988,0.0,0.0,0.8595988538681949,0.0,0.0,0.0
2024-10-30,42.44791666666667,9.114583333333332,0.0,47.65625,0.0,0.0,0.78125,0.0,0.0,0.0
2024-11-04,35.54603854389722,7.494646680942184,0.0,56.3169164882227,0.0,0.0,0.6423982869379015,0.0,0.0,0.0
2024-11-08,48.29821717990275,5.6726094003241485,0.0,45.54294975688817,0.0,0.0,0.48622366288492713,0.0,0.0,0.0
2024-11-12,0.7380073800738007,12.915129151291513,0.0,85.23985239852398,0.0,0.0,1.107011070110701,0.0,0.0,0.0
2024-11-18,0.5714285714285714,18.857142857142858,0.0,79.71428571428572,0.0,0.0,0.8571428571428572,0.0,0.0,0.0
2024-11-19,22.857142857142858,18.857142857142858,0.0,56.85714285714286,0.0,0.0,1.4285714285714286,0.0,0.0,0.0
2024-11-21,45.904173106646056,10.200927357032457,0.0,43.12210200927357,0.0,0.0,0.7727975270479135,0.0,0.0,0.0
2024-11-26,54.5934530095037,6.9693769799366425,0.0,37.90918690601901,0.0,0.0,0.5279831045406547,0.0,0.0,0.0
2024-11-27,36.484490398818316,9.748892171344165,0.0,53.028064992614475,0.0,0.0,0.7385524372230428,0.0,0.0,0.0
2024-11-28,48.301329394387,9.748892171344165,0.0,41.211225997045794,0.0,0.0,0.7385524372230428,0.0,0.0,0.0
2024-12-10,65.87887740029542,9.748892171344165,0.0,23.63367799113737,0.0,0.0,0.7385524372230428,0.0,0.0,0.0
2024-12-11,66.07929515418502,9.691629955947137,0.0,23.494860499265783,0.0,0.0,0.7342143906020557,0.0,0.0,0.0
2024-12-12,70.63142437591777,5.139500734214391,0.0,23.494860499265783,0.0,0.0,0.7342143906020557,0.0,0.0,0.0
2024-12-16,58.41995841995842,7.276507276507277,0.0,33.264033264033266,0.0,0.0,1.0395010395010396,0.0,0.0,0.0
2024-12-17,41.78794178794179,7.276507276507277,0.0,29.10602910602911,0.0,20.79002079002079,1.0395010395010396,0.0,0.0,0.0
2024-12-18,40.119760479041915,6.986027944111776,0.0,27.944111776447105,0.0,19.960079840319363,4.990019960079841,0.0,0.0,0.0
2024-12-20,56.2624254473161,6.958250497017893,0.0,11.928429423459244,0.0,19.880715705765407,4.970178926441352,0.0,0.0,0.0
2024-12-30,16.334661354581673,4.648074369189907,0.0,62.41699867197875,0.0,13.280212483399733,3.3200531208499333,0.0,0.0,0.0
