date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,34.99711056037877,23.7586949286836,9.327692353182128,11.080068260103246,9.505624134232042,4.961328337846836,3.18782401494839,2.1085771261051054,1.073080284519878,0.0
2024-03-04,34.62612122381406,23.50280190790182,9.22628671693086,10.879917762429763,9.346528057156437,4.8280199301084386,3.135960921887171,2.0521174184397553,1.0328319228273204,1.3694141385043772
2024-03-05,34.4893601618119,23.535564902504174,9.404961626252692,10.911489051914817,9.320599541349871,4.792356261858784,3.132376030128164,1.975223729467504,1.0607583153280724,1.377310379384019
2024-03-06,34.491009125028974,23.280921010425182,9.781776078318497,10.835847147420973,9.342828633169319,4.764922117355301,3.124668861947242,1.9389179217663564,1.0616606829857065,1.377448421582452
2024-03-07,34.36602151036777,23.46112007902655,9.886170403421092,10.8079779315626,9.294815797030797,4.731900561906601,3.119069252495752,1.8897613915230798,1.0658467917498793,1.3773162809158774
2024-03-08,34.46070264703799,23.382747807347815,9.834931217369098,10.815632250246662,9.332833434785682,4.703856715101714,3.1221344516856897,1.9031804458794142,1.064184757952773,1.379796272593162
2024-03-11,34.320552423909014,23.634720320827178,9.87410137921982,10.81367429926429,9.358278677884394,4.604963566356587,3.0852032896194923,1.865438432781679,1.0648130552940906,1.378254554843459
2024-03-12,34.309484653655744,23.695545499058646,10.009462512622028,10.762265962714658,9.330095891690927,4.571134013038107,3.0713474272918524,1.79524381345765,1.0775207070756343,1.3778995193947503
2024-03-13,34.30151833590539,23.81842965188729,9.705416965208325,10.716877446412942,9.371266001212932,4.578744626214999,3.0902002392038144,1.8486064582311403,1.1901022846840592,1.3788379910391118
2024-03-14,34.36350414968261,23.91980297495223,9.298086547802344,10.684654924032287,9.382285382296475,4.585865201739246,3.1018227020738975,1.9358869424616707,1.3458114078006016,1.3822797671586362
2024-03-15,34.35474077307844,23.95107919655457,9.298038674667104,10.657528203040588,9.43360416266444,4.571085572850388,3.0871574292278945,1.9361139641608522,1.3330143231104925,1.377637700645234
2024-03-18,34.40486163503258,23.787287261303707,9.31708181977145,10.635668649907458,9.528995022282572,4.597044398650511,3.0832030774295274,1.9377104698354217,1.3237058810458548,1.384441784740916
2024-03-19,34.397550060854094,23.796500727594676,9.303238763357504,10.61821600462854,9.481988055898535,4.592065704059519,3.084724918540248,1.9299765487339984,1.4128458880001102,1.3828933283327813
2024-03-20,34.439344624679954,23.768856605240718,9.284112215833728,10.614892162544752,9.48367263973133,4.590819780960899,3.082971814418094,1.93626519172787,1.416782302444381,1.3822826624182665
2024-03-21,34.38749756246496,23.78390203237548,9.324384172432248,10.602128211913971,9.473764571227019,4.579668540480065,3.082712608045676,1.939947909032946,1.4448641516141547,1.3811302404134818
2024-03-22,34.41120965342814,23.767672718069306,9.27863927238891,10.600911608761848,9.4329872736346,4.574852864123853,3.0816986438973775,1.9623167335995277,1.5097783850975721,1.379932846998869
2024-03-25,34.426478662538166,23.77218421854623,9.34030810711931,10.587509283861825,9.414788877884394,4.571971518641541,3.0782085864238007,1.9617052390979988,1.4654608323775127,1.3813846735092172
2024-03-26,34.479819952648846,23.731889113567885,9.455172856937637,10.580217132293198,9.361012509315362,4.5695870483274525,3.0736908501255034,1.9637185598218112,1.4041491985105616,1.3807427784517439
2024-03-27,34.47737747442162,23.776002952175666,9.389659227430998,10.587934183525158,9.350543378550643,4.572585944094644,3.0740915489812193,1.9781029153694951,1.4121222526941088,1.3815801227564448
