date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,RICHE BRIGHT SECURITIES LTD,CHINA MERCHANTS BANK CO LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,HAITONG INTERNATIONAL SECURITIES CO LTD,CITIBANK N.A.
2024-03-01,0.0,0.0,0.0,10.089849305506302,37.77188478016135,0.0,0.0,48.31823768093539,0.0,3.8200282333969597
2024-03-04,0.0,0.0,0.0,10.111107541555858,37.91527802410154,0.0,0.0,48.31661974657429,0.0,3.6569946877683126
2024-03-05,0.0,0.0,0.0,10.248131824540758,37.92278700825194,0.0,0.0,48.22364759010826,0.0,3.60543357709904
2024-03-06,0.0,0.6527911077188291,0.8296341837229265,10.056257930647822,37.35100425034692,0.0,0.0,47.50310676169326,0.0,3.607205765870247
2024-03-07,0.0,0.8636420197301956,1.9731065790813285,9.350175730484517,37.35414891885942,0.0,0.0,47.317575745973514,0.0,3.1413510058710252
2024-03-08,0.0,0.859747839696651,1.3101809470159835,3.905404561822037,15.752075636876903,0.0,55.081801268913054,20.45732604217325,0.0018690170428188068,2.6315946864593083
2024-03-11,0.0,2.1449381616255416,3.462005453851752,3.28862983608065,14.28097441686272,0.0,53.918991091577105,19.995559601700492,0.002753450785141902,2.9061479875165883
2024-03-12,0.0,3.2077967516029626,4.219061927596781,3.1414704787278827,14.380097253587138,0.0,52.72330624776652,20.394627291249982,0.004677452247890001,1.928962597220845
2024-03-13,0.0,3.177896731920976,4.333240406905494,3.175183779161903,14.311031614319154,0.0,52.73044662686422,20.3948562415688,0.0037420038056178704,1.8736025954538396
2024-03-14,0.0,3.571740589211726,4.401707892403523,3.1591734157662184,14.352690562537527,0.0,52.484976011807284,20.2621692910239,0.0009294146732270951,1.7666128225765978
2024-03-15,0.0,3.560791838609541,4.505397215821954,3.1830422960948903,14.466094223460294,0.0,52.288538047222865,20.11546411610867,0.10279529104958622,1.777876971632204
2024-03-18,0.0,3.34467414962449,4.48587474093168,3.1971259202032436,14.529851356069443,0.0,52.416299575833655,20.169257968904372,0.10307019172912783,1.7538460967039826
2024-03-19,0.0,3.2528918729808995,4.414107278438612,3.3264913429902787,14.816401423233241,0.0,52.122567774783754,20.210544729124173,0.10328117788926769,1.7537144005597656
