date,YUE XIU SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CHINA MERCHANTS BANK CO LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,32.22124927233969,30.515989861445476,8.421686788256338,7.612434573275137,8.778084663373814,0.0,3.1477441519330114,5.8451767672557855,2.351839031563,1.1057948905577484
2024-03-04,32.302233526070324,30.65290108131915,8.316185062605138,7.589933613479209,8.804315929646735,0.0,3.1559398529285243,5.896269801861035,2.353628866908204,0.928592265181683
2024-03-05,32.347474280015575,30.705049816970558,8.238176100837265,7.618282685545835,8.8101695302643,0.0,3.160824988446763,5.886153531053199,2.351415665003904,0.8824534018626012
2024-03-06,32.435212807883254,30.757228768673077,8.277836057679293,7.481640470664244,8.839044092804006,0.0,3.169375096745999,5.779693189875626,2.367446263753067,0.8925232519214338
2024-03-07,32.39118336786602,30.652794139990768,8.420595610020996,7.519689358261774,8.841703141587406,0.0,3.1648828013900037,5.754652346277514,2.3736851387470574,0.8808140958584589
2024-03-08,32.353451382196155,30.594457659019188,8.4642351566803,7.588152290900305,8.835440034408274,0.0,3.161627408615175,5.746188331156176,2.371160541943827,0.8852871950805995
2024-03-11,32.355535434462375,30.596568464159162,8.457094232912347,7.58731261268502,8.83881153088877,0.0,3.1618310653035455,5.737108115653113,2.373657081495351,0.8920814624403256
2024-03-12,32.336929523456895,30.590781757654028,8.471387921338659,7.620599516134635,8.841600211599953,0.0,3.1600128679958686,5.6872932084826,2.3960161913260847,0.8953788020112794
2024-03-13,32.40509339579805,30.61221572673573,8.49849199407889,7.48132673048914,8.824185866401928,0.0,3.1666739430238553,5.7107807312268495,2.4056285486369,0.89560306360866
2024-03-14,32.0994994765735,30.151638573880284,8.487065980041198,7.516407547396914,8.717168582415843,0.0,3.136551427840691,6.605794671856955,2.385729949850429,0.9001437901441853
2024-03-15,32.05185940246605,30.0945274093457,8.535601695451819,7.636636275006274,8.705956781439236,0.0,3.1320832835813057,6.542692741909918,2.383032549736107,0.917609861063589
2024-03-18,32.05108071072172,29.925209983397632,8.697732156754977,7.7355266420816875,8.707954270149127,0.0,3.1320071904172595,6.474496941450443,2.3951147419726504,0.8808773630545007
2024-03-19,32.083708756328356,29.955477088653815,8.730204454643337,7.554363369809808,8.727828164499698,0.0,3.135195578177772,6.498409764222307,2.3983433751696994,0.9164694484952102
2024-03-20,32.11277384464534,29.878942873966015,8.61982957446995,7.661688842832537,8.751401876189822,0.0,3.138012788435787,6.565859326950172,2.409257221640396,0.862233650869985
2024-03-21,32.18011384871531,29.819613418873498,8.635575769219829,7.68313546765418,8.821319328860817,0.0,3.1465304133968344,6.4255336460537436,2.4268915291887883,0.8612865780369998
2024-03-22,32.19284059780339,29.852968681138275,8.613825328024074,7.682069001920978,8.836888889027577,0.0,3.147756354651116,6.35185397869814,2.431849823089773,0.8899473456466758
2024-03-25,32.177922247978344,29.84957599136482,8.608040533446582,7.614240687983295,8.8349172284843,0.0,3.1453539303641054,6.428934274709654,2.449739163260371,0.8912759424085313
2024-03-26,32.23801351421835,29.787505405524666,8.666190444193695,7.645479010014766,8.891338870806903,0.0,3.151227780732441,6.289678668027457,2.465990875744254,0.8645754307374649
2024-03-27,32.23001990921315,29.653028725410397,8.740891543196472,7.6326182106089355,8.932166817220772,0.0,3.1516752579746696,6.327999257230757,2.4670279585511072,0.8645723205937453
2024-03-28,32.16839811345585,29.625237571459728,8.741500641572719,7.755405414795942,8.935143305015375,0.0,3.1456356120848454,6.2931428446022215,2.4624890123967167,0.8730474846166008
2024-04-02,32.19120370191585,29.64336343735215,8.873253261334318,7.795634706387879,8.958927579159713,0.0,3.1473023780059326,6.024899038521444,2.465920126077361,0.899495771245349
2024-04-03,32.13842382655172,29.63724054087653,8.91830942140497,7.769677418745529,8.934331798353481,0.0,3.142282471829245,6.057586949057476,2.5025110965543975,0.8996364766266538
2024-04-05,32.2318210177178,29.740520627724283,9.011215497929479,7.433073082226508,9.017232795623515,0.0,3.1547894989226632,5.981524518236927,2.5277690527861854,0.9020539088326449
2024-04-08,32.246704274659436,29.845509493433077,9.01851456258127,7.378865357154547,9.044015834853901,0.0,3.156186078057144,5.866833868641848,2.514768837283853,0.9286016933349222
2024-04-09,32.25111912328016,29.82200472461496,9.01974927408042,7.379875586704429,9.06992586125061,0.0,3.1566181868281613,5.908932906583267,2.5004528558849732,0.8913214807730185
2024-04-10,32.332129815199565,29.686147423628363,9.231778611421497,7.380247651576842,9.100220177639745,0.0,3.164828660272396,5.756509044021402,2.512097209776774,0.8360414064634218
2024-04-11,32.32108137026923,29.688604015243307,9.188953600398598,7.298527174711822,9.116258412305218,0.0,3.1637471838782703,5.83094690444959,2.513039826474082,0.8788415122698762
2024-04-12,32.320185195753645,29.742173255569952,9.258842776858856,7.278276904351023,9.119655025327528,0.0,3.163659461887552,5.725422600941727,2.5134440924863783,0.8783406868233319
2024-04-15,32.4047315473221,29.712997997205925,9.290604802940699,7.393577879522832,9.1506612224943,0.0,3.171930625286104,5.564938694109442,2.5250522725471356,0.7855049585714594
