date,REALORD ASIA PACIFIC SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,NANYANG COMMERCIAL BANK LTD,ABCI SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CNCB (HONG KONG) CAPITAL LTD,FORTUNE ORIGIN SECURITIES LTD
2024-03-01,0.0,53.13674087713234,0.0,29.026841346265698,0.0,0.0,0.0,9.454442811620876,0.0,8.381974964981097
2024-03-04,81.90148912747426,9.592011898341596,0.0,5.2459543415528564,0.0,0.0,0.0,1.7246955565201778,0.0,1.5358490761111159
2024-03-05,81.81356250444071,9.586402039289608,0.0,5.325824364150867,0.0,0.0,0.0,1.7191411487841608,0.0,1.5550699433346646
2024-03-06,71.36826081937039,8.36248685567542,0.0,4.645151975775666,0.0,0.0,12.762927072413815,1.5157046679711912,0.0,1.3454686087935144
2024-03-07,71.39093596904542,8.365500754136418,0.0,4.643950589329538,0.0,0.0,12.766982114225625,1.5085094143180486,0.0,1.3241211589449444
2024-03-08,71.3657243008431,8.360048602006815,0.0,4.643737941019962,0.0,0.0,12.762473461794613,1.5263417256881515,0.0,1.3416739686473609
2024-03-11,71.34853866285667,8.357143526630178,0.0,4.6385170063924175,0.0,0.0,12.759400120202768,1.5266878527060153,0.0,1.3697128312119589
2024-03-12,71.31172355430381,8.351363288654081,0.0,4.642875195079939,0.0,0.0,12.75275263580622,1.613826299054867,0.0,1.3274590271010849
2024-03-13,71.24463988032737,8.43289590576823,0.0,4.639867024763472,0.0,0.0,12.755265496342949,1.6124500835032072,0.0,1.31488160929476
2024-03-14,71.22421653778572,8.432617707567696,0.0,4.634971574673067,0.0,0.0,12.751609008544301,1.61337932249583,0.0,1.3432058489333805
2024-03-15,71.17876341376773,8.515393332477164,0.0,4.637236650561458,0.0,0.0,12.722169573187465,1.6320033836417656,0.0,1.3144336463644346
2024-03-18,67.32372652422139,8.51067436024473,0.0,4.638863128100376,3.882119272064149,0.0,12.718315961062531,1.632948199613438,0.0,1.2933525546933966
