date,TSE\,SILVERBRICKS SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,ZHESHANG INTERNATIONAL FINANCIAL,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-07,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,49.31723890104864,50.68276109895136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,33.88614096893257,38.34900678842398,7.7713930415292145,0.0,6.029379922566837,0.0,5.745738907453772,3.6949150320355924,2.503950747795513,2.0194745912625214
2024-05-27,35.60702273025109,37.647810961834644,7.170664951640167,0.0,5.957961124370396,0.0,5.640680433193762,3.6686075857957965,2.324702884491127,1.9825493284230173
2024-05-28,36.272341880938626,37.29396256415536,7.121297115363707,0.0,6.103883105548454,0.0,5.585260370480194,3.402158681799347,2.2571807565659143,1.9639155251484048
2024-05-29,36.647923788341636,37.24203927518349,7.098179776126693,0.0,5.939354518458393,0.0,5.577484176472901,3.266596525732356,2.2672407164530473,1.9611812232314871
2024-05-30,36.65144301095302,37.24801624657375,7.103662793568478,0.0,5.917118239421396,0.0,5.579220119044659,3.27171160433837,2.2674584347838556,1.9613695513164744
2024-05-31,36.665966951392946,37.26397741650704,7.092067885469534,0.0,5.919463027670516,0.0,5.581431007731527,3.292221279656927,2.2227256444300894,1.9621467871414187
2024-06-03,36.66296689007672,37.26185455794854,7.088237608118146,0.0,5.898263414340777,0.0,5.578416593723864,3.3276486661861755,2.221525196855179,1.961087072750601
2024-06-04,32.108763780969696,32.63641205313307,6.207750389236842,12.442829175039913,5.150877206646654,0.0,4.88547643230153,2.904834730621768,1.9455716170804933,1.7174846149700302
2024-06-05,32.07572352978065,32.64377925943926,6.201362549655772,12.430025374674065,5.1298267416768155,0.0,4.8804492263460935,2.9658962715773747,1.957219741374595,1.7157173054753692
2024-06-06,32.16251495179432,31.90667197898805,6.353960250559078,12.463658897451262,5.154235692893449,0.0,4.893654887257431,3.108686502348701,2.236257095640014,1.7203597430676942
2024-06-07,33.11970012750442,29.74463051584666,6.824948026143785,12.834588520014318,5.352081958865575,0.0,4.930875873376002,3.1513312544265175,2.2702845380055736,1.7715591858171478
2024-06-11,33.108931260067514,29.396803148055884,7.10344164850342,12.830415354742675,5.367683058317545,0.0,4.967206755430451,3.16439642869052,2.273881687299386,1.7872406588926062
2024-06-12,33.19672173624864,29.125917767936887,7.008172661944072,12.864436032267626,5.381915817689256,0.0,4.980377625940406,3.39882206163354,2.251656653054445,1.7919796432851254
2024-06-13,33.20105131355049,29.131890120741367,7.009086680669344,12.866113835596787,5.382617737015805,0.0,4.981027175919926,3.3992653422372086,2.236734437713988,1.7922133565550855
2024-06-14,33.23500544783106,28.892956647834534,7.016254750984106,12.879271785106194,5.388122445999191,0.0,4.986121185262856,3.569199608295738,2.23902190688871,1.7940462217976108
2024-06-17,33.55959266626939,27.645906424206796,7.084778483199269,13.563137719581048,5.430857874351928,0.0,5.034817768414056,3.609550859800667,2.259790562868801,1.811567641308047
2024-06-18,33.54927277691427,27.638503296576687,7.082599847398198,13.558966927582286,5.429187834643044,0.0,5.033269514750495,3.638093578773607,2.2590956560859197,1.811010567275489
2024-06-19,33.538959232533465,27.6311047206092,7.0804225510870875,13.554798699910245,5.427518821724146,0.0,5.031722212999243,3.672108299580819,2.2529116258072106,1.8104538357485822
2024-06-20,33.67910064662774,27.254846375713115,7.1651327452675675,13.611436970776026,5.450197526731839,0.0,4.882962444805363,3.875979192488685,2.26232534132775,1.81801875626192
2024-06-21,33.715156403517085,27.309409128212213,7.156248334437763,13.626008935374557,5.6326208165951765,0.0,4.431267282968479,3.9342089139474754,2.375115116549979,1.8199650683972657
2024-06-24,33.58025150333782,27.204532676594358,7.127613943552522,13.57148700603014,5.59909031793411,0.0,4.4124371328531495,4.337285683114377,2.354618918428362,1.8126828181551677
2024-06-25,32.676503443571484,23.934030527363888,6.935787885561003,13.206236464394841,5.467655733659017,0.0,4.293684850808431,9.364634295895726,2.32013015480904,1.8013366439365712
2024-06-26,32.7058906337067,23.95555528771728,6.94202549656129,13.2181133221076,5.513257294037994,0.0,4.297546320665795,9.376268176483338,2.1883868160042064,1.8029566527157943
2024-06-27,32.724810327188685,23.96941308991904,6.946041317320003,13.225759732207395,5.465026184501542,0.0,4.3000323639300575,9.375264605079943,2.1896527533315986,1.8039996265217282
2024-06-28,32.678251202815886,23.935310680339317,7.069875677602795,13.206942822769573,5.457250835117365,0.0,4.293914505961208,9.370483852318774,2.1865374315358017,1.8014329915392808
2024-07-02,32.202182777069496,23.382107377837453,6.91417169159352,13.014539366429881,5.377747657366114,0.0,4.23135922702491,10.816250870858253,2.286451958997765,1.7751890728226078
2024-07-03,30.582823246375074,20.874769134154988,11.196749220487717,12.360073844433241,5.107315463905409,0.0,4.018575766366031,11.977272591350914,2.196501054162201,1.6859196787644237
2024-07-04,30.580374027640765,20.879103741472548,11.195852531266674,12.359083990613227,5.106906445659597,0.0,4.018253939601611,11.978315513637195,2.196325147853995,1.685784662254388
2024-07-05,30.55193062044406,19.490507526882737,11.18543904867901,11.249447283578458,5.102156411555433,0.0,4.014516482599923,14.50750106941571,2.2142848760528726,1.6842166807917964
2024-07-08,30.5424612391885,19.485466383741805,11.181972191275507,11.245960587219859,5.100575029845493,0.0,4.0132722081348255,14.54299730697462,2.2036003853336212,1.6836946682857612
2024-07-09,30.46296731043415,19.43475088100861,11.152868482384951,11.216690333500173,5.094280100345451,0.0,4.002826724632796,14.50913460652533,2.4471691036992733,1.6793124574692646
2024-07-10,30.464486294737746,19.435719961966214,11.153424601294583,11.217249634778387,5.089547787259201,0.0,4.003026318812273,14.509858079964458,2.4472911276445735,1.6793961935425679
2024-07-11,30.44778579440478,19.42506538389272,11.147310341908574,11.211100386783587,5.086757719056724,0.0,4.055651446819204,14.501903838184333,2.445949533176291,1.6784755557737872
2024-07-12,30.43595471225487,19.417517395153045,11.135008179395065,11.206744094652441,5.1166637889480455,0.0,4.05407554419815,14.511213822411918,2.4449991116889302,1.6778233512975385
2024-07-15,30.44960677732611,19.287674844220906,11.140002793747435,10.665535960370217,5.1189588714468455,0.0,4.055894002125833,15.157654993378353,2.446095817453132,1.6785759399311633
2024-07-16,30.451427978074584,19.28882844624012,11.125716500696951,10.666173869497122,5.119265038018923,0.0,4.056136586447083,15.16753312570006,2.4462421192285926,1.6786763360965566
2024-07-17,30.44960677732611,19.287674844220906,11.125051107821681,10.665535960370217,5.1189588714468455,0.0,4.055894002125833,15.172606679304106,2.446095817453132,1.6785759399311633
2024-07-18,30.478468061182877,19.305956428698725,11.135595850165709,10.67564515695485,5.123810813415107,0.0,4.055747435796399,15.097192701045941,2.4474165953280607,1.6801669574123335
2024-07-24,30.371500693338895,19.23820015765705,11.081600979702609,10.638177864957646,5.245019376316267,0.0,4.040519144223166,15.266913305612354,2.443798242249149,1.674270235942867
2024-07-25,30.320254073267712,19.205739044052976,11.062902707235889,10.620227791801904,5.196467533082137,0.0,4.033701471577844,15.264974118895685,2.6242880636938533,1.6714451963920005
2024-07-26,30.319652201093987,19.20635032549986,11.063675628047488,10.620016974980544,5.196364380608471,0.0,4.033621400590741,15.264671101541918,2.6242359702662204,1.6714120173707696
2024-07-29,30.277880543951273,19.179889564161353,11.146557699269216,10.605385682214175,5.189205302731992,0.0,4.028064244160599,15.283287128686817,2.6206205368013347,1.6691092980232403
2024-07-30,30.268280340976965,19.173808199497355,11.143023461916556,10.60202303419057,5.187559962196704,0.0,4.026787066443969,15.310148243938931,2.6197896170467163,1.6685800737922352
2024-07-31,30.3217588582496,19.207684812949715,11.162711147043176,10.620754870475011,5.196725432184292,0.0,4.033901662954248,15.408665238405913,2.376269828029643,1.6715281497084038
2024-08-01,30.277280352856785,19.179509365854774,11.14633674375499,10.605175454221802,5.1891024383717985,0.0,4.027984396818448,15.334523342218517,2.5710116942290986,1.6690762116737863
