date,CHINA INDUSTRIAL SECURITIES,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,FORTHRIGHT SECURITIES CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHONG HING SECURITIES LTD,GRANSING SECURITIES CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,69.95181549713834,0.0,0.0,23.91148805560193,0.0,0.0,0.0,0.0,6.136696447259734
2024-03-05,0.0,69.93755581580096,0.0,0.0,23.926998702838915,0.0,0.0,0.0,0.0,6.135445481360131
2024-03-06,0.0,69.93470457714587,0.0,0.0,23.930100073474144,0.0,0.0,0.0,0.0,6.135195349379988
2024-03-07,0.0,69.87772858519202,0.0,0.0,23.930971723822477,0.0,0.0,0.0,0.0,6.19129969098551
2024-03-08,0.0,69.84927538890983,0.0,0.0,23.92122737967352,0.0,0.0,0.0,0.0,6.229497231416657
2024-03-11,0.0,52.950816235199646,0.0,0.0,18.141742031407862,0.0,0.0,0.0,24.18503106697059,4.722410666421899
2024-03-12,0.0,52.936110133368175,0.0,0.0,18.16447663614155,0.0,0.0,0.0,24.17831412557183,4.721099104918447
2024-03-13,0.0,52.92794360593195,0.0,0.0,18.17710151630606,0.0,0.0,0.0,24.174584103377704,4.720370774384293
2024-03-14,0.0,52.927127091770956,0.0,0.0,18.16910764931515,0.0,0.0,0.0,24.174211164455244,4.729554094458651
2024-03-15,0.0,52.92916842441131,0.0,0.0,18.165951534847512,0.0,0.0,0.0,24.17514353333707,4.729736507404107
2024-03-18,0.0,52.96512166997499,0.0,0.0,18.17829113767658,0.0,0.0,0.0,24.123637912419,4.732949279929431
2024-03-20,0.0,37.678744798911,0.0,0.0,12.93181571307707,28.861213547876314,0.0,0.0,17.1612632589993,3.3669626811363242
2024-03-21,0.0,37.68412500106599,0.0,0.0,12.942449431060258,28.865334682063637,0.0,0.0,17.149434596651073,3.3586562891590415
2024-03-22,0.0,37.675848403259074,0.0,0.0,12.939606869409314,28.895234059384585,0.0,0.0,17.134686506756374,3.354624161190657
2024-03-25,0.0,37.67543466880199,0.0,0.0,12.950446197869365,28.894916748574545,0.0,0.0,17.12241877735964,3.356783607394457
2024-03-26,0.0,37.67295245286949,0.0,0.0,12.95508331819351,28.89301303005471,0.0,0.0,17.115800330337237,3.3631508685450604
2024-03-27,0.0,37.67837238023695,0.0,0.0,12.990882383721278,28.897169806252325,0.0,0.0,17.1149680600373,3.3186073697521468
2024-03-28,0.0,37.35339185182302,0.0,0.8625121200415472,12.913674629582001,28.647928214324413,0.0,0.0,16.931420449603802,3.2910727346252133
2024-04-02,0.0,37.35257849520263,0.0,0.8624933391515605,12.923192026498265,28.64730441603145,0.0,0.0,16.923430650411373,3.2910010727047236
2024-04-03,0.0,37.680358739625596,0.0,0.8700619806994683,12.160164820907333,28.898693230989753,0.0,0.0,17.03899032793533,3.351730899842519
2024-04-05,0.0,37.706034183168505,0.0,0.8706548420206316,12.126687470000693,28.918384836678634,0.0,0.0,17.02312486039036,3.355113807741171
2024-04-08,0.0,37.70644858996205,0.0,0.8706644109209198,12.126820747917067,28.918702663132517,0.0,0.0,17.023311952423303,3.3540516356441397
2024-04-09,0.0,41.0067431108792,0.0,0.8125379432933391,11.45363598985413,27.144987745265702,0.0,0.0,15.886817823680724,3.6952773870269002
2024-04-10,0.0,41.04463163941597,0.0,0.8132886946263194,11.527869148004559,27.171095207761876,0.0,0.0,15.901496583923723,3.541618726267555
2024-04-11,0.0,45.50790126585172,0.0,0.7513777490165455,10.656958700522502,25.102717510296596,0.0,0.0,14.691007987898615,3.2900367864140216
2024-04-12,0.0,45.48978007750731,0.0,0.7510785513535247,10.718133475399767,25.092721640144223,0.0,0.0,14.685158047222105,3.2631282083730633
2024-04-15,0.0,32.68771164594531,0.0,0.9271354415647705,13.26680238837376,30.974591826610027,0.0,0.0,18.127438822509003,4.016319874997128
2024-04-16,0.0,34.35771590748219,0.0,0.9033480922740339,12.991415679952128,30.20268829196674,0.0,0.0,17.6623463455245,3.8824856828004113
2024-04-17,40.35295711501695,20.466522793652228,0.0,0.5381147678999959,7.772131008334801,17.99141741615296,0.0,0.0,10.52127024518924,2.3575866537538217
2024-04-18,40.35377944400207,20.46693986878429,0.0,0.5381257338217672,7.793347079252687,17.991784052580186,0.0,0.0,10.52080537168234,2.3352184498766495
2024-04-19,40.393579075086755,20.487125751431055,0.0,0.538656469876193,7.797633655175085,18.009528768879722,0.0,0.0,10.486916945528234,2.286559334022953
2024-04-22,30.064821821105987,15.248507298608171,25.597623396068165,0.4009204225134364,5.827035647600947,13.404439168709345,0.0,0.0,7.783619714499775,1.673032530894178
2024-04-23,30.072735887326647,15.252521215512301,25.59929936493907,0.40102595817208314,5.828569518190957,13.407967665231402,0.0,0.0,7.767444770465969,1.670435620161571
2024-04-24,30.074593252486924,15.253463248243154,25.600880439801898,0.4010507265086212,5.8175388932216885,13.420085135546994,0.0,0.0,7.767924506707962,1.6644637974827508
2024-04-25,30.074600865111297,15.253467109272464,25.600886920018763,0.4010508280244924,5.817540365784859,13.4200885325029,0.0,0.0,7.767926472962032,1.6644389063231975
2024-04-26,30.073991867339878,15.253158233104248,25.600368513036386,0.40104270691719696,5.8174225630870335,13.4198167814647,0.0,0.0,7.76776917578187,1.666430159268684
2024-04-29,30.07501195255028,15.253675607757868,25.601236856601023,0.40105630995785313,5.817619885303035,13.420778227126673,0.0,0.0,7.76803265216003,1.662588508543238
2024-04-30,30.124312652233325,15.240199287240202,25.578618670506074,0.4007019846452134,5.805736027682143,13.409427044353938,0.0,0.0,7.7611697490470934,1.6798345842920073
