date,CITIC SECURITIES BROKERAGE (HK) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-04-03,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,0.0,0.0,71.90593099017181,0.0,28.094069009828175,0.0,0.0,0.0
2024-05-09,0.0,0.0,65.59796439528482,0.1444662261522907,25.629509461149663,0.0,8.628059917413216,0.0
2024-05-23,0.0,0.0,65.59611081629609,0.1472878094288174,25.628785256966403,0.0,8.627816117308686,0.0
2024-06-03,0.0,0.0,65.60340031243966,0.14725660208731325,25.62335502986918,0.0,8.62598805560384,0.0
2024-06-12,0.0,0.0,65.58175256893476,0.15438469091163892,25.63421778615222,0.0,8.629644954001382,0.0
2024-06-14,0.0,0.0,65.57932052043938,0.15439559998119554,25.636029141042442,0.0,8.630254738536987,0.0
2024-06-17,0.0,0.0,65.56472100860304,0.15446108678806525,25.6469026483799,0.0,8.633915256228994,0.0
2024-06-21,0.0,0.0,65.52289480265674,0.2181563181436039,25.630541522830146,0.0,8.628407356369515,0.0
2024-07-19,0.0,0.0,65.47432673285228,0.2921184280863129,25.611543187461173,0.0,8.622011651600248,0.0
2024-07-22,0.0,0.0,65.62284838796315,0.2908618005299997,25.501368108333466,0.0,8.584921703173395,0.0
2024-08-12,0.0,0.0,65.90444783429598,0.28847921447653674,25.292474386681373,0.0,8.514598564546112,0.0
2024-08-23,0.0,0.0,65.87230198375846,0.33711495530087726,25.28013761536963,0.0,8.510445445571031,0.0
2024-09-12,0.0,0.0,65.86516637219626,0.3371854411968698,25.28542332910797,0.0,8.512224857498902,0.0
2024-09-23,0.0,0.0,59.25872643671298,0.30455729195109404,22.83864934267402,9.90953760818921,7.688529320472689,0.0
2024-10-16,0.0,0.0,59.26898268171742,0.3044806224233414,22.832899920460573,9.907042972241406,7.686593803157255,0.0
2024-10-28,0.0,0.0,59.294600716669436,0.30428911738023146,22.818539021403055,9.900811873932453,7.681759270614835,0.0
2024-11-18,0.0,0.0,59.3027916832497,0.30422788663357175,22.8139473482141,9.898819577563795,7.680213504338834,0.0
2024-12-06,0.0,0.0,58.799098964784434,0.807920605098828,22.8139473482141,9.898819577563795,7.680213504338834,0.0
2024-12-18,0.0,0.0,59.26794872052472,0.8143627680745734,22.19848448280488,9.97775036430659,7.74145366428923,0.0
2025-01-20,0.0,37.31661031728189,37.15115925344005,0.5104701873431547,13.914762532014294,6.254392142427126,4.852605567493478,0.0
2025-02-11,0.0,37.31512773164648,37.149683241160794,0.5144228975845473,13.914209699726609,6.254143655979139,4.852412773902431,0.0
2025-02-27,0.0,37.28712885248986,37.11783849084227,0.5140369076276471,13.982772966937185,6.2494509476032984,4.848771834499743,0.0
2025-03-07,0.0,37.28786901857274,37.11659025198345,0.5140471114887671,13.983050531196309,6.249575001982662,4.848868084776072,0.0
2025-03-10,0.0,37.28490853053872,37.11364336270828,0.5140062984747081,13.981940340271853,6.257018361410166,4.848483106596268,0.0
2025-03-11,58.336645405102125,15.534143651461674,15.46278883729093,0.2141522667736268,5.8253453832145325,2.606883746982186,2.0200407091749235,0.0
2025-03-17,55.09689785937118,14.671449140655039,14.604057042929169,5.7557968547932115,5.50183263617108,2.4621094775218317,1.907856988558488,0.0
2025-04-03,55.1372063272707,14.621685602235427,14.614741259053643,5.759851428479671,5.505857734730524,2.463910737932047,1.896746910298001,0.0
2025-04-07,54.22635770054267,14.380140135238165,14.37331051033596,5.664700565509792,5.405524579409997,2.323891219706129,1.8654132712985758,1.760662017958708
2025-04-08,54.49075005100074,14.450253622691406,13.955819042051553,5.692320039888417,5.431880385140145,2.3352218546195047,1.874508497684569,1.7692465069236691
2025-04-09,54.49007659577929,14.45007503093511,13.955646561048912,5.693485595499827,5.431813252127584,2.3351929934394002,1.8744853304950144,1.7692246406748653
2025-04-17,54.508181494711835,14.44730377166317,13.960283470855456,5.695377315749097,5.433618028998789,2.310315286032607,1.875108147888187,1.7698124841008533
2025-04-22,54.55370736493548,14.459370328619467,13.888422094060775,5.700134161445308,5.4381562502795155,2.3122448883602464,1.8766742601277655,1.7712906521714418
