date,ASTRUM CAPITAL MANAGEMENT LTD,FUTU SECURITIES INTERNATIONAL,GRANSING SECURITIES CO LTD,REALINK FINANCIAL TRADE LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,GUOYUAN SECURITIES BROKERAGE (HONG KONG),INTERACTIVE BROKERS HONG KONG LTD,TOTAL_CCASS_PCT
2024-03-07,0.0,0.0,0.0,1.9421686746987952,0.0,0.0,0.0,0.0,1.9421686746987952
2024-03-12,0.0,0.0,5.268674698795181,1.9421686746987952,0.0,0.0,0.0,0.0,7.210843373493976
2024-03-13,0.0,2.4449807228915663,5.268674698795181,1.9421686746987952,0.0,0.0,0.0,0.0,9.655824096385542
2024-03-14,0.0,2.420884337349398,4.9795180722891565,1.9421686746987952,0.0,0.0,0.0,0.0,9.342571084337349
2024-03-15,0.0,2.4257036144578312,4.9795180722891565,1.9421686746987952,1.6281927710843371,0.0,0.0,0.0,10.97558313253012
2024-03-18,0.0,2.432932530120482,4.9795180722891565,1.9421686746987952,1.6281927710843371,0.0,0.0,0.0,10.982812048192772
2024-03-20,0.0,2.432932530120482,5.273493975903615,1.9421686746987952,1.6281927710843371,0.0,0.0,0.0,11.27678795180723
2024-03-22,0.0,2.41124578313253,5.273493975903615,1.9421686746987952,1.6281927710843371,0.0,0.0,0.0,11.255101204819278
2024-03-26,0.0,2.341366265060241,5.273493975903615,1.9421686746987952,1.6281927710843371,0.0,0.0,0.0,11.185221686746988
2024-03-28,0.0,2.3416072289156626,5.273493975903615,1.9421686746987952,1.6281927710843371,0.0,0.0,0.0,11.18546265060241
2024-05-14,0.0,2.3391975903614455,5.273493975903615,1.9421686746987952,1.6281927710843371,1.7197590361445783,0.0,0.0,12.902812048192771
2024-05-24,0.0,2.3367879518072288,5.273493975903615,1.9421686746987952,1.6281927710843371,1.7197590361445783,0.0,0.0,12.900402409638554
2024-05-31,0.0,2.3608843373493977,5.273493975903615,1.9325301204819276,1.6281927710843371,1.7197590361445783,0.0,0.0,12.914860240963854
2024-06-05,0.0,2.3584746987951806,5.273493975903615,1.9325301204819276,1.6281927710843371,1.722168674698795,0.0,0.0,12.914860240963854
2024-06-06,0.0,2.3608843373493977,5.273493975903615,1.9325301204819276,1.6281927710843371,1.722168674698795,0.0,0.0,12.917269879518074
