date,THE HONGKONG AND SHANGHAI BANKING,ZHONGTAI INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,QUAM SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD
2024-03-01,71.98764546154257,0.0,0.0,12.057222108522678,0.0,10.088152924128744,0.0,0.0,5.866979505806006,0.0
2024-03-04,68.1197126496243,0.0,0.0,11.428109141045677,0.0,9.554377577204502,5.3412495114423075,0.0,5.556551120683217,0.0
2024-03-05,56.87843033923844,0.0,16.47331441312284,9.54552079076639,0.0,7.980454918694696,4.471222619981749,0.0,4.6510569181958905,0.0
2024-03-06,56.87422707757557,0.0,16.479486955389905,9.544815385899334,0.0,7.979865170700388,4.470892200901746,0.0,4.6507132095330554,0.0
2024-03-07,56.894316001281155,0.0,16.4577535230479,9.543639942775686,0.0,7.978882451049636,4.470341610944618,0.0,4.655066470901007,0.0
2024-03-08,52.94093244507037,0.0,15.317117739702235,8.880870824555538,6.944615704219329,7.424779727332844,4.159893565398707,0.0,4.331789993720967,0.0
2024-03-11,52.94942747470402,0.0,15.303529320287648,8.88229587049528,6.945730053995143,7.425971125385236,4.160561071947585,0.0,4.332485083185089,0.0
2024-03-12,52.93715792519943,0.0,15.216819976127926,8.879853214521136,7.058404446758135,7.423928962750967,4.15941690612533,0.0,4.3244185685170775,0.0
2024-03-14,52.93419380925467,0.0,15.227080540212645,8.877818693905988,7.056787250053407,7.422228018359744,4.158463915210044,0.0,4.3234277730035,0.0
2024-03-15,52.9354066466011,0.0,15.227429425699079,8.878022104013745,7.05694893637574,7.422398077723768,4.15855919464999,0.0,4.3212356149365725,0.0
2024-03-18,52.93419380925467,0.0,15.227080540212645,8.877818693905988,7.056787250053407,7.422228018359744,4.158463915210044,0.0,4.3234277730035,0.0
2024-03-19,50.96065023723845,0.0,14.711380046628053,8.565886558136068,6.787482075420622,7.185116877162789,4.020652730707712,0.0,4.18014969853744,3.588681776168867
2024-03-20,50.9527491729371,0.0,14.70909915815491,8.564558482058176,6.786429727539021,7.184002879005488,4.020029358839205,0.0,4.179501597867538,3.60362962359856
2024-03-21,50.95053428072838,0.0,14.686950236067641,8.544624452179637,6.786429727539021,7.184002879005488,4.020029358839205,0.0,4.223799442042074,3.60362962359856
2024-03-22,50.97198479660635,0.0,14.644385397148021,8.548221796252083,6.78928685986708,7.1936748663702605,4.021721818100114,0.0,4.225577689871581,3.6051467757845104
2024-03-25,50.88684021868733,0.0,14.61111847458949,8.523645309598555,6.7820734746466,7.307772707749918,4.017448876136938,0.0,4.269784508026531,3.6013164305646272
2024-03-26,50.89533737599877,0.0,14.605299362836346,8.520250631450747,6.779372405352306,7.31592521484902,4.015848862831082,0.0,4.2680839980171665,3.5998821486645562
2024-03-27,50.89130423310391,0.0,14.605840829502895,8.520566505271129,6.779623739069364,7.316196440350148,4.015997743606689,0.0,4.2704549009151025,3.600015608180762
2024-04-02,50.885752956972894,0.0,14.59887979153384,8.513740111419013,6.77504848767454,7.327097670455336,4.015908884758096,0.0,4.276998277816749,3.6065738193695296
2024-04-03,50.88132771302275,0.0,14.609942901409203,8.513740111419013,6.763985377799172,7.338160780330702,4.015908884758096,0.0,4.270360411891529,3.6065738193695296
2024-04-05,50.88691814039746,0.0,14.61091275420828,8.514305279587935,6.764434391884705,7.338647909939688,4.016175473101321,0.0,4.261792816084378,3.6068132347962285
2024-04-08,50.99197656460589,0.0,14.577687988619822,8.49494401162188,6.749052276421444,7.332998736059479,4.007042813773282,0.0,4.247686156308426,3.598611452589779
2024-04-09,51.00860139456314,0.0,14.578653563644561,8.495506686977574,6.749499310019903,7.335692331547637,4.007308226263043,0.0,4.2258886749683,3.5988498120158465
2024-04-10,51.00972762983118,0.0,14.574559586274155,8.495694261994124,6.749648334379654,7.335854298651095,4.007396704906467,0.0,4.228189911788367,3.5989292721749546
2024-04-11,51.00972762983118,0.0,14.565727857998882,8.495694261994124,6.749648334379654,7.3446860269263725,4.007396704906467,0.0,4.228189911788367,3.5989292721749546
