date,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CAITONG INTERNATIONAL SECURITIES CO LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA CONSTRUCTION BANK (ASIA),CHINA MERCHANTS BANK CO LTD,CELETIO INVESTMENTS LTD
2024-03-01,0.0,70.14786215469944,0.0,0.0,29.852137845300565,0.0,0.0,0.0
2024-03-04,0.0,48.562107323208814,0.0,30.771792850774027,20.66609982601716,0.0,0.0,0.0
2024-03-13,0.0,41.87366547090481,0.0,26.533604713596898,17.81976521207083,13.772964603427454,0.0,0.0
2024-03-15,0.0,41.35724491755507,0.0,26.20637043223025,17.599997181068762,14.836387469145917,0.0,0.0
2024-03-19,0.0,41.37692770054343,0.0,26.171250491344406,17.60837339002082,14.843448418091345,0.0,0.0
2024-03-22,0.0,41.41823184275374,0.0,26.15281097581382,17.59596703310253,14.832990148329902,0.0,0.0
2024-04-05,10.950055761994319,36.88291236034013,0.0,23.28906359063324,15.669198831115663,13.208769455916652,0.0,0.0
2024-04-10,10.941674209493451,36.886383851186956,0.0,23.291255602215628,15.670673646330577,13.210012690773384,0.0,0.0
2024-04-11,10.954245946662358,36.88117685993967,0.0,23.28796773955747,15.668461527602847,13.208147926237645,0.0,0.0
2024-04-12,10.955448782806346,36.874246067787624,0.0,23.290524885841528,15.670182010412695,13.209598253151809,0.0,0.0
2024-04-15,10.87785899996232,36.906376778828644,0.0,23.31081929738624,15.683836366605123,13.22110855721768,0.0,0.0
2024-04-16,10.88345557760418,36.90405917962372,0.0,23.30935545452262,15.68285147321092,13.22027831503856,0.0,0.0
2024-04-17,10.88625360284837,36.902900489171046,0.0,23.30862360203204,15.682359072898416,13.21986323305013,0.0,0.0
2024-04-25,10.890450311290277,36.90116258990999,0.0,23.307525909460523,15.681620530402213,13.219240658936998,0.0,0.0
2024-04-29,10.862194007779902,36.90116258990999,0.0,23.335782212970898,15.681620530402213,13.219240658936998,0.0,0.0
2024-04-30,10.940484891449938,36.868751823283446,0.0,23.315286094738592,15.667847161010437,13.207630029517587,0.0,0.0
2024-05-02,10.941881693109744,36.8681735769986,0.0,23.314920419826976,15.667601427863412,13.20742288220127,0.0,0.0
2024-05-03,10.947468461630146,36.86586077323113,0.0,23.31345783487758,15.666618572351624,13.206594357909529,0.0,0.0
2024-05-07,10.944675164989587,36.867017138842186,0.0,23.314189104413945,15.667109984692981,13.207008607061304,0.0,0.0
2024-05-08,10.92651446463138,36.87453528391212,0.0,23.318943474837095,15.670304916500127,13.20970186011928,0.0,0.0
2024-05-09,10.922322481865415,36.87627067593685,0.0,23.320040912627697,15.67104239351422,13.21032353605582,0.0,0.0
2024-05-23,8.7981338478899,29.704521703748355,19.448140608394905,18.784726566004643,12.6233160340224,10.6411612399398,0.0,0.0
2024-05-27,8.82405872482371,29.79205004587877,19.505447153235085,18.840078272727734,12.365848959996756,10.672516843337947,0.0,0.0
2024-05-31,8.774343588560066,29.808294636358333,19.516082809413067,18.850351125910784,12.37259163638116,10.678336203376592,0.0,0.0
2024-06-06,28.716561008138907,23.29210702062769,15.249805296336005,14.72960466733913,9.667903918448395,8.344018089109873,0.0,0.0
2024-06-07,28.709733661163426,23.310344281035718,15.246179663307135,14.726102711730757,9.665605379477862,8.342034303285104,0.0,0.0
2024-07-08,26.690986318123883,21.67125921887318,14.174132633890087,13.690625299314064,8.985960788936616,7.7554576465994245,7.031578094262748,0.0
2024-07-30,26.69098626896088,21.671259178956177,14.174132607782289,13.690625274096854,8.985960956578351,7.755457632314393,7.031578081311054,0.0
2024-08-01,26.690740456222745,21.67105959578964,14.174002069992794,13.69049918920619,8.986799157532054,7.755386207817115,7.031513323439459,0.0
2024-08-05,26.692707084911742,21.67265636406184,14.17504643963681,13.691507933362853,8.980093117579816,7.755957640634259,7.032031419812679,0.0
2024-08-06,26.69418224662714,21.673854094694313,14.17582981787399,13.692264589039068,8.975062939054085,7.756386270512125,7.0324200421992735,0.0
2024-08-07,26.79537267162228,21.75601381349978,14.22956655461597,13.803340624225275,8.941591498148846,7.784864064836519,6.689250773051332,0.0
2024-08-13,26.796363674228623,21.75681843997977,14.230092822256116,13.803851128285155,8.938223785325407,7.7851519809880445,6.689498168936877,0.0
2024-08-14,26.818432458028397,21.77473678622108,14.241812354270348,13.815219618795954,8.86322768973063,7.791563628404295,6.695007464549296,0.0
2024-08-21,26.819109647533818,21.774535292542684,14.241680566906556,13.815091778930599,8.863145673384476,7.791491528758207,6.694945511943661,0.0
2024-08-30,26.819109697168226,21.774535332841044,14.241680593263784,13.815091804498337,8.863145504716535,7.791491543178003,6.694945524334068,0.0
2024-09-04,26.720206957717856,21.694235829278323,14.189160534210533,14.132922023922573,8.830460252280425,7.762758305321638,6.670256097268652,0.0
2024-09-05,25.091639785085874,20.371996059099654,13.324346833860576,13.271535998808726,8.29225342967415,7.289626739943865,6.263711337707109,6.094889815820048
2024-09-09,25.053898406474378,20.27219775831038,13.304305129814335,13.25157372973515,8.499350798664599,7.278662109290582,6.254289829063819,6.085722238646757
2024-09-10,25.095122110644386,20.255161191554947,13.236680324344036,13.186797119846979,8.53527430602142,7.413676254562593,6.222499733382873,6.054788959642767
2024-09-11,25.329837763844417,20.680208702351514,13.233493494388632,12.824205758231328,8.24603008092891,7.411891356462102,6.221001619953981,6.053331223839119
2024-09-12,24.936416560409395,20.571464709481795,13.152969449182816,13.064089372335735,8.366777310967459,7.708637434237289,6.183147653736895,6.016497509648616
2024-09-16,24.32489155119419,20.18552521999137,12.868784470331684,12.763429423824956,10.763857533220285,7.157453953155467,6.049553662509323,5.886504185772721
2024-09-17,25.112667760240264,20.697136047176627,13.176391823539685,13.0685184360756,8.29606279258516,7.450112838987839,6.171898811338006,6.027211490056813
