date,CMB INTERNATIONAL SECURITIES LTD,FOSUN INTERNATIONAL SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CHINA GALAXY INTERNATIONAL SECURITIES,GF SECURITIES (HONG KONG) BROKERAGE LTD,CITRUS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD
2024-03-01,0.0,0.0,1.1595649136812693,0.0,81.62857998203772,0.0,0.0,17.21185510428101,0.0
2024-03-04,0.0,0.0,1.1595417714445377,0.0,81.62695086416797,0.0,0.0,17.2135073643875,0.0
2024-03-05,0.0,0.0,1.1575460024747535,0.0,81.62695086416797,0.0,0.0,17.21550313335728,0.0
2024-03-06,0.0,0.0,1.1575691048797525,0.0,81.62857998203772,0.0,0.0,17.213850913082528,0.0
2024-03-07,0.0,0.0,1.1570149015539906,0.0,81.58949909234175,0.0,0.0,17.25348600610425,0.0
2024-03-08,0.0,0.0,1.160739344853855,0.0,81.99350467102362,0.0,0.0,16.84575598412253,0.0
2024-03-12,0.0,53.28063093019117,0.5423227147981979,0.0,38.3091520470575,0.0,0.0,7.86789430795313,0.0
2024-03-13,0.0,53.28262722580766,0.5442164126677844,0.0,38.31058739778379,0.0,0.0,7.862568963740762,0.0
2024-03-14,0.0,53.27763676722645,0.5441654412797722,0.0,38.306999222620796,0.0,0.0,7.8711985688729875,0.0
2024-03-15,75.83446016170828,11.455366862735408,0.11760660726808027,0.0,8.236490132302198,0.0,2.678369651824431,1.6777065841616041,0.0
2024-03-18,75.85202209032605,11.45525151913382,0.11740404394302469,0.0,8.236407199433463,0.0,2.6783426834343538,1.6605724637292996,0.0
2024-03-19,74.40520027448298,11.236750978909383,0.11516464771647864,0.0,8.07930375918349,0.0,2.6341690862765734,1.5986749467743766,1.9307363066567103
2024-03-20,74.43431341159187,11.241147675251852,0.1150120938576151,0.0,8.082465015079825,0.0,2.6351997793664905,1.5562203421455651,1.9356416827067697
2024-03-21,74.58753584150118,11.168337617566072,0.1142671488190608,0.0,8.030114066494134,0.0,2.6220580283136714,1.5457478739733088,1.9319394233325744
2024-03-25,74.57377286476952,11.166276823238608,0.1138534659566555,0.0,8.02863234073657,0.0,2.648859775205361,1.5389847812072055,1.9296199488860755
