date,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,EDDID SECURITIES AND FUTURES LTD,LUK FOOK SECURITIES (HK) LTD,QUAM SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,1.1540625,0.0,0.0,0.0,0.0,1.1540625
2024-03-04,0.0,0.0,0.0,1.160625,0.0,0.0,0.0,0.0,1.160625
2024-03-06,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,1.16
2024-03-14,0.0,0.0,1.5737500000000002,1.1603125,0.0,0.0,0.0,0.0,2.7340625
2024-03-15,0.0,0.0,1.5737500000000002,1.1609375,0.0,0.0,0.0,0.0,2.7346875
2024-03-19,0.0,0.0,1.5737500000000002,1.161875,0.0,0.0,0.0,0.0,2.7356249999999998
2024-03-22,0.0,0.0,1.5675000000000001,1.1775,0.0,0.0,0.0,0.0,2.7449999999999997
2024-03-28,0.0,0.0,1.5675000000000001,1.183125,0.0,0.0,0.0,0.0,2.750625
2024-04-09,2.8346875000000002,0.0,1.4925000000000002,1.2425,0.0,0.0,0.0,0.0,5.5696875
2024-04-11,2.8346875000000002,0.0,1.4925000000000002,1.2446875,0.0,0.0,0.0,0.0,5.5718749999999995
2024-04-15,2.8325,0.0,1.4925000000000002,1.2468750000000002,0.0,0.0,0.0,0.0,5.5718749999999995
2024-04-23,2.848125,0.0,1.4925000000000002,1.244375,1.3425,0.0,0.0,0.0,6.9275
2024-04-24,2.848125,0.0,1.4925000000000002,1.2418749999999998,1.3425,0.0,0.0,0.0,6.925000000000001
2024-04-29,2.8271875,0.0,1.4925000000000002,1.2606249999999999,1.3425,0.0,0.0,0.0,6.9228125
2024-05-02,2.8271875,0.0,1.4925000000000002,1.263125,1.3425,0.0,0.0,0.0,6.9253124999999995
2024-05-13,2.868125,0.0,1.4925000000000002,1.2184375,1.3425,0.0,0.0,0.0,6.9215625
2024-05-21,2.8978125,0.0,1.4925000000000002,1.214375,1.3425,0.0,0.0,0.0,6.9471875
2024-05-24,2.9090624999999997,1.62625,1.4821875,1.2159375,1.3425,0.0,0.0,0.0,8.5759375
2024-05-30,2.9403124999999997,1.62625,1.4821875,1.2159375,1.3425,0.0,0.0,0.0,8.6071875
2024-06-07,2.9509375,1.62625,1.4815625000000001,1.2159375,1.3425,0.0,0.0,0.0,8.6171875
2024-06-13,2.95125,1.62625,1.4815625000000001,1.21625,1.3425,0.0,0.0,0.0,8.6178125
2024-06-19,2.95125,1.62625,1.4815625000000001,1.2128125,1.3425,0.0,0.0,0.0,8.614375
2024-06-21,2.939375,1.63125,1.596875,1.1934375000000002,1.35375,0.0,0.8925000000000001,0.8118749999999999,10.419062499999999
2024-06-24,2.939375,1.63125,1.596875,1.1865625,1.35375,0.0,0.8925000000000001,0.8118749999999999,10.4121875
2024-06-25,2.939375,1.625,1.633125,1.17,1.3553125,0.0,0.8925000000000001,0.8099999999999999,10.4253125
2024-06-26,2.939375,1.6243750000000001,1.7028125,1.1628125,1.3431250000000001,0.0,0.8925000000000001,0.8093750000000001,10.474375
2024-07-05,2.939375,1.6243750000000001,1.7028125,1.16625,1.3431250000000001,0.0,0.8925000000000001,0.8093750000000001,10.4778125
2024-07-08,2.939375,1.6243750000000001,1.7028125,1.1690625,1.3431250000000001,0.0,0.8925000000000001,0.8093750000000001,10.480625
2024-07-10,2.939375,1.6243750000000001,1.7075,1.1693749999999998,1.3431250000000001,0.0,0.8925000000000001,0.8093750000000001,10.485625
2024-07-11,2.939375,1.6243750000000001,1.7075,1.17,1.3431250000000001,0.0,0.8925000000000001,0.8093750000000001,10.48625
2024-07-16,3.0384375,1.6243750000000001,1.72,1.21125,1.159375,0.9159375000000001,0.8925000000000001,0.8093750000000001,11.37125
2024-07-17,3.0384375,1.6243750000000001,1.72,1.2134375,1.159375,0.9159375000000001,0.8925000000000001,0.8093750000000001,11.3734375
2024-07-18,3.0384375,1.6243750000000001,1.72,1.21375,1.1590625,0.9159375000000001,0.8925000000000001,0.8093750000000001,11.3734375
2024-07-19,3.0384375,1.6243750000000001,1.723125,1.21375,1.1590625,0.9159375000000001,0.8925000000000001,0.8093750000000001,11.3765625
2024-07-22,3.0384375,1.6243750000000001,1.723125,1.2140625,0.9740624999999999,0.9159375000000001,0.8925000000000001,0.8093750000000001,11.191875
2024-08-08,3.0384375,1.6243750000000001,1.723125,1.2149999999999999,0.9740624999999999,0.9159375000000001,0.8925000000000001,0.8093750000000001,11.1928125
2024-08-09,3.0384375,1.6243750000000001,1.723125,1.2149999999999999,1.1590625,0.9159375000000001,0.8925000000000001,0.8093750000000001,11.3778125
2024-08-13,3.0384375,1.6243750000000001,1.723125,1.2209375,1.1590625,0.9159375000000001,0.8925000000000001,0.8093750000000001,11.38375
2024-08-15,3.0384375,1.6243750000000001,1.723125,1.22125,1.1590625,0.9159375000000001,0.8925000000000001,0.8093750000000001,11.3840625
2024-08-22,3.0384375,1.6243750000000001,1.723125,1.236875,1.1590625,0.9159375000000001,0.8925000000000001,0.8093750000000001,11.399687499999999
