date,UPBEST SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-04,39.08878468724063,0.5492349026140685,0.0,0.0,0.0,0.0
2024-03-21,39.09254657013525,0.0,0.0,0.0,0.0,0.0
2024-03-22,39.10383221881909,0.0,0.0,0.0,0.0,0.0
2024-03-28,39.115117867502946,0.0,0.410358725754461,0.0,0.0,0.0
2024-04-02,39.11637182846782,0.5479809416491962,0.0,0.0,0.0,0.0
2024-04-03,39.14019708680039,0.5379492539302178,0.39656515514086565,0.0,0.0,0.0
2024-04-09,39.141451047765266,0.0,0.0,0.0,0.0,0.0
2024-06-04,39.16026046223835,0.5254096442814947,0.0,0.0,0.0,0.0
2024-06-05,39.256815456533516,0.0,0.0,0.0,0.3460932263047555,0.0
2024-06-06,39.264339222322754,0.0,0.0,0.1642688863982716,0.0,0.3360615385857771
2024-06-19,39.27186298811199,0.0,0.39029535031650414,0.0,0.0,0.0
2024-07-02,39.317005582847386,0.0,0.0,0.0,0.0,0.0
2024-07-16,39.3483546069692,0.0,0.3877874283867595,0.0,0.0,0.0
2024-07-17,39.34960856793407,0.0,0.0,0.0,0.0,0.0
2024-08-22,39.37343382626664,0.0,0.3865334674218872,0.0,0.0,0.0
2024-08-23,39.37092590433689,0.0,0.0,0.0,0.0,0.0
2024-08-28,39.387227396880235,0.0,0.0,0.0,0.0,0.0
2024-08-29,39.408544733283065,0.0,0.0,0.0,0.0,0.0
2024-08-30,39.416068499072296,0.0,0.0,0.0,0.0,0.0
2024-09-02,39.42484622582641,0.0,0.0,0.0,0.0,0.0
2024-09-25,39.42610018679128,0.0,0.0,0.0,0.0,0.0
2024-09-26,39.42484622582641,0.0,0.0,0.0,0.0,0.0
2024-09-27,39.429862069685896,0.5504888635789408,0.0,0.0,0.0,0.0
2024-09-30,39.463719015737446,0.0,0.0,0.0,0.0,0.0
2024-10-04,39.466226937667194,0.0,0.0,0.0,0.0,0.0
2024-10-09,39.46748089863207,0.0,0.0,0.0,0.0,0.0
2024-10-14,39.47375070345643,0.0,0.0,0.0,0.0,0.0
2024-10-15,39.4837823911754,0.0,0.0,0.0,0.0,0.0
2024-11-04,39.49130615696464,0.0,0.0,0.0,0.0,0.0
2024-11-05,0.0,0.5592665903330468,0.0,0.0,0.0,0.0
2024-12-03,39.49632200082413,0.0,0.0,0.0,0.0,0.0
2024-12-10,0.0,0.0,0.38621997718066914,0.0,0.0,0.0
2025-01-03,39.497575961788996,0.0,0.0,0.0,0.0,0.0
2025-01-17,0.0,0.0,1.8916001155098683,0.0,0.0,0.0
2025-02-12,39.500083883718744,0.0,0.0,0.0,0.0,0.0
2025-02-17,39.50259180564849,0.0,0.0,0.0,0.0,0.0
2025-02-21,39.50384576661336,0.0,0.0,0.0,0.0,0.0
2025-03-13,39.50635368854311,0.0,0.0,0.0,0.0,0.0
2025-03-25,39.512623493367464,0.0,0.0,0.0,0.0,0.0
2025-03-31,39.55149628327851,0.5580126293681746,0.0,0.0,0.0,0.0
2025-04-02,39.56152797099749,0.55550470743843,0.0,0.0,0.0,0.0
