date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCOM INTERNATIONAL SECURITIES LTD,HANG SENG SECURITIES LTD,PRUDENTIAL BROKERAGE LTD
2024-03-07,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-08,49.03190762383697,0.0,0.0,30.165933661579437,0.0,20.802158714583587,0.0
2024-03-11,49.11972758069895,0.0,0.0,30.041600112337857,0.0,20.83867230696319,0.0
2024-03-14,26.677849805726645,45.68811530581573,0.0,16.316159213300867,0.0,11.317875675156758,0.0
2024-03-20,24.36420728695619,41.72580324004604,0.0,14.909843117107089,0.0,10.336330364163231,8.663815991727454
2024-04-03,24.53192337768472,41.015167716220354,0.0,15.017844707330049,0.0,10.708490611457357,8.726573587307524
2024-04-05,24.540531748951082,40.99446965159797,0.0,15.023114542102926,0.0,10.712248272912047,8.729635784435983
2024-04-08,24.576321144184394,41.054255123720175,0.0,15.04502393630363,0.0,10.582032894176772,8.742366901615032
2024-04-10,24.583016276515785,41.03819700175782,0.0,15.049122532899577,0.0,10.584915673505133,8.744748515321676
2024-04-12,24.564454708396646,41.04829729020118,0.0,15.052826410981629,0.0,10.587520824541532,8.746900765879017
2024-04-18,24.559705367903,41.04036093082215,0.0,15.06925026635056,0.0,10.585473812223274,8.74520962270102
2024-04-22,24.558379364914895,41.041082291223674,0.0,15.069515136351121,0.0,10.585659871543083,8.745363335967225
2024-04-24,23.321257922480186,24.081560641488153,19.92956052064224,14.310392556425985,0.0,10.052410237484748,8.304818121478682
2024-04-25,23.195621917671314,23.951828742865192,19.822196227955587,14.233299778926067,0.0,10.536974829048082,8.260078503533755
2024-04-30,2.328666666666667,2.404584166666667,1.9900000000000002,1.4289166666666666,0.0,1.0636666666666668,0.8292499999999999
2024-05-20,23.216549341469435,23.92720063624523,19.80181435367848,14.218664603120809,0.0,10.584185863080073,8.25158520240597
2024-05-21,23.390867945153566,23.354115283050223,19.951206433913175,14.325935373631038,0.0,10.664036805798482,8.313838158453517
