date,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,REALINK FINANCIAL TRADE LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-06-24,35.035260930888576,0.0,64.96473906911142,0.0,0.0,0.0,0.0
2024-07-02,69.00341191275733,0.0,30.996588087242678,0.0,0.0,0.0,0.0
2024-07-30,68.94773294243429,0.0,31.052267057565714,0.0,0.0,0.0,0.0
2024-08-16,19.43103712926168,52.86745992491903,27.701502945819286,0.0,0.0,0.0,0.0
2024-08-28,15.724194406660358,42.78197875469447,22.416910367629356,12.725100713544151,0.0,6.351815757471664,0.0
2024-09-03,15.727088532264174,42.78985301628738,22.42103632490103,12.718240060615635,0.0,6.343782065931773,0.0
2024-09-05,18.24251837381711,33.63951914061597,26.00711290445971,14.75242715855657,0.0,7.358422422550646,0.0
2024-09-10,29.476318927809235,29.0173164841577,22.43363297891989,12.725385460473642,0.0,6.347346148639531,0.0
2024-09-16,29.475866574017708,29.016871174376526,22.416407723932615,12.725190172304323,0.0,6.365664355368829,0.0
2024-10-02,29.476771295485143,29.01776180760705,22.414026401528506,12.725580754637067,0.0,6.365859740742229,0.0
2024-10-03,29.47541423410992,29.016425878262897,22.411459886087968,12.731133334359477,0.0,6.365566667179738,0.0
2024-10-22,27.64999041029112,27.219427381157534,21.023509491983535,11.942689314262902,0.0,6.051960689146726,6.112422713158182
2024-12-20,25.270130388229173,24.876626313721175,19.21399675722361,10.914771096817795,8.607091672538816,5.531062884645855,5.586320886823573
2025-02-06,4.190000674718305,31.89393428243708,24.633965319479117,13.99365764793199,11.035017880035085,7.09128938668106,7.162134808717361
2025-02-20,4.167369664248355,31.901467858950568,24.639784039142906,13.996963050447105,11.03762443057196,7.092964400202463,7.163826556436646
2025-02-25,25.02639915522703,24.957761351636748,19.276663146779303,10.950369588173178,8.635163674762406,5.549102428722281,5.60454065469905
2025-02-26,4.167369664248355,31.901467858950568,24.639784039142906,13.996963050447105,11.03762443057196,7.092964400202463,7.163826556436646
2025-03-20,4.168635657868089,31.911159116991833,24.647269290488087,14.001215148855733,11.04097751974617,7.064740430702761,7.166002835347331
2025-03-21,25.03234665047134,24.963692535185235,19.281244223812415,10.952971931029019,8.637215811570858,5.526656280531277,5.6058725673998575
2025-04-11,25.03564827039873,24.964351729601265,19.281753366781093,10.95326115658833,8.632162661737523,5.526802218114603,5.606020596778452
2025-04-24,25.09103382764262,24.945907435748587,19.267507520185763,10.918781993772757,8.625785001847062,5.549105493693599,5.60187872710961
2025-04-25,25.020452326287177,24.949199060512495,19.262132847755524,10.92022273243079,8.626923178423455,5.618451956825799,5.602617897764758
