date,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,VALUABLE CAPITAL LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,CMB WING LUNG BANK LTD
2024-03-04,0.0,61.35531135531136,0.0,0.0,0.0,0.0,0.0,0.0,38.64468864468865,0.0
2024-03-06,84.20834484664272,9.975131251726996,0.0,0.0,0.0,0.0,0.0,0.0,5.816523901630285,0.0
2024-03-12,60.70752366716492,7.284504235176881,27.812655705032384,0.0,0.0,0.0,0.0,0.0,4.19531639262581,0.0
2024-03-13,60.70752366716492,7.37419033383159,27.722969606377678,0.0,0.0,0.0,0.0,0.0,4.19531639262581,0.0
2024-03-14,61.527567020738495,6.100151745068285,28.113302984319677,0.0,0.0,0.0,0.0,0.0,4.258978249873546,0.0
2024-03-15,53.14110965487112,5.792922673656618,24.281345565749234,0.0,0.0,0.0,13.106159895150721,0.0,3.6784622105723024,0.0
2024-03-19,53.14110965487112,5.827872433377021,24.246395806028833,0.0,0.0,0.0,13.106159895150721,0.0,3.6784622105723024,0.0
2024-03-20,43.57982229865291,5.460017196904557,19.883920894239036,0.0,0.0,17.34737747205503,10.748065348237319,0.0,2.9807967899111496,0.0
2024-03-21,43.595988538681944,5.444126074498568,19.892550143266476,0.0,0.0,17.342406876790832,10.744985673352435,0.0,2.979942693409742,0.0
2024-03-25,39.65079158251352,4.971007883249722,18.085868786240145,9.03641931070428,0.0,15.773014528633786,9.772623623688839,0.0,2.710274284969705,0.0
2024-03-27,39.65079158251352,5.101309531565574,18.085868786240145,9.03641931070428,0.0,15.642712880317935,9.772623623688839,0.0,2.710274284969705,0.0
2024-03-28,39.65079158251352,5.374942993028862,18.007687797250636,8.840966838230504,0.0,15.642712880317935,9.772623623688839,0.0,2.710274284969705,0.0
2024-04-08,39.653375032577536,5.368777690904352,18.008861089392756,8.841542872035445,0.0,15.643732082356006,9.773260359655982,0.0,2.7104508730779258,0.0
2024-04-09,39.73298599804624,5.314229892543146,18.000651253663303,8.837512211006187,0.0,15.636600455877565,9.76880494952784,0.0,2.7092152393357214,0.0
2024-04-10,39.65483555845002,5.535656138065777,17.987626180397264,8.772386844676001,0.0,15.571475089547379,9.76880494952784,0.0,2.7092152393357214,0.0
2024-04-11,39.644508105996486,5.560257829285761,17.98294159776027,8.770102220196629,0.0,15.567419753890228,9.766260824272413,0.0,2.7085096685982157,0.0
2024-04-12,39.25641359552025,5.944784477145461,17.984112514650345,8.770673264748014,0.0,15.56843338976429,9.766896731345227,0.0,2.7086860268264097,0.0
2024-04-16,39.25641359552025,6.140122411772366,17.78877458002344,8.770673264748014,0.0,15.56843338976429,9.766896731345227,0.0,2.7086860268264097,0.0
2024-04-17,39.23597553039178,6.188988676298321,17.779513210985293,8.766106989457244,0.0,15.56032799687622,9.761811792268645,0.0,2.707275803722504,0.0
2024-04-22,39.23597553039178,7.7769100611740205,17.753481712872578,8.766106989457244,0.0,13.998438110113238,9.761811792268645,0.0,2.707275803722504,0.0
2024-04-23,39.13410359600156,7.8021550045436845,17.707386732441908,8.69141892769051,0.0,13.962092691159288,10.067506166428664,0.0,2.635336881734389,0.0
2024-04-24,39.13410359600156,7.8021550045436845,17.707386732441908,8.996494872127743,0.0,13.657016746722055,10.067506166428664,0.0,2.635336881734389,0.0
2024-04-26,39.136643946770526,7.854592664719247,17.70853618954885,8.938656280428432,0.0,13.657903278156441,10.068159688412853,0.0,2.6355079519636484,0.0
2024-04-30,39.1239454899416,7.884490590525632,17.70279039584685,8.935756002595717,0.0,13.653471771576896,10.064892926670993,0.0,2.6346528228423103,0.0
2024-05-03,37.91585434878309,7.993207974341236,17.156153701025094,8.659832714923589,0.0,13.087227218413936,9.75410351550217,0.0,2.553298534683353,2.8803219923275267
