date,CHINA CITIC BANK INTERNATIONAL LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CINDA INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3411629888455778,1.3411629888455778
2024-03-05,0.0,0.0,7.449471660777203,0.0,0.0,0.0,0.0,2.274736891130073,0.0,1.3411629888455778,11.065371540752853
2024-03-06,0.0,0.0,7.449471660777203,0.0,0.0,0.0,0.0,2.274736891130073,0.0,1.3731146799726095,11.097323231879885
2024-03-12,0.0,0.0,7.449471660777203,0.0,0.0,0.0,0.0,2.274736891130073,0.0,1.3568735083378323,11.081082060245109
2024-03-14,0.0,0.0,7.449471660777203,0.0,0.0,0.0,0.0,2.274736891130073,0.0,1.3874262074527595,11.111634759360035
2024-03-18,0.0,0.0,7.449471660777203,0.0,0.0,0.0,0.0,2.274736891130073,0.0,1.35526547154231,11.079474023449585
2024-03-20,0.0,0.0,7.449471660777203,0.0,0.0,0.0,0.0,2.274736891130073,0.0,1.3568735083378323,11.081082060245109
2024-03-21,0.0,0.0,7.4333912928219785,0.0,0.0,0.0,0.0,2.274736891130073,0.0,1.3559890881002952,11.064117272052346
2024-03-25,0.0,0.0,7.4333912928219785,0.0,0.0,0.0,0.0,2.274736891130073,0.0,1.362421235282385,11.070549419234437
2024-03-26,0.0,0.0,7.4333912928219785,0.0,0.0,0.0,0.0,2.274736891130073,0.0,1.3611267656619894,11.069254949614042
2024-03-27,0.0,0.0,7.4333912928219785,0.0,0.0,0.0,0.0,2.274736891130073,0.0,1.3546946184798994,11.06282280243195
2024-04-02,0.0,0.0,7.4333912928219785,0.0,0.0,4.31264453507079,0.0,2.274736891130073,0.0,1.3707749864351242,15.391547705457963
2024-04-03,0.0,0.0,7.4333912928219785,0.0,0.0,4.31264453507079,0.0,2.274736891130073,1.776129705868828,1.369970968037363,17.166873392929034
2024-04-05,0.0,4.461498089177112,7.4333912928219785,0.0,0.0,4.304604351093177,0.0,2.274736891130073,1.776129705868828,1.3695689588384825,21.61992928892965
2024-04-08,0.0,4.469538273154725,7.4333912928219785,4.988431646609884,0.0,4.304604351093177,0.0,2.274736891130073,1.776129705868828,1.3695689588384825,26.616401119517146
2024-04-09,0.0,4.477578457132337,7.4333912928219785,4.988431646609884,0.0,4.304604351093177,0.0,2.274736891130073,1.776129705868828,1.3695689588384825,26.624441303494763
