date,GRANSING SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,KINGSTON SECURITIES LTD,SORRENTO SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,SUNCORP SECURITIES LTD
2024-03-01,0.0,0.0,28.86476717604758,33.91710034012078,0.0,0.0,0.0,19.158890596702406,18.05924188712924,0.0
2024-03-04,0.0,0.0,28.86009668773546,33.8468900130045,0.0,0.0,0.0,19.236693503192374,18.05631979606767,0.0
2024-03-05,0.0,0.0,28.870023282644947,33.82615954225954,0.0,0.0,0.0,19.243310073672724,18.060507101422793,0.0
2024-03-18,0.0,0.0,28.870607412652788,33.82482064046625,0.0,0.0,0.0,19.24369942544962,18.060872521431342,0.0
2024-03-19,0.0,0.0,28.867394990091416,33.78362989812263,0.0,0.0,0.0,19.29011221743091,18.058862894355038,0.0
2024-03-20,62.59497814500142,0.0,10.79785540501246,12.636774146804605,0.0,0.0,0.0,7.215470690783783,6.754921612397731,0.0
2024-03-22,62.59474130676267,0.0,10.797814549577533,12.636726333522757,0.0,0.0,0.0,7.221497249044669,6.749220561092371,0.0
2024-03-25,62.59474130676267,0.0,10.797814549577533,12.636726333522757,0.0,0.0,0.0,7.227551108207653,6.743166701929387,0.0
2024-03-26,62.59521498503242,0.0,10.797896260756556,12.636821960448277,0.0,0.0,0.0,7.227605801842166,6.742460991920586,0.0
2024-03-27,62.59189938768539,0.0,10.79656761043398,12.63615260236113,0.0,0.0,0.0,7.23327654808932,6.742103851430173,0.0
2024-04-03,62.593320314966185,0.0,10.796812708243865,12.634926030996787,0.0,0.0,0.0,7.233440754002181,6.741500191790985,0.0
2024-04-05,62.59426763566183,0.0,10.796976112966192,12.634360528037575,0.0,0.0,0.0,7.233550228752721,6.740845494581689,0.0
2024-04-10,62.595688670471226,0.0,10.797221229323844,12.634647357275824,0.0,0.0,0.0,7.233714447091858,6.738728295837252,0.0
