date,GREAT BAY SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,BOCI SECURITIES LTD,FORTUNE ORIGIN SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,2.29765714769835,0.0,0.0,0.0,0.0,1.6740455307054516,0.0,0.0,3.971702678403801
2024-03-04,0.0,0.0,2.3794242690288017,0.0,0.0,0.0,0.0,1.5813761265309396,0.0,0.0,3.960800395559741
2024-03-05,0.0,0.0,2.370858189651326,0.0,0.0,0.0,0.0,1.6148617095519815,0.0,0.0,3.985719899203308
2024-03-06,0.0,3.3726841455145546,2.395777693294892,0.0,0.0,0.0,0.0,1.6397812131955478,0.0,0.0,7.4082430520049956
2024-03-07,0.0,3.3726841455145546,2.375530596584494,0.0,0.0,0.0,0.0,1.6545771684839155,0.0,0.0,7.402791910582965
2024-03-08,0.0,3.3726841455145546,2.399671365739199,0.0,0.0,0.0,0.0,1.6460110891064397,0.0,0.0,7.418366600360193
2024-03-11,0.0,3.3750203489811392,2.386432879428555,0.0,0.0,0.0,0.0,1.6374450097289637,0.0,0.0,7.398898238138657
2024-03-12,0.0,3.3757990834700005,2.3778668000510788,0.0,0.0,0.0,0.0,1.646789823595301,0.0,0.0,7.400455707116381
2024-03-13,0.0,3.3757990834700005,2.4043437726723678,0.0,0.0,0.0,0.0,1.6218703199517348,0.0,0.0,7.402013176094104
2024-03-14,0.0,3.3757990834700005,2.397335162272615,0.0,2.9874916966786182,0.0,0.0,1.6164191785297044,0.0,0.0,10.377045120950939
2024-03-15,0.0,3.377356552447724,2.392662755339446,0.0,2.978925617301142,0.0,0.0,1.6265427268849033,0.0,0.0,10.375487651973216
2024-03-18,0.0,3.377356552447724,2.391884020850585,0.0,2.9711382724125275,0.0,0.0,1.622649054440596,0.0,0.0,10.363027900151431
2024-03-19,0.0,3.377356552447724,2.377088065562217,0.0,2.961014724057329,0.0,0.0,1.618755381996289,0.0,0.0,10.334214724063559
2024-03-20,0.0,3.377356292869561,2.402786303694645,0.0,2.961014724057329,0.0,0.0,1.6133042405742588,0.0,0.0,10.354461561195794
2024-03-21,0.0,3.377356292869561,2.3911052863617233,0.0,2.961014724057329,0.0,0.0,1.6553559029727767,0.0,0.0,10.38483220626139
2024-03-22,0.0,3.377356292869561,2.401228834716922,0.0,2.961014724057329,0.0,0.0,1.6405599476844095,0.0,0.0,10.380159799328222
2024-03-25,0.0,3.3625603375811934,2.387990348406278,0.0,2.961014724057329,0.0,0.0,1.635108806262379,0.0,0.0,10.346674216307179
2024-03-26,0.0,3.3625603375811934,2.389547817384001,0.0,2.961014724057329,0.0,0.0,1.6584708409282227,0.0,0.0,10.371593719950745
2024-03-27,0.0,3.3625603375811934,2.389547817384001,0.0,2.961014724057329,0.0,0.0,1.6615857788836685,0.0,0.0,10.374708657906192
2024-03-28,22.704145492854284,3.3625603375811934,2.390326551872862,0.0,2.9586395838663018,0.0,0.0,1.646789823595301,0.0,0.0,33.06246178976994
2024-04-02,22.704145492854284,3.368011479003223,2.388769082895139,0.0,2.9555246459108555,0.0,0.0,1.646789823595301,0.0,0.0,33.0632405242588
2024-04-03,22.704145492854284,3.368011479003223,2.3620260426568223,0.0,2.9555246459108555,0.0,0.0,1.645232354617578,0.0,0.0,33.034940015042764
2024-04-05,22.704145492854284,3.368011479003223,2.376043263456328,0.0,2.9555246459108555,0.0,0.0,1.6008444887524755,0.0,0.0,33.00456936997717
2024-04-08,22.704145492854284,3.3695689479809463,2.372149591012021,0.0,2.9555246459108555,0.0,0.0,1.6483472925730238,0.0,0.0,33.04973597033113
2024-04-09,22.704145492854284,3.3695689479809463,2.3752645289674668,0.0,2.9555246459108555,0.0,0.0,1.6109680371076744,0.0,0.0,33.015471652821226
2024-04-10,22.704145492854284,3.3695689479809463,2.3814944048783584,0.0,2.9555246459108555,0.0,0.0,1.6249852579071804,0.0,0.0,33.035718749531625
2024-04-11,22.704145492854284,3.3695689479809463,2.3814944048783584,0.0,2.9555246459108555,0.0,0.0,1.6281001958626262,0.0,0.0,33.03883368748707
2024-04-12,22.704145492854284,3.3695689479809463,2.3682559185677134,0.0,2.9555246459108555,0.0,0.0,1.6428961511509939,0.0,0.0,33.04039115646479
2024-04-15,22.704145492854284,3.364896541047777,2.384609342833804,0.0,2.9555246459108555,0.0,0.0,1.60863183364109,0.0,0.0,33.01780785628781
2024-04-16,22.704145492854284,3.364896541047777,2.384609342833804,0.0,2.9586395838663018,0.0,0.0,1.610189302618813,0.0,0.0,33.02248026322098
2024-04-17,22.704145492854284,3.364896541047777,2.3550174322570694,0.0,2.9586395838663018,0.0,0.0,1.6024019577301984,0.0,0.0,32.98510100775563
2024-04-18,22.704145492854284,3.363611629141156,2.379158201411774,0.0,2.9586395838663018,0.0,0.0,1.5891634714195537,0.0,0.0,32.994718378693065
2024-04-19,22.704145492854284,3.363611629141156,2.374485794478605,0.0,2.9586395838663018,0.0,0.0,1.6148617095519815,0.0,0.0,33.015744209892326
2024-04-22,22.704145492854284,3.363611629141156,2.3799369359006355,0.0,2.9586395838663018,0.0,0.0,1.6039594267079214,0.0,0.0,33.0102930684703
2024-04-23,22.704145492854284,3.363611629141156,2.38227313936722,0.0,2.9586395838663018,0.0,0.0,1.6039594267079214,0.0,0.0,33.01262927193688
2024-04-24,22.704145492854284,3.363611629141156,2.38227313936722,0.0,2.9586395838663018,0.0,0.0,1.6210915854628731,0.0,0.0,33.029761430691835
2024-04-25,22.704145492854284,3.363611629141156,2.3698133875454364,0.0,2.9586395838663018,0.0,0.0,1.6950713619047109,0.0,0.0,33.091281455311886
2024-04-26,22.704145492854284,3.363611629141156,2.38227313936722,0.0,2.9586395838663018,0.0,0.0,1.6701518582611443,0.0,0.0,33.0788217034901
2024-04-29,22.704145492854284,3.359717956696849,2.3632720178390003,0.0,2.9586395838663018,0.0,0.0,1.6756029996831745,0.0,0.0,33.06137805093961
2024-04-30,22.704145492854284,3.359717956696849,2.364050752327862,0.0,2.9586395838663018,0.0,0.0,1.6685963361196436,0.0,0.0,33.05515012186494
