date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,CHINA INDUSTRIAL SECURITIES
2024-03-01,31.089236725677267,0.0,40.18518408391239,7.201095124957541,1.5046722618099961,12.767853812222043,3.3379445688978735,2.2571919569103915,0.7885937142301513,0.868227751382353
2024-03-04,24.56266592292519,20.965311995151403,31.556634945208078,5.689380766255011,1.4026699186639424,10.08188151759218,2.6427258778394687,1.7894205571098074,0.6231887224607103,0.686119776794204
2024-03-05,24.560482400490162,20.964301408875187,31.782705329881587,5.69496195183629,1.1890070775935073,10.0616174739038,2.6497775363870235,1.7886711109984288,0.6223925726960157,0.686083137337998
2024-03-06,24.553964072196614,20.96054129362116,31.775806265199996,5.7051636017160945,1.1887938196574372,10.06591471476029,2.655295188051374,1.7842097421907663,0.6221719795979099,0.6881393230083622
2024-03-07,24.597624591627987,20.957361497903896,31.741937769890427,5.6998253845763065,1.1883091182500005,10.0534902785635,2.661418680865756,1.7858902471192217,0.6262791406094246,0.6878632905934798
2024-03-08,24.60510554539909,20.959187769198838,31.71344460686377,5.68115078866216,1.2020255942099842,10.066784130476393,2.6753755046540197,1.7827780398181055,0.6262247881804858,0.6879232325371534
2024-03-11,24.62782156046005,20.954206732077356,31.676121833042064,5.674217152977176,1.2059305221174297,10.070982393774578,2.6855070223209867,1.7883346658464885,0.6284685389596185,0.6884095784242507
2024-03-12,24.793524496428695,20.94441735301564,31.52843809552496,5.662967087621448,1.204496332211821,10.055174688512537,2.6782656326342953,1.7879345941256009,0.6566937524497612,0.6880879674752379
2024-03-13,24.780795982668085,20.941044870830194,31.5581312059531,5.663272930639133,1.2067867256178786,10.052854696389979,2.6732217143752743,1.7800006417995804,0.6563601118422072,0.6875311198845679
2024-03-14,24.761966971294772,20.943422568071746,31.60602549924696,5.641866024961419,1.2069805512006322,10.043479569350408,2.6728190938796357,1.7807843838033979,0.656070335836226,0.6865850023548057
2024-03-15,24.776163606484467,20.94636573634939,31.611391174621854,5.631854988667137,1.20779689941412,10.04995398084728,2.6650182639349023,1.7787398684411944,0.65474428168619,0.6779711995534636
