date,CHINA MERCHANTS SECURITIES (HK) CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,QUAM SECURITIES LTD,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),BOCOM INTERNATIONAL SECURITIES LTD
2024-03-15,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,42.02875631307095,0.0,31.11618904487361,0.0,0.0,26.855054642055443,0.0,0.0
2024-05-20,33.184235795651546,0.0,24.568106337375177,0.0,21.043973919991434,21.203683946981847,0.0,0.0
2024-05-31,32.77499345233882,0.0,24.265121827797255,0.0,22.017693770905623,20.9421909489583,0.0,0.0
2024-06-07,25.9720113529846,20.733896764421207,19.22850176948343,0.0,17.470290960002828,16.59529915310793,0.0,0.0
2024-06-21,25.9743726374778,20.72669016737092,19.230249957655637,0.0,17.471879297793645,16.59680793970199,0.0,0.0
2024-07-26,21.980998746437063,17.54010989776149,16.273736660072245,15.374284286962123,14.785702904275972,14.045167504491108,0.0,0.0
2024-08-01,21.93458920419294,17.50307661821596,16.239377135388782,15.341823819431974,14.965619957476681,14.015513265293666,0.0,0.0
2024-08-27,20.623907290203867,16.457195806448794,15.269007564859832,14.425086750843866,14.071362616830932,13.178028706951322,0.0,5.975411263861384
2024-09-03,20.586754066966755,16.607695147353617,15.241500999848462,14.399100478663355,14.046013565887423,13.154288964744126,0.0,5.964646776536265
2024-09-12,20.635079421222073,16.64668005720145,15.277278905039566,14.432900932553553,13.844245145738531,13.185167347617421,0.0,5.978648190627401
2024-09-13,20.623907290203867,16.691808752477783,15.269007564859832,14.425086750843866,13.836749670801943,13.178028706951322,0.0,5.975411263861384
2024-09-23,20.631354032896525,16.697835719293803,15.238413464048616,14.43029526481948,13.841745751954326,13.182786941537824,0.0,5.97756882544943
2024-10-02,20.668668556855753,16.728035956758653,15.085110959202114,14.45639435640306,13.86678037414516,13.206629749838001,0.0,5.988380046797264
2024-10-04,20.676147664685402,16.697903391782205,15.090569616162803,14.461625507694787,13.87179816933516,13.211408664730055,0.0,5.990546985609588
2024-10-07,20.490779232543595,16.5482012218235,14.955277719662533,14.331972301011511,13.74743295782,13.092964061301895,0.0,6.833372505836966
2024-10-08,20.48710576035186,16.54523455294665,14.952596621193834,14.329402945248953,13.744968394998589,13.090616828000481,0.0,6.850074897259632
2024-10-09,20.312032179679214,16.5779265294462,14.982141680575312,14.357716626922034,13.790090146988673,13.116482773650032,0.0,6.863610062738533
2024-10-10,20.304737555182747,16.57197292776358,14.976761170307018,14.352560365328237,13.82105056073207,13.111772274193267,0.0,6.86114514649308
2024-10-14,20.23207844665736,16.387426165332258,14.923167859274326,14.301200713997241,14.254681107020645,13.064852697811569,0.0,6.8365930099066015
2024-10-15,20.164251441356793,16.33248815961479,14.869572269628462,14.253256672104053,14.385214759647615,13.02105344923105,0.0,6.974163248417234
2024-10-16,20.10688353006838,16.286021731908075,14.827267882315025,14.212705721491567,14.344288384245274,12.98400815442655,0.0,7.238824595545124
2024-10-17,20.0391816803209,16.23118509874068,14.77734301649318,14.164850146766492,14.632699569854987,12.940289724970464,0.0,7.214450762853295
2024-10-22,20.010811841606873,16.349778153383607,14.756422459721572,14.144796707435345,14.611983787475749,12.921969918390202,0.0,7.20423713198665
2024-10-25,20.003731928645017,16.202471776493564,14.928103764881987,14.139792216346002,14.606814003549223,12.917398068779997,0.0,7.201688241304213
2024-11-06,19.98958712151934,16.191014872399105,14.98825881836669,14.129793850320564,14.59648540248929,12.908264067939543,0.0,7.196595866965472
2024-11-14,19.978991636726487,16.217769502084263,14.980314288676508,14.122304350164452,14.588748532379316,12.901422039897515,0.0,7.210449650071454
2024-11-19,19.94375433301377,16.36553771558893,14.953893241313354,14.09739659022549,14.563018096520938,12.878667571853688,0.0,7.197732451483827
2024-11-21,19.940237437789655,16.38028587363723,14.951256261593077,14.094910645708083,14.560450043989947,12.87639653884154,0.0,7.196463198440471
2024-11-22,19.933207367059737,16.727067910873302,14.945985091209673,14.089941385984858,14.238015335243299,12.871856874823148,0.0,7.193926034805981
2024-12-03,19.789136467261255,16.576419217642012,14.837960252014772,13.98810375914407,14.152607919454283,12.77882317643813,0.0,7.876949208045471
2024-12-05,19.78567388676241,16.573518778503672,14.835363997655913,13.985656207409189,14.16762896426776,12.776587217127725,0.0,7.875570948273334
