date,THE HONGKONG AND SHANGHAI BANKING,GAOYU SECURITIES LIMITED,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,ONE CHINA SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,INTERACTIVE BROKERS HONG KONG LTD,TOTAL_CCASS_PCT
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12331302189122094,0.0,0.0,0.12331302189122094
2024-03-06,0.0,14.533965244865717,0.0,0.0,0.0,0.0,0.0,0.13053486797562627,0.0,0.0,14.664500112841344
2024-03-08,0.0,14.527646129541862,0.0,0.0,0.0,0.0,0.0,0.13215978334461745,0.0,0.0,14.659805912886481
2024-03-18,0.0,14.527465583389754,0.0,0.0,0.0,0.0,0.0,0.13197923719250734,0.0,0.0,14.659444820582262
2024-03-19,22.068878357030016,14.527465583389754,1.048070412999323,0.0,0.0,0.0,0.0,0.13197923719250734,0.0,0.0,37.776393590611605
2024-03-20,22.068156172421574,14.527465583389754,1.048070412999323,0.0,0.0,0.0,0.0,0.13197923719250734,0.0,0.0,37.775671406003156
2024-03-21,22.068156172421574,14.523854660347551,1.0301963439404198,0.0,0.0,0.0,0.0,0.13197923719250734,0.0,0.0,37.754186413902055
2024-03-22,22.068156172421574,14.523854660347551,1.0285714285714285,0.0,0.0,0.0,0.0,0.13360415256149855,0.0,0.0,37.754186413902055
2024-03-25,22.068156172421574,14.523854660347551,1.0269465132024373,0.0,0.0,0.0,0.0,0.13360415256149855,0.0,0.0,37.75256149853306
2024-03-26,22.068156172421574,14.505800045136539,1.0269465132024373,0.0,0.0,0.0,0.0,0.13360415256149855,0.0,0.0,37.73450688332205
2024-03-27,22.068156172421574,14.505800045136539,1.0269465132024373,0.0,0.0,0.0,0.0,0.13324306025727825,0.0,0.0,37.73414579101783
2024-04-02,22.068156172421574,14.377070638682014,1.0269465132024373,0.0,0.0,0.0,0.0,0.13324306025727825,0.0,0.0,37.605416384563306
2024-04-10,22.068156172421574,14.366779508011735,1.0356127285037238,1.1773414579101784,0.0,0.0,0.0,0.1361317986910404,0.0,0.0,38.784021665538255
2024-04-12,22.068156172421574,14.366779508011735,1.0356127285037238,1.1773414579101784,0.0,0.0,0.0,0.141006544798014,0.0,0.2511396975851952,39.04003610923042
2024-04-15,22.068156172421574,14.366779508011735,1.0356127285037238,1.1773414579101784,0.9471451139697585,0.0,0.0,0.14010381403746333,0.0,0.24969532836831412,39.984834123222754
2024-04-16,22.069600541638458,14.366598961859625,1.0948318663958474,1.1773414579101784,0.9480478447303092,0.0,0.0,0.13847889866847213,0.0,0.24825095915143308,40.043150530354325
2024-04-17,22.069600541638458,14.365876777251184,1.0948318663958474,1.1773414579101784,0.9480478447303092,0.0,0.0,0.13847889866847213,0.0,0.24825095915143308,40.04242834574588
