date,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,ADVENT SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,GAOYU SECURITIES LIMITED,THE HONGKONG AND SHANGHAI BANKING,CHAOSHANG SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-06,59.556416965455895,0.0,0.0,0.0,0.0,40.443583034544105,0.0,0.0,0.0,0.0
2024-03-07,59.442925727082695,0.0,0.0,0.0,0.0,40.557074272917305,0.0,0.0,0.0,0.0
2024-03-08,40.368371928258604,0.0,0.0,0.0,0.0,27.542773821195034,32.08885425054637,0.0,0.0,0.0
2024-03-19,18.28405142214626,0.0,0.0,0.0,0.0,67.18194006650143,14.534008511352315,0.0,0.0,0.0
2024-03-27,15.466646386260132,0.0,0.0,0.0,15.409085059089216,56.82981777730788,12.294450777342771,0.0,0.0,0.0
2024-04-03,15.474910161605896,0.0,0.0,0.0,15.409085059089216,56.82981777730788,12.286187001997009,0.0,0.0,0.0
2024-04-08,15.47475670571036,0.0,0.0,0.0,15.40992389915167,56.829254228279865,12.286065166858101,0.0,0.0,0.0
2024-04-11,17.12749538542965,0.0,0.0,0.0,15.40992389915167,55.17651554856058,12.286065166858101,0.0,0.0,0.0
2024-04-12,18.878471589239666,0.0,0.0,0.0,15.42266871972046,53.40263329969599,12.29622639134388,0.0,0.0,0.0
2024-04-15,19.708784421200455,0.0,0.0,0.0,15.425220214006197,52.56773471129006,12.29826065350329,0.0,0.0,0.0
2024-04-22,19.735342057859544,0.0,0.0,0.0,15.420118069383316,52.55034707070709,12.29419280205005,0.0,0.0,0.0
2024-04-23,24.65061176332324,0.0,0.0,0.0,17.770436506503216,43.40917796607924,14.169773764094298,0.0,0.0,0.0
2024-04-24,26.7021577124883,0.0,0.0,17.996645817662642,16.682469319205268,19.04710202017126,13.302251522807298,0.0,6.2693736076652335,0.0
2024-04-25,30.28079199184673,0.0,0.0,17.996645817662642,16.682469319205268,15.468467740812834,13.302251522807298,0.0,6.2693736076652335,0.0
2024-04-26,32.70121139794534,0.0,0.0,17.371862031010043,16.103309376982068,14.931453902415592,12.840441518785989,0.0,6.05172177286096,0.0
2024-04-29,34.15687993705418,0.0,0.0,16.99610975448974,15.754995814100292,14.60848749929914,12.56270358121793,0.0,5.920823413838719,0.0
2024-05-02,34.16800448312831,0.0,0.0,16.993238171158577,15.75233392358441,14.606019317473857,12.5605810454895,0.0,5.919823059165353,0.0
2024-05-03,34.60301030487231,0.0,0.0,16.88094995208367,15.648245373495437,14.509505405268685,12.477583016394739,0.0,5.880705947885147,0.0
2024-05-07,35.147251020132146,0.0,0.0,16.740464888183677,15.51801900842367,14.388755755527269,12.373743241242789,0.0,5.831766086490455,0.0
2024-05-08,35.682508040234836,0.0,0.0,16.60229878894917,15.38994226930311,14.269999301100336,12.271617532787786,0.0,5.7836340676247655,0.0
