date,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,CHIYU BANKING CORPORATION LTD
2024-03-01,7.413886331642742,14.031239421042876,51.74402485183715,10.139714994278746,5.12140238868065,5.11619428671214,0.0,1.240753704262525,5.192784021543161,0.0
2024-03-04,7.101626624643818,13.586996393430114,49.57933133196583,9.712648231783007,4.891025245989195,4.974073193707137,3.9917304199056836,1.1884953648680772,4.974073193707137,0.0
2024-03-05,8.28715721632368,13.816741212581462,48.53906369561012,9.556940277605328,4.842067573537692,4.90876908283981,3.927737144078148,1.2127547145839528,4.90876908283981,0.0
2024-03-06,8.397474728625197,13.766116691883015,48.30342301166459,9.502065635236665,5.087003580051619,4.880583602961653,3.9626032458751888,1.2201459007404132,4.880583602961653,0.0
2024-03-07,8.328163639917397,14.645104087881954,47.929431560340944,9.375557689529458,4.80682342876729,4.886422543829086,3.9806639302700417,1.2322282936612476,4.815604825802577,0.0
2024-03-08,9.553975056000022,14.569111522346075,47.08344598712034,9.273099396362484,4.740424661583354,4.8750488555542635,3.9371623013032346,1.2047534528093868,4.762978766920832,0.0
2024-03-11,9.377934901731068,15.716978874895323,46.58716047956724,9.102234616130323,4.708080837248827,4.785221914666293,3.864616721600464,1.1825548409807505,4.675216813179711,0.0
2024-03-12,9.372779633856899,15.735825045111657,46.56155043916008,9.09723090708442,4.678006538956818,4.768848288780563,3.93120764554951,1.1819047632136266,4.6726467382864305,0.0
2024-03-13,9.771159180201105,16.525354051633578,45.75729201632422,8.995853712564841,4.557926394224824,4.715705473615832,3.8873992816363363,1.1687339214148746,4.620575968384388,0.0
2024-03-14,11.008191266276846,14.552019633367236,46.18138541365825,9.23557947872238,4.38639448948641,4.841371824332149,3.9351842162907276,1.1719747355732004,4.687898942292802,0.0
2024-03-15,11.051213316501414,14.379215293643515,46.42352125076706,9.323320306850208,4.133883974898159,4.858602042578767,3.9465609944126077,1.165502802121496,4.718180018226779,0.0
2024-03-18,10.950706397680301,14.385947201049923,46.48091127824609,9.309502577131672,4.065642544265532,4.8514012978199546,4.080925860492767,1.1637754558354225,4.711187387478337,0.0
2024-03-19,8.522468584957203,15.124180477144419,47.50671553451102,9.446565971589873,4.346316700054635,4.922828264432709,4.141009151338554,1.1951374977235476,4.7947778182480425,0.0
2024-03-20,9.762691498948634,14.381904022398931,47.29733559287451,9.421918305117408,4.130086093053045,4.902599794827616,4.123993266718432,1.204395903353605,4.775075522707822,0.0
2024-03-21,9.715226820230233,14.79139758261468,47.067383346775785,9.376110412354272,4.10267401395383,4.878764121625052,4.103943056644425,1.1985403188963275,4.765960326905397,0.0
2024-03-22,9.787590864537476,14.560989014102063,47.12491288902487,9.418608604014754,4.078776650292636,4.900877625368983,4.122544603652145,1.2039728270415129,4.801726921965564,0.0
2024-03-25,9.916938474855115,13.915241703879069,47.32042029475663,9.529289362507095,4.141038355049327,4.9298075655349125,4.1996514740697855,1.1894593835447609,4.858153385803301,0.0
