date,DBS BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,94.39655172413794,0.0,0.0,0.0,0.0,0.0,0.0,5.603448275862069,0.0
2024-03-08,82.87606433301798,0.0,0.0,0.0,0.0,0.0,0.0,4.919583727530748,12.204351939451277
2024-03-12,82.90840415486308,0.0,0.0,0.0,0.0,0.0,0.0,4.910292728989613,12.181303116147308
2024-03-13,77.97513321492006,0.0,0.0,0.0,0.0,0.0,5.86145648312611,4.618117229129663,11.545293072824157
2024-03-15,69.07044398607263,0.0,11.498576897116505,0.0,0.0,0.0,4.877411762114468,4.1694003772914,10.384166977404997
2024-03-18,68.98630162788835,0.0,11.471503713016986,0.0,0.0,0.0,4.865927987405095,4.159583602136614,10.516683069552947
2024-03-19,64.08547837624876,0.0,10.644452309480428,0.0,0.0,6.845494281099299,4.515113249235707,3.859693584024073,10.049768199911737
2024-04-02,64.08547837624876,0.0,10.644452309480428,0.0,0.0,6.845494281099299,4.442288841989971,3.859693584024073,10.122592607157474
2024-04-03,46.69355565331227,27.22133593389761,7.746890187993237,0.0,0.0,5.194061809335531,2.8620340582052926,2.8090334274977873,7.473088929758265
2024-04-05,46.718316655795775,27.129713591795397,7.750998265960324,0.0,0.0,5.1968161546742175,2.8635517586980384,2.8635517586980384,7.477051814378212
2024-04-08,46.74655628401978,27.115334672482604,7.746890187993237,0.0,0.0,5.194061809335531,2.8620340582052926,2.8620340582052926,7.473088929758265
2024-04-10,46.69705681475246,27.086622510946277,7.738687082069283,0.0,0.0,5.188561868305828,2.859003478454232,2.859003478454232,7.571064767017689
2024-04-12,46.672346370193196,27.072289220381318,7.734592040301201,0.0,0.0,5.1858162633548,2.8574905940934614,2.910407086576673,7.567058425099351
2024-04-15,46.672346370193196,27.019372727898105,7.734592040301201,0.0,0.0,5.1858162633548,2.8574905940934614,2.9633235790598853,7.567058425099351
2024-04-16,46.675864402120766,26.99080755060076,7.726414944734296,0.0,0.0,5.180333761503777,2.8544696236857545,3.0130512694460743,7.559058447908572
2024-04-17,46.65120431959509,26.976547599549868,7.722332877211706,0.0,0.0,5.1775968554024,2.8529615325686692,3.064292016462645,7.555064799209624
2024-04-18,46.503789295175295,26.78597197132881,7.697930765706221,0.0,0.0,5.161235958014925,2.8439463442123056,3.1072747094171493,7.899850956145293
2024-04-24,46.49399474507285,20.04054402712764,7.69630944043977,6.760848159985677,0.0,5.160148907154178,2.8433473570033225,3.106620260429556,7.898187102787007
