date,CHINA SUNRISE SECURITIES (INTL) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCOM INTERNATIONAL SECURITIES LTD,PRIME CHINA SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,55.94414738296957,44.05585261703044,0.0
2024-03-06,0.0,0.0,0.0,0.0,19.615621533713178,33.061278583123574,26.45406235381872,20.869037529344535,0.0
2024-03-07,0.0,0.0,0.0,0.0,19.666629144186835,33.07165802626317,26.395093432028744,20.866619397521248,0.0
2024-03-08,0.0,47.538735767995846,0.0,0.0,10.319213521855888,17.35292297387344,13.84027120048312,10.948856535791702,0.0
2024-03-11,0.0,47.53985451243036,0.0,0.0,10.317103034920667,17.353331345818678,13.840596908058798,10.949114198771499,0.0
2024-03-14,0.0,47.54656808496012,0.0,0.0,10.31856001496893,17.35578198118174,13.828429487528993,10.950660431360218,0.0
2024-03-15,0.0,43.17668678654396,0.0,0.0,9.37113581112012,15.762217772431613,12.51384920570548,9.951611029863871,9.224499394334954
2024-03-18,0.0,43.17639527366515,0.0,0.0,9.371183886577594,15.762298635183528,12.513913403796026,9.951662083254039,9.224546717523657
2024-03-19,0.0,43.17639527366515,0.0,0.0,9.371183886577594,15.762298635183528,12.505363131547984,9.951662083254039,9.2330969897717
2024-03-20,0.0,43.18193353298371,0.0,0.0,9.372385933347752,15.764320473661355,12.494140147672436,9.952938588273007,9.234281324061737
2024-03-21,0.0,43.19142572052691,0.0,0.0,9.373847429684922,15.76778576282708,12.475503468865183,9.9551264282319,9.23631118986401
2024-03-22,0.0,43.179275675801385,0.0,0.0,9.375852279603539,15.77115812878892,12.47817169152422,9.9572556003311,9.238286623950835
2024-03-26,0.0,43.182970012606624,0.0,0.0,9.376654459714596,15.77250747912017,12.470683490147035,9.958107524205868,9.239077034205707
2024-03-28,0.0,43.193132699167656,0.0,0.0,9.37886116296445,15.776219383367263,12.4500843278307,9.960451066706073,9.241251359963858
2024-04-02,0.0,43.193132699167656,0.0,0.0,9.37886116296445,15.776219383367263,12.447944871938278,9.960451066706073,9.24339081585628
2024-04-03,0.0,43.2143974175219,0.0,0.0,9.383478536807258,15.783986286134393,12.411263024546198,9.967495276393901,9.239379458596346
2024-04-05,0.0,43.221798750092915,0.0,0.0,9.38320167507431,15.786432705366437,12.40268432340557,9.964920658361866,9.240961887698901
