date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,CLSA LTD
2024-03-01,0.0,5462785.0,3284289.0,1394911.0,0.0,142530.0,391595.0,0.0
2024-03-04,0.0,5501865.0,3181108.0,1313311.0,1486270.0,147230.0,391468.0,0.0
2024-03-05,0.0,5522465.0,3744581.0,1313511.0,1485970.0,142530.0,389168.0,0.0
2024-03-06,1436400.0,5511965.0,3695108.0,1260511.0,1484470.0,3130.0,393968.0,0.0
2024-03-07,1742400.0,5491465.0,3681950.0,1256911.0,1482570.0,4930.0,391570.0,0.0
2024-03-08,1861700.0,5500465.0,3687206.0,1344311.0,0.0,6130.0,385770.0,0.0
2024-03-11,1915900.0,5499865.0,3652406.0,1338511.0,0.0,491230.0,387070.0,0.0
2024-03-12,2164500.0,5432965.0,3346054.0,1327211.0,0.0,398430.0,336770.0,0.0
2024-03-13,2322600.0,5418965.0,3354476.0,1328911.0,1449670.0,113330.0,323970.0,0.0
2024-03-14,2709500.0,5417365.0,3318476.0,1331411.0,1403170.0,5430.0,260370.0,0.0
2024-03-15,2971300.0,5489665.0,3369418.0,1329811.0,1253370.0,15130.0,264128.0,0.0
2024-03-18,3386700.0,5560787.0,3301258.0,1271505.0,1252070.0,11630.0,259828.0,0.0
2024-03-19,3346700.0,5615387.0,3408815.0,792805.0,0.0,320530.0,253071.0,0.0
2024-03-20,3485200.0,5601284.0,3356315.0,789505.0,1225370.0,286030.0,247918.0,0.0
2024-03-21,3613190.0,4990105.0,3349977.0,787805.0,1211870.0,72030.0,249771.0,0.0
2024-03-22,3732073.0,5019505.0,3274315.0,792205.0,1210970.0,4130.0,252171.0,0.0
2024-03-25,3860473.0,5047205.0,3206815.0,812602.0,1203970.0,0.0,252671.0,0.0
2024-03-26,4011373.0,5096005.0,3151966.0,784802.0,1199970.0,0.0,253271.0,0.0
2024-03-27,4110073.0,5203146.0,3145900.0,756202.0,1196970.0,4730.0,223957.0,0.0
