date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,FUBON SECURITIES (HONG KONG) LTD,TIGER BROKERS (HK) GLOBAL LTD,FB SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,LUK FOOK SECURITIES (HK) LTD
2024-03-01,0.0,92.28312499983764,0.0,0.0,0.0,0.0,7.716875000162362,0.0,0.0
2024-03-04,0.0,92.28357045876577,0.0,0.0,0.0,0.0,7.716429541234236,0.0,0.0
2024-03-05,13.321302076984898,54.195709537807055,14.028676493756171,0.0,5.457733993833589,5.571894838142163,4.532608336992259,2.8920747224838665,0.0
2024-03-06,13.330375617446188,54.25238220364044,13.94534373314816,0.0,5.463185435293224,5.577460308823529,4.536289238880754,2.894963462767714,0.0
2024-03-07,13.199206109827688,54.70253399780402,13.808123003324626,0.0,5.409428259641091,5.522578680318429,4.491652625258228,2.8664773238259262,0.0
2024-03-08,13.19865298644332,54.68683178571556,13.807544362786416,0.0,5.409201573184226,5.535757110455812,4.491464398930007,2.870547782484657,0.0
2024-03-11,13.189719099211075,54.68034978082421,13.782661421151083,0.0,5.408974905725524,5.535525139807419,4.532342158376763,2.8704274949039226,0.0
2024-03-12,13.182332596654836,54.68531262687932,13.78370108839567,0.0,5.40938292082975,5.535942700973117,4.53268404645914,2.8706440198081644,0.0
2024-03-13,12.54294431230987,51.93718868628338,13.115144372335452,4.983523588989343,5.147009320425223,5.267430517726774,4.301668465195794,2.7050907367341734,0.0
2024-03-14,12.487422686685216,51.99521557032283,13.111275604538191,4.982053525448248,5.145491031083852,5.27384926721718,4.300399538529021,2.7042927761754614,0.0
2024-03-15,12.487522244221175,51.9932383212248,13.111380135819402,4.982093245491804,5.14553205415332,5.275485838601258,4.300433824001086,2.70431433648715,0.0
2024-03-18,12.479251142246515,52.012723111957385,13.103094112846902,4.98197408726113,5.145408986907238,5.2753596632112165,4.297939238986198,2.7042496565834138,0.0
2024-03-19,12.48024612164771,52.01208628079783,13.100949603772715,4.98237130353137,5.145819233956066,5.275780271318143,4.298281916680687,2.7044652682954724,0.0
2024-03-20,12.460690788468638,52.062637611058705,12.916598905345067,4.985074054874553,5.148610649729616,5.2802376651007625,4.3006135749445855,2.8455367504780815,0.0
2024-03-21,12.462878057057418,52.05342511883977,12.918068321561337,4.985949102340064,5.149514403344979,5.2827602827002025,4.301368476670713,2.846036237485519,0.0
2024-03-22,12.392940800879414,52.11811071919868,12.91765962221873,4.9870234441815615,5.149825937798626,5.285494682479514,4.302295309262729,2.8466494839807375,0.0
2024-03-25,12.39472129340964,52.28203907747771,12.87960719628467,4.987739929326862,5.15056581276144,5.295033876004865,4.302913419587312,2.7073793951474983,0.0
2024-03-26,12.46706074478693,51.97960355243113,13.01977377491697,5.002032911343405,5.165325392366618,5.3142097132995465,4.336856187175319,2.7151377236800815,0.0
2024-03-27,12.468557819596596,52.02587286189051,12.965298758733654,5.002633567554358,5.1659456571336655,5.318850603749585,4.337376967356299,2.7154637639853387,0.0
2024-03-28,12.461375137669192,52.0359070664166,12.973831688274466,4.999751732603197,5.162969744037194,5.317386784266417,4.334878362497059,2.7138994842358843,0.0
2024-04-02,12.46416741930498,52.07157503525619,12.928722744307006,5.000872051572188,5.164126636069024,5.320178812426293,4.3358497000189,2.7145076010454248,0.0
2024-04-03,12.456671498961178,52.0748607550084,12.926757220032586,5.000111780383377,5.163341545657533,5.324170873207071,4.339991406112888,2.714094920636968,0.0
2024-04-05,12.382652818029706,52.14793854654424,12.920316429866288,4.996074216158808,5.158372674452974,5.319871632952586,4.342083384214833,2.7326902977805743,0.0
2024-04-08,12.227445262307254,52.22634440832642,12.954869481699486,4.997992245169939,5.160353011015594,5.321913970132945,4.361346089440179,2.7497355319081858,0.0
2024-04-09,12.21772439030237,52.215344492731994,12.95374633410298,4.996633489201539,5.1589501155910265,5.320467152687956,4.3881460375640975,2.748987987818033,0.0
2024-04-10,12.206012633894087,52.21401971427609,12.941329036348243,4.991843779398177,5.154004811118106,5.315367020021679,4.431070162317441,2.7463528426261696,0.0
2024-04-11,12.20503766763775,52.23221432467889,12.925917673857846,4.991445051378816,5.153593130340233,5.314942450291989,4.430716226595981,2.746133475218494,0.0
2024-04-12,12.23552204300377,52.28905133381326,12.924369155411783,4.990847078768314,5.14259310932776,5.314305722855554,4.357507067012309,2.745804489807243,0.0
2024-04-15,12.231970871076193,52.296671113605875,12.915916755073892,4.990050004788818,5.1417718004217,5.313456990216803,4.36479649962805,2.7453659651886637,0.0
2024-04-16,12.217481618236306,52.34351645266495,12.916638762936344,4.990328951719634,5.142059228696227,5.313754015801319,4.330701537074024,2.745519432871195,0.0
2024-04-17,12.124552297376507,52.34777329035237,13.0223866029688,4.984954754017092,5.1365216292392475,5.3080315143590555,4.323644545810952,2.7521353658759753,0.0
2024-04-18,12.124334886734157,52.366234115051114,13.023009926206852,4.98519336144241,5.136767491491067,5.30828558601981,4.303907534802657,2.752267098251931,0.0
2024-04-19,12.12365786408909,52.36330998546676,13.022282721563517,4.984914988333513,5.137278368517814,5.307989171446822,4.308453488876508,2.7521134117059716,0.0
2024-04-22,12.11959689043401,52.369920408053126,13.021347863491508,4.984557125728718,5.136909567881731,5.307608115634323,4.308144188839943,2.7519158399366415,0.0
2024-04-23,12.115248176082638,52.37664506116732,13.01667558578788,4.982768583147322,5.135066358692391,5.305703656947076,4.306598354549317,2.7612942236260483,0.0
2024-04-24,12.052240432563458,52.42593379084439,13.01914919913856,4.987381661021724,5.139820434786349,5.310615710103784,4.310585429857309,2.7542733416844243,0.0
