date,BOCI SECURITIES LTD,KGI ASIA LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,MASON SECURITIES LTD
2024-03-25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,70.5671111960779,0.0,29.43288880392209,0.0,0.0
2024-05-21,0.0,0.0,0.0,67.68729603630076,4.080959402993392,28.231744560705845,0.0,0.0
2024-05-23,0.0,0.0,0.0,67.45687811384832,4.407482507803797,28.135639378347882,0.0,0.0
2024-05-24,0.0,0.0,39.733178795201795,40.650474532653966,2.66141006687805,16.95493660526619,0.0,0.0
2024-05-27,0.0,0.0,39.78257409120526,40.70101018781943,2.5133756174999045,17.003040103475403,0.0,0.0
2024-05-29,0.0,0.0,39.70745599849806,40.624157889384534,2.697451420922998,16.97093469119441,0.0,0.0
2024-05-30,0.0,0.0,35.884035967990854,36.71246888562072,12.066687094714718,15.336808051673698,0.0,0.0
2024-05-31,0.0,0.0,31.343102120441014,32.06670125963399,10.539712038033242,13.396016585035357,12.654467996856397,0.0
2024-06-11,0.0,0.0,31.369819604507,32.09403555400794,10.463454308055603,13.40743561619197,12.665254917237487,0.0
2024-06-12,0.0,0.0,31.353783650977874,32.07762938817101,10.458105489695997,13.45170091181474,12.658780559340377,0.0
2024-06-14,0.0,0.0,31.42070851538008,32.14609930622125,10.48042838697669,13.266962978900615,12.685800812521359,0.0
2024-06-17,0.0,0.0,31.42339145308925,32.14884418328184,10.481323285209616,13.259557056289403,12.686884022129894,0.0
2024-06-18,0.0,0.0,31.49785160885697,32.11593656483036,10.466329574652887,13.2459845483026,12.673897703357179,0.0
2024-07-02,0.0,0.0,31.477713703852018,32.09540349204435,10.52357222637913,13.237515831710647,12.665794746013862,0.0
2024-07-03,78.56430236476847,0.0,6.747467532041558,6.879873647362168,2.2558011228718335,2.8375538681013985,2.7150014648545726,0.0
2024-07-22,78.47539557741648,0.0,6.739831803816665,6.872088082608665,2.2532483600431332,2.947507125202069,2.7119290509129907,0.0
2024-07-23,78.47682796124722,0.0,6.739042191161852,6.8722135164185945,2.2523768553566477,2.947560925014304,2.711978550801384,0.0
2024-08-22,78.47396324587342,0.0,6.738796189402209,6.871962653377568,2.2559450311615183,2.9474533273537404,2.7118795528315403,0.0
2024-08-23,60.53334985109586,22.861867366844088,5.198181542459132,5.30090366606333,1.7401938702684625,2.2736104569544953,2.091893246314629,0.0
