date,ABN AMRO CLEARING HONG KONG LTD,HANG SENG SECURITIES LTD,OCBC SECURITIES BROKERAGE (HK) LTD,MERRILL LYNCH FAR EAST LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-06,100.0,0.0,0.0,0.0,0.0
2024-03-20,100.0,0.0,0.0,0.0,0.0
2024-03-22,100.0,0.0,0.0,0.0,0.0
2024-03-28,100.0,0.0,0.0,0.0,0.0
2024-04-12,100.0,0.0,0.0,0.0,0.0
2024-04-15,100.0,0.0,0.0,0.0,0.0
2024-04-22,100.0,0.0,0.0,0.0,0.0
2024-04-23,100.0,0.0,0.0,0.0,0.0
2024-04-24,100.0,0.0,0.0,0.0,0.0
2024-04-25,99.96587613035318,0.0,0.0,0.034123869646817954,0.0
2024-04-29,99.89253089736701,0.0,0.0,0.10746910263299302,0.0
2024-05-06,99.89273263609547,0.0,0.0,0.10726736390453205,0.0
2024-05-09,99.89299090422686,0.0,0.0,0.1070090957731407,0.0
2024-05-10,99.89212513484358,0.0,0.0,0.10787486515641855,0.0
2024-05-13,99.89440337909187,0.0,0.0,0.10559662090813093,0.0
2024-05-22,97.28088701161562,0.0,2.6135163674762407,0.10559662090813093,0.0
2024-05-23,97.3501414972987,0.0,2.5469513763828147,0.10290712631849756,0.0
2024-06-28,97.40357953113184,0.0,2.4955886059994956,0.10083186286866651,0.0
2024-07-15,97.40226986128626,0.0,2.4968474148802016,0.1008827238335435,0.0
2024-07-16,97.40619491312013,0.0,2.4930747922437675,0.1007302946361118,0.0
2024-07-18,97.3989898989899,0.0,2.5,0.10101010101010101,0.0
2024-07-19,96.95417789757413,0.0,2.6684636118598384,0.1078167115902965,0.2695417789757413
2024-07-22,96.95991390906646,0.0,2.663438256658596,0.10761366693570083,0.26903416733925206
2024-07-24,97.15149987396016,0.0,2.4955886059994956,0.10083186286866651,0.25207965717166625
2024-07-26,97.15436917652984,0.0,2.4930747922437675,0.1007302946361118,0.2518257365902795
2024-08-02,97.16151720673197,0.0,2.4868123587038435,0.10047726701833709,0.25119316754584275
2024-08-05,97.15580166121319,0.0,2.4918197835388876,0.10067958721369243,0.25169896803423103
2024-08-06,97.14862477920767,0.0,2.498107494322483,0.10093363613424174,0.25233409033560433
2024-08-07,97.10701484895033,0.0,2.5345622119815667,0.10240655401945725,0.2560163850486431
2024-08-08,98.55933274358651,0.0,1.2511057753064576,0.06318716036901302,0.12637432073802604
2024-08-09,98.56927710843374,0.0,1.2424698795180722,0.06275100401606426,0.12550200803212852
2024-08-12,98.56657864956621,0.0,1.2448132780082988,0.0628693574751666,0.1257387149503332
2024-08-13,98.56837875172674,0.0,1.2432500313952028,0.06279040562602034,0.12558081125204068
2024-08-15,98.56909752730012,0.0,1.242625831555165,0.06275888038157398,0.12551776076314797
2024-08-16,98.57142857142858,0.0,1.2406015037593985,0.06265664160401002,0.12531328320802004
2024-08-23,98.5678391959799,0.0,1.2437185929648242,0.06281407035175879,0.12562814070351758
2024-08-27,98.56585734054597,0.0,1.2454396779469115,0.0629009938357026,0.1258019876714052
2024-08-29,97.11319321347176,0.0,2.5069637883008355,0.12661433274246645,0.2532286654849329
2024-09-02,96.6024340770791,0.0,2.510141987829615,0.6338742393509128,0.2535496957403651
2024-09-09,91.48393676695564,5.099439061703213,2.52422233554309,0.6374298827129016,0.25497195308516063
2024-09-10,91.46216768916156,5.112474437627812,2.5306748466257667,0.6390593047034765,0.2556237218813906
2024-11-11,91.46216768916156,5.112474437627812,2.5306748466257667,0.6390593047034765,0.2556237218813906
