date,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-07,0.0,0.0,50.273483866721435,49.72651613327856,0.0,0.0,0.0
2024-03-08,0.0,0.0,50.336317010596254,49.66368298940374,0.0,0.0,0.0
2024-03-11,47.14330330256817,19.174758627732942,16.968533008564766,16.713405061134125,0.0,0.0,0.0
2024-03-12,34.219711853628404,14.317753776403922,12.576103802102992,15.14895439749869,14.224825036768523,9.512651133597467,0.0
2024-03-13,34.15184802395765,13.975574818697801,12.425655838654244,16.264246773523276,13.749651766156616,9.433022779010418,0.0
2024-03-14,34.170155952585894,13.44204251919987,12.406367545326688,16.584420627969376,13.991219599650329,9.40579375526784,0.0
2024-03-15,34.147367752044346,13.353684193801108,12.717317934620887,16.426968894877753,13.952585988820035,9.402075235835875,0.0
2024-03-18,34.10063551814132,13.402121141529324,12.705099447916155,16.167511336802058,14.259439166136033,9.365193389475108,0.0
2024-03-19,34.090983377515215,13.315068058733178,12.691138963383075,16.109410274481235,14.425978416876935,9.367420909010365,0.0
2024-03-20,34.135138383512995,13.337884675833136,12.707576662197493,15.995183487484296,14.444663098291588,9.379553692680485,0.0
2024-03-21,34.38366735644287,13.43499430938139,12.800097188723583,15.969953421518632,13.974666681817332,9.436621042116188,0.0
2024-03-22,34.49252726682136,13.441375965110613,12.824925199579063,15.761984617825966,13.939928307976318,9.539258642686677,0.0
2024-03-25,34.40065806894948,13.582204438460865,12.79076662425236,15.613465236832067,13.902799975159805,9.710105656345416,0.0
2024-03-26,34.3113153871694,13.639357191379087,12.805339906364551,15.615271542937577,13.916205334781104,9.712510637368283,0.0
2024-03-27,34.312276367443374,13.639739198103767,12.80569855420165,15.612908122632737,13.916595095379447,9.712782662239027,0.0
2024-03-28,34.313237401548506,13.640121226227292,12.806057222129095,15.627349647422474,13.900179800324869,9.713054702347767,0.0
2024-04-02,34.348833548124084,13.692121976101099,12.847379592527947,15.475336166337621,13.914599682419032,9.721729034490213,0.0
2024-04-03,34.303936275474086,13.650768858244142,12.849361045590568,15.505764771846664,13.916745732978006,9.773423315866538,0.0
2024-04-05,34.28727320147013,13.666481424267465,12.864151160043678,15.464656859160142,13.932764448731675,9.784672906326911,0.0
2024-04-08,34.26082253465496,13.685393601990828,12.855629827565723,15.499013324779204,13.922016119225209,9.77712459178408,0.0
2024-04-09,34.24161130463466,13.67771972772408,12.848421230591049,15.528172079368064,13.914209562516236,9.789866095165921,0.0
2024-04-10,34.23681186303341,13.675802603658646,12.846620344329715,15.540011989629546,13.912259291086873,9.788493908261813,0.0
2024-04-11,34.297383324307184,13.612942278456911,12.869348470120118,15.46500448826921,13.93687273576893,9.818448703077648,0.0
2024-04-12,34.307970337484605,13.693285839690846,12.866999784787705,15.380757999320249,13.934329224832831,9.816656813883762,0.0
2024-04-15,31.647159664749182,12.596316105245478,11.920877989261728,14.18787819218583,12.853629563671742,9.055309961708598,7.738828523177442
2024-04-16,31.627090931421115,12.651742287012071,11.913318482375887,14.178881089540713,12.8454785615994,9.049567626448509,7.733921021602306
2024-04-17,31.681211812752704,12.698023373437653,11.933704780225671,14.007391170031783,12.867459989558972,9.06505341920369,7.747155454789527
2024-04-18,31.696415311917526,12.696335027604706,11.939431646727234,13.973906171632816,12.873634955919503,9.069403648383762,7.750873237814456
