date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,35.31589909743115,46.598009719972225,0.0,0.0,0.0,0.0,18.086091182596622,0.0
2024-03-07,17.393286601698296,22.949791987234285,24.94443494614464,25.80498090841739,0.0,0.0,8.907505556505384,0.0
2024-03-11,17.40369272851607,22.948484157738775,24.943013448826076,25.79781171643492,0.0,0.0,8.906997948484157,0.0
2024-03-12,17.45342324837124,23.01405874957138,25.014287347125386,25.585781232140814,0.0,0.0,8.932449422791176,0.0
2024-03-13,17.487712881472167,23.01405874957138,25.014287347125386,25.55149159903989,0.0,0.0,8.932449422791176,0.0
2024-03-14,17.80680052931362,23.1689776192394,25.18267073240895,24.848973016512282,0.0,0.0,8.992578102525746,0.0
2024-03-19,17.832853025936597,23.21037463976945,25.227665706051873,24.720461095100866,0.0,0.0,9.00864553314121,0.0
2024-03-20,17.14874881569414,22.510171097363873,24.39391406119378,23.903472106113803,3.332776012929833,0.0,8.710917906704564,0.0
2024-03-21,17.18828451882845,22.532775453277544,24.195258019525802,23.92747559274756,3.3361227336122736,0.0,8.820083682008368,0.0
2024-03-27,17.193080357142858,22.5390625,24.202008928571427,23.934151785714285,3.337053571428571,0.0,8.794642857142858,0.0
2024-03-28,17.198838896952104,22.546611588701573,24.210114993859552,23.942168136652896,3.3381712626995643,0.0,8.764095121134309,0.0
2024-04-02,17.182092218376688,22.546611588701573,24.210114993859552,23.942168136652896,3.3381712626995643,0.0,8.780841799709723,0.0
2024-04-03,17.182092218376688,22.546611588701573,24.210114993859552,23.886345874734843,3.3381712626995643,0.0,8.836664061627777,0.0
2024-04-05,17.14572192513369,22.498885918003563,24.15886809269162,23.83578431372549,3.3311051693404634,0.0,9.029634581105169,0.0
2024-04-09,17.18471479500891,22.498885918003563,24.15886809269162,23.83578431372549,3.3311051693404634,0.0,8.990641711229946,0.0
2024-04-16,17.180886611717533,22.49387391401203,24.15348629984406,23.830474493205614,3.3303631098240145,0.0,9.010915571396747,0.0
2024-04-17,16.00435775057066,20.953517327246317,22.49948122017016,22.198588918862836,3.1023033824444908,0.0,8.476862419589127,6.764888981116414
2024-04-22,16.00725952813067,20.943738656987296,22.488981073373086,22.188229193673838,3.1008555872439723,0.0,8.509204044594245,6.761731915996889
2024-04-23,15.890467793797324,20.946997199460636,22.49248003319158,22.191681360854684,3.1013380354734985,0.0,8.614251633647962,6.762783943574319
2024-04-26,15.938570094427726,20.95569160527135,22.50181591781675,22.200892393898517,3.1026252983293556,0.0,8.742347203486563,6.558057486769742
2024-04-29,15.969700114143407,21.028328317941266,22.50181591781675,22.200892393898517,3.1026252983293556,0.0,8.742347203486563,6.454290754384144
2024-05-02,15.957060623346988,21.018513716745318,22.49131359228336,22.24238966965721,3.101177202717419,0.0,8.738266867188715,6.451278328060986
2024-05-07,16.00517464424321,20.952134540750322,22.44243208279431,22.19404915912031,3.0944372574385515,0.0,8.874514877102198,6.4372574385511
2024-05-08,16.02255677996792,20.947798644523772,22.43778778001966,22.189456257437012,3.0937968855088207,0.0,8.872678358942522,6.435925293600289
2024-05-10,16.057299477685266,20.939132233541915,22.42850493871852,22.180276154522417,3.0925169364430882,0.0,8.869007602006516,6.433262657082278
2024-05-13,16.24864249883643,20.939132233541915,22.42850493871852,22.025133164399854,3.0925169364430882,0.0,8.72937891089621,6.536691317163987
2024-05-16,16.401924768458635,20.94996636829306,22.233145340715062,22.036529207843948,3.0889429295803796,0.0,8.85290008795985,6.436591297149066
2024-05-17,16.738130098305795,21.17234888098724,22.469148713658228,21.046852122986824,3.1217318552604056,0.0,8.946873039113157,6.504915289688349
2024-05-20,17.418611954359886,21.192295613943262,22.30189469276667,20.124568198471685,3.124672877630064,0.0,9.326913011619386,6.511043651209045
2024-05-21,18.556539045723564,21.20672497774053,21.981878175247473,19.27931702718274,3.126800398051642,0.0,9.333263499711936,6.515476876342115
2024-05-22,19.547921386795934,21.118077875546657,22.113915380157014,18.23594499183308,3.1455819590073237,0.0,9.231255598292849,6.607302808367142
2024-05-23,19.555133881509594,21.1258697027198,22.122074636306134,18.205776934429686,3.1467425679949397,0.0,9.234661606578115,6.609740670461734
2024-05-24,19.84503478810879,21.1258697027198,22.122074636306134,17.81045751633987,3.1467425679949397,0.0,9.234661606578115,6.715159181952352
2024-05-27,19.85348371455676,21.123642879730156,22.119742805944977,17.808580162327395,3.1464108780436386,0.0,9.233688204911985,6.714451354485085
2024-05-28,20.18358303439544,21.143701202785397,22.140746993036505,17.39818527115425,3.1493986073011184,0.0,9.369065203629457,6.615319687697826
2024-05-29,20.187842971718027,21.148163782186575,22.145420008442382,17.401857323765302,3.150063317855635,0.0,9.349936682144365,6.616715913887717
