date,KINGSTON SECURITIES LTD,EMPEROR SECURITIES LTD,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,0.0,0.0,77.21067135387047,0.0,0.0,0.0,22.789328646129537,0.0,0.0
2024-03-05,0.0,0.0,77.2105203585197,0.0,0.0,0.0,22.789479641480305,0.0,0.0
2024-03-08,0.0,0.0,77.22155974606697,0.0,0.0,0.0,22.778440253933024,0.0,0.0
2024-03-11,0.0,0.0,77.2243179220441,0.0,0.0,0.0,22.77568207795591,0.0,0.0
2024-03-12,0.0,0.0,77.22799445113361,0.0,0.0,0.0,22.772005548866392,0.0,0.0
2024-03-18,0.0,0.0,66.67063791047197,0.0,0.0,0.0,19.644397703003072,13.684964386524962,0.0
2024-03-19,0.0,0.0,66.67643635627252,0.0,0.0,0.0,19.64098008657647,13.682583557151014,0.0
2024-03-20,0.0,0.0,66.59534274726691,0.0,0.0,0.0,19.7401409622867,13.664516290446388,0.0
2024-03-21,0.0,0.0,53.72810115848965,0.0,19.322939869266705,0.0,15.925212010832576,11.02374696141107,0.0
2024-03-26,0.0,0.0,53.7319923067355,0.0,19.32131494300564,0.0,15.923872810100983,11.02281994015788,0.0
2024-04-02,0.0,0.0,53.739772640244624,0.0,19.31806591021633,0.0,15.921195084229561,11.020966365309489,0.0
2024-04-03,0.0,0.0,53.76749970065059,0.0,19.27643802922111,0.0,15.929409632154634,11.026652637973664,0.0
2024-04-10,59.332120973395675,0.0,21.86768325068214,0.0,7.838659091878884,0.0,6.477608127189738,4.483928556853562,0.0
2024-04-12,59.33415067014578,0.0,21.87071192856104,0.0,7.8389272451257765,0.0,6.472128208282632,4.484081947884765,0.0
2024-04-15,59.338210480278754,0.0,21.87562952561528,0.0,7.839463606662968,0.0,6.462307626009485,4.484388761433514,0.0
2024-04-17,59.33685714850613,0.0,21.87513060621337,0.0,7.841565520102442,0.0,6.462160239592471,4.484286485585582,0.0
2024-04-18,59.335503878463214,0.0,21.87691236632737,0.0,7.841386680908426,0.0,6.462012859898213,4.484184214402772,0.0
2024-04-19,59.33076791937347,0.0,21.884288124125252,0.0,7.837340095877406,0.0,6.4637775586277035,4.483826301996166,0.0
2024-04-22,54.79819249970064,0.0,20.225074961662582,0.0,7.238606313728082,7.626864820367834,5.969977119026412,4.141284285514459,0.0
2024-04-23,54.78173652819491,0.0,20.227310453595884,0.0,7.262334157116647,7.62413489345305,5.964681995460748,4.13980197217876,0.0
2024-04-24,49.959390467835284,0.0,18.448904788575398,8.686334931260314,6.686151136782439,6.9469673708581645,5.482613736888214,3.7896375678001832,0.0
2024-04-25,49.9342704065407,0.0,18.441931446827397,8.681967358640726,6.710616524811891,6.9434743689513505,5.491371749787149,3.796368144440786,0.0
2024-04-26,49.93043750524803,0.0,18.444353810481992,8.681300940094088,6.713939371676977,6.942941395270797,5.490950237953554,3.796076739274559,0.0
2024-04-29,49.87530650427387,0.0,18.4423523440817,8.678553044665472,6.788548841928643,6.940743743438098,5.47962035592559,3.794875165686625,0.0
2024-04-30,49.85235409080796,0.0,18.433865248443517,8.676476692881044,6.785424779325837,6.937549641359814,5.477098656895336,3.8372308902864907,0.0
2024-05-02,49.848052864910755,0.0,18.436109422843696,8.675728092600705,6.784839337668834,6.93695107447717,5.46991548496453,3.8484037225343126,0.0
2024-05-03,49.849486524405954,0.0,18.43663965625924,8.675977611674027,6.78215841449331,6.937150585294627,5.470072802970395,3.8485144049024504,0.0
2024-05-06,49.95148849447518,0.0,18.474009404974723,8.693563197184961,6.601858189214129,6.9512116929046535,5.4523413615881795,3.8755276596581774,0.0
2024-05-07,49.95244821046055,0.0,18.474364345391404,8.693730226273017,6.601985030456069,6.951345246261729,5.450524821138432,3.8756021200187964,0.0
