date,GLOBAL MASTERMIND SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,KGI ASIA LTD,CHINA INDUSTRIAL SECURITIES,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-05,0.0,96.50865940195767,0.0,0.0,0.0,0.0,3.4913405980423287,0.0,0.0
2024-03-22,0.0,82.1312797166558,0.0,0.0,0.0,14.897502228706974,2.9712180546372213,0.0,0.0
2024-04-03,0.0,61.7756869537419,0.0,0.0,24.839826285471013,11.149661770262158,2.234824990524922,0.0,0.0
2024-04-05,0.0,61.685191517908535,0.0,0.0,24.909087884826757,11.164664180185314,2.2410564170794007,0.0,0.0
2024-04-12,0.0,61.68512495181947,0.0,0.0,24.909131160537328,11.164683577072825,2.241060310570376,0.0,0.0
2024-04-16,0.0,61.68565418312972,0.0,0.0,24.909344869954815,11.164779365159866,2.2402215817555886,0.0,0.0
2024-05-16,0.0,61.68561309305088,0.0,0.0,24.909371583889843,11.164791338786316,2.2402239842729608,0.0,0.0
2024-06-03,0.0,61.65255356621794,0.0,0.0,24.949615337993094,11.158807727692235,2.2390233680967357,0.0,0.0
2024-06-05,0.0,61.65308064254196,0.0,0.0,24.949481624795496,11.158426364228726,2.239011368433816,0.0,0.0
2024-06-13,0.0,61.662994810874295,0.0,0.0,24.953493644277003,11.160220703070287,2.2232908417784123,0.0,0.0
2024-06-18,0.0,61.59696051824057,0.0,0.0,24.926771194182034,11.255358346021328,2.220909941556064,0.0,0.0
2024-07-08,0.0,61.597371768196616,0.0,0.0,24.92650425870775,11.255237814790272,2.2208861583053583,0.0,0.0
2024-07-09,0.0,61.597988626615994,0.0,0.0,24.926103866215733,11.255057022783895,2.2208504843843713,0.0,0.0
2024-07-10,0.0,61.596425880129466,0.0,0.0,24.92711821884589,11.25551504048112,2.2209408605435224,0.0,0.0
