date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,ORIENT SECURITIES (HONG KONG) LTD,MIRAE ASSET SECURITIES (HK) LTD,BNP PARIBAS,HANG SENG SECURITIES LTD,WING FUNG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ICBC (ASIA) SECURITIES LTD,USMART SECURITIES LTD
2024-09-30,47.61904761904761,45.23809523809524,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-03,47.624761904761904,45.23809523809524,0.0,7.136190476190476,0.0,0.0,0.0,0.0009523809523809523,0.0,0.0
2024-10-04,38.49153846153846,55.769230769230774,0.0,5.738846153846154,0.0,0.0,0.0,0.0003846153846153846,0.0,0.0
2024-10-08,38.46757412699573,55.77073228894625,0.0,5.761308958318109,0.0,0.0,0.0,0.00038462573992376715,0.0,0.0
2024-10-09,55.56765616969259,40.28393226742975,0.0,4.13090888885802,0.0,0.0,0.0,0.017502674019641888,0.0,0.0
2024-10-10,55.56781054830752,40.284044184650945,0.0,4.130642544395795,0.0,0.0,0.0,0.017502722645744893,0.0,0.0
2024-10-14,55.56781054830752,40.284044184650945,0.0,4.122307914564488,0.0,0.0,0.0,0.025837352477051986,0.0,0.0
2024-10-15,55.80313800761068,40.45262300387229,0.0,3.704344332727009,0.0,0.0,0.0,0.025945475443862918,0.0,0.01394918034616286
2024-10-16,55.663375484215685,40.3513068257714,0.0,3.945522952936462,0.0,0.0,0.0,0.025880493343425796,0.0,0.013914243733024623
2024-10-21,55.66384019635945,40.351643703334716,0.0,3.9447210309984113,0.0,0.0,0.0,0.025880709409725023,0.0,0.013914359897701626
2024-10-22,55.68476027683279,40.366809017666746,0.0,3.9041664114741956,0.0,0.0,0.0,0.030066312923503508,0.0,0.014197981102765544
2024-10-23,55.99889134944609,39.96041333628227,0.0,3.991981880842462,0.0,0.0,0.0,0.03443535811372627,0.0,0.014278075315447478
2024-10-24,59.320385182285406,36.39925146282078,0.0,4.228760554107316,0.0,0.0,0.0,0.03647784193528297,0.0,0.01512495885121489
2024-10-25,58.1139541707947,38.46701395446133,0.0,3.3684785482479205,0.0,0.0,0.0,0.03573597217823825,0.0,0.014817354317806102
2024-10-28,58.072680831301525,38.430279809590154,0.0,3.446534308603274,0.0,0.0,0.0,0.03570184604667363,0.0,0.014803204458376873
