date,ABN AMRO CLEARING HONG KONG LTD,FB SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA INDUSTRIAL SECURITIES,BOCI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-18,91.26582278481013,0.0,8.734177215189872,0.0,0.0,0.0
2024-03-27,96.9620253164557,0.0,3.0379746835443036,0.0,0.0,0.0
2024-04-09,96.95817490494296,0.0,3.041825095057034,0.0,0.0,0.0
2024-04-12,96.9620253164557,0.0,3.0379746835443036,0.0,0.0,0.0
2024-06-07,96.9735182849937,0.0,3.0264817150063053,0.0,0.0,0.0
2024-08-07,96.96969696969697,0.0,3.0303030303030303,0.0,0.0,0.0
2024-08-09,96.98492462311557,0.0,3.015075376884422,0.0,0.0,0.0
2024-09-09,97.00374531835206,0.0,2.9962546816479403,0.0,0.0,0.0
2024-09-10,96.87906371911573,0.0,3.1209362808842656,0.0,0.0,0.0
2024-10-10,96.875,0.0,3.125,0.0,0.0,0.0
2024-10-14,96.87906371911573,0.0,3.1209362808842656,0.0,0.0,0.0
2024-11-19,96.875,0.0,3.125,0.0,0.0,0.0
2024-11-22,96.4935064935065,0.0,3.116883116883117,0.0,0.38961038961038963,0.0
2024-11-25,96.61458333333334,0.0,3.125,0.0,0.26041666666666663,0.0
2024-11-28,96.61016949152543,0.0,3.129074315514994,0.0,0.2607561929595828,0.0
2024-12-04,95.83875162548765,0.0,3.1209362808842656,0.7802340702210664,0.26007802340702213,0.0
2024-12-05,96.21409921671018,0.0,3.1331592689295036,0.39164490861618795,0.26109660574412535,0.0
2024-12-12,96.23376623376623,0.0,3.116883116883117,0.38961038961038963,0.2597402597402597,0.0
2024-12-16,95.9792477302205,0.0,3.11284046692607,0.38910505836575876,0.25940337224383914,0.25940337224383914
2024-12-17,95.97402597402598,0.0,3.116883116883117,0.38961038961038963,0.2597402597402597,0.2597402597402597
2024-12-18,95.84415584415584,0.0,3.116883116883117,0.38961038961038963,0.2597402597402597,0.38961038961038963
2024-12-30,95.71428571428572,0.0,3.116883116883117,0.38961038961038963,0.2597402597402597,0.5194805194805194
2025-01-03,96.1038961038961,0.0,3.116883116883117,0.38961038961038963,0.2597402597402597,0.12987012987012986
2025-01-07,96.09882964889466,0.0,3.1209362808842656,0.3901170351105332,0.26007802340702213,0.13003901170351106
2025-01-08,96.09375,0.0,3.125,0.390625,0.26041666666666663,0.13020833333333331
2025-01-27,96.11901681759379,0.0,3.1047865459249677,0.38809831824062097,0.258732212160414,0.129366106080207
2025-02-06,96.12903225806451,0.0,3.096774193548387,0.3870967741935484,0.25806451612903225,0.12903225806451613
2025-05-02,91.48387096774194,4.645161290322581,3.096774193548387,0.3870967741935484,0.25806451612903225,0.12903225806451613
