date,CITIBANK N.A.,SOOCHOW SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,90.94158421777725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.058415782222756
2024-03-04,53.579248484347595,0.0,0.0,25.161508693733197,15.9223761481652,0.0,0.0,0.0,0.0,5.33686667375401
2024-03-05,48.56443013619014,0.0,0.0,22.806485078545343,14.431594812104196,9.353554108237798,0.0,0.0,0.0,4.843935864922521
2024-03-06,48.55312537300725,0.0,0.0,22.81129702690409,14.428235444739135,9.364027814773209,0.0,0.0,0.0,4.843314340576313
2024-03-07,48.552575385097505,0.0,0.0,22.847413570231616,14.39831017800581,9.35823946680934,0.0,0.0,0.0,4.8434613998557365
2024-03-08,48.55179431499513,0.0,0.0,22.84776043757803,14.373225590701184,9.35838154274634,0.0,0.0,0.0,4.868838113979318
2024-03-11,37.66335681385762,0.0,22.412304292637778,17.723821866914406,11.149823227469371,7.259630014040813,0.0,0.0,0.0,3.791063785080013
2024-03-12,37.66384109640154,0.0,22.41142448379722,17.72194843882618,11.151348315141545,7.2605227013026825,0.0,0.0,0.0,3.7909149645308324
2024-03-13,37.65807576145835,0.0,22.407993889228482,17.734543025886737,11.14964133953222,7.259411307880844,0.0,0.0,0.0,3.7903346760133725
2024-03-14,33.633862652930084,0.0,19.973382904522072,15.87051658191409,9.596497751517594,6.46666844002952,5.620187133019612,5.461022704201016,0.0,3.3778618318660074
2024-03-15,33.63008981484269,0.0,19.971142414319264,15.863127635947302,9.606989198758779,6.465943049275539,5.619556695288074,5.4604101205478335,0.0,3.3827410710205177
2024-03-18,33.62148619504775,0.0,19.963930456195314,15.886755177478602,9.604531433022938,6.464288860544021,5.618119038431118,5.459013178319601,0.0,3.3818756609606564
2024-03-19,33.62042577961055,0.0,19.963300797532398,15.931811621974823,9.59686921783757,6.464084978072601,5.617941843998909,5.458841002056703,0.0,3.346724758916448
2024-03-20,33.62456836646294,0.0,19.956143627276653,15.909885226762349,9.614424855116637,6.468790879304544,5.618985483250584,5.459855085309359,0.0,3.347346476516941
2024-03-21,33.6115607703493,0.0,19.957884355219942,15.885948635637265,9.629392756457952,6.467449823599268,5.638091812175742,5.461386490781763,0.0,3.3482853557787657
2024-03-22,33.65498341708205,0.0,19.98191257592907,15.779037308285174,9.64183293210976,6.475805097276403,5.645375641411749,5.468442035089287,0.0,3.3526109928165044
2024-03-25,33.656755741835184,0.0,19.982964855106697,15.779868257391744,9.631808369409079,6.470879964983557,5.645672935838135,5.468730011911611,0.0,3.3633198635239934
2024-03-26,33.66743792750324,0.0,19.98492940613091,15.84602415762916,9.586057422833647,6.471516125531052,5.611116794732482,5.469267649805885,0.0,3.363650515833626
2024-03-27,33.66791077545918,0.0,19.98310338775364,15.846246709762434,9.586894289170653,6.471607015820307,5.611195600999612,5.469344463849005,0.0,3.363697757185175
2024-03-28,33.69251718511869,0.0,19.997708167702918,15.833231910896654,9.593900932672089,6.476336831532626,5.618810312402041,5.421338522296986,0.0,3.366156137377997
