date,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,LEHIN SECURITIES LTD,PRUDENTIAL BROKERAGE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-06,0.0,3.3703393334728973,0.0,0.0,0.0,0.0,3.41990369085126
2024-03-08,1.9348937982553045,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.7625492486185383,0.0,0.0,0.0
2024-03-21,0.0,0.0,0.0,0.7711023155067003,0.0,0.0,0.0
2024-03-22,0.0,0.0,0.0,0.0,0.0,0.0,3.4446125507503944
2024-03-27,0.0,0.0,54.478403166360565,0.0,0.0,0.0,3.444137380367719
2024-04-17,1.9158869829482779,3.3693889927075458,54.517842308122646,0.0,0.0,0.0,3.4436622099850434
2024-04-18,0.0,0.0,54.51926781927068,0.0,0.0,0.0,0.0
2024-04-22,0.0,3.3684386519421947,54.52164367118405,0.0,0.0,0.0,0.0
2024-04-29,1.9078090864427917,0.0,54.53019673807221,0.0,0.0,0.0,0.0
2024-05-02,0.0,0.0,54.53304776036827,0.0,0.0,0.0,0.0
2024-05-07,0.0,0.0,54.53352293075094,0.0,0.0,0.0,0.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,3.4408111876889893
2024-05-17,0.0,0.0,54.55205457567529,0.0,0.0,0.0,3.4393856765409625
2024-05-21,0.0,0.0,54.57011105021697,0.0,0.0,0.0,0.0
2024-05-22,0.0,0.0,54.57438758366106,0.0,0.0,0.0,3.4389105061582868
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,3.4270312465913952
2024-05-27,1.903057382616035,0.0,54.58008962825316,0.0,0.0,0.0,0.0
2024-06-04,0.0,0.0,54.58246548016654,0.0,0.0,0.0,3.4251305650606927
2024-06-07,0.0,3.367488311176843,0.0,0.0,0.0,0.0,0.0
2024-06-12,1.9025822122333593,0.0,54.58436616169724,0.0,0.0,0.0,0.0
2024-06-20,0.0,0.0,54.596245421264136,0.0,0.0,0.0,3.415627157407179
2024-06-21,0.0,0.0,54.59909644356019,0.0,0.0,0.0,0.0
2024-06-26,0.0,0.0,54.611450873509746,0.0,0.0,0.0,3.4051734089883143
2024-07-03,0.0,0.0,54.61572740695383,0.0,0.0,2.491673743814749,3.4046982386056386
2024-07-16,1.8940291453451976,0.0,54.630932859199454,0.0,0.0,2.4873972103706676,0.0
2024-07-29,0.0,0.0,0.0,0.7730029970374029,0.0,0.0,0.0
2024-07-30,0.0,0.0,54.63663490379156,0.0,0.0,2.4835958473092625,0.0
2024-09-03,0.0,0.0,54.639485926087616,0.0,0.0,2.4812199953958842,0.0
2024-09-04,0.0,0.0,54.64423762991437,0.0,0.0,2.4774186323344787,3.4008968755442335
2024-09-05,0.0,0.0,54.67322302325759,0.0,0.0,2.4736172692730736,3.3818900602372066
2024-09-23,1.8845257376916842,0.0,54.69698154239138,0.0,0.0,2.469815906211668,0.0
2024-09-25,0.0,0.0,54.70600977966221,0.0,0.0,2.46411386161956,3.3790390379411526
2024-09-26,1.8802492042476031,3.3655876296461407,54.74402341027626,0.0,0.0,2.4584118170274523,3.3738121637317207
2024-09-27,0.0,0.0,54.75922886252188,0.0,0.0,2.452709772435344,3.369060459904964
2024-09-30,1.8640934112366305,0.0,54.81244794538156,0.0,0.0,2.443206364781831,3.3548053484246942
2024-10-02,0.0,0.0,0.0,0.0,0.0,2.4327526163629662,3.3510039853632887
2024-10-03,1.8583913666445226,3.3617862665847356,54.886099354696285,0.0,0.0,2.3714556369978057,0.0
2024-10-04,1.8469872774603067,0.0,54.91128338497809,0.0,2.329285215876106,2.3405695621238873,0.0
2024-10-07,1.8455617663122796,0.0,54.934091563346534,0.0,0.0,2.3305909840876984,3.341500577709775
2024-10-08,1.791392342687254,3.36131109620206,54.99158717965028,0.0,0.0,2.215124581097512,3.442236698837016
2024-10-09,0.0,0.0,0.0,0.0,0.0,2.2056211734439986,3.4569669806999617
2024-10-10,0.0,3.3660628000288164,0.0,0.0,0.0,2.196117765790486,3.466470388353475
2024-10-14,0.0,0.0,54.99348786118099,0.0,0.0,2.19564259540781,3.4816758405990966
2024-10-15,0.0,0.0,0.0,0.0,0.0,0.0,3.4831013517471234
2024-10-16,0.0,0.0,0.0,0.0,0.0,0.0,3.48785305557388
2024-10-17,0.0,0.0,0.0,0.0,0.0,0.0,3.5082853820289333
2024-10-21,0.0,3.36131109620206,0.0,0.0,0.0,0.0,0.0
2024-10-22,0.0,0.0,55.01629603954942,0.0,0.0,2.1904157211983777,0.0
2024-10-23,1.7733358681455789,0.0,55.0419552402139,0.0,0.0,2.1856640173716206,0.0
2024-10-25,0.0,0.0,0.0,0.0,0.0,0.0,3.5063847004982307
2024-10-30,0.0,0.0,0.0,0.0,0.0,0.0,3.505909530115555
2024-11-01,1.7719103569975518,0.0,55.04575660327531,0.0,0.0,2.1851888469889453,0.0
2024-11-04,0.0,0.0,55.100876367665684,0.0,0.0,2.1566786240284053,3.4959309520793664
2024-11-06,0.0,0.0,55.119883182972714,0.0,0.0,2.146224875609541,0.0
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.0,3.51303708585569
2024-11-20,1.771435186614876,0.0,55.14316653172382,0.0,0.0,2.1314945937465954,0.0
2024-11-22,0.0,3.3080920133423857,0.0,0.0,0.0,0.0,0.0
2024-11-26,0.0,0.0,0.0,0.0,0.0,0.0,3.512561915473014
2024-11-27,0.0,0.0,55.17357743621506,0.0,0.0,2.1025092004033796,0.0
2024-11-29,1.7747613792936057,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03,0.0,0.0,55.18498152539928,0.0,0.0,2.1020340300207043,3.503058507819501
2024-12-30,1.779988253503038,0.0,0.0,0.0,0.0,0.0,3.5025833374368256
2025-01-02,0.0,0.0,55.18593186616463,0.0,0.0,2.1015588596380286,0.0
2025-01-03,0.0,0.0,55.25578191241796,0.0,0.0,2.054041821370462,3.497831633610069
2025-01-15,0.0,0.0,0.0,0.0,0.0,2.052141139839759,0.0
2025-01-20,1.7790379127376867,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,0.0,3.3061913318116822,0.0,0.0,0.0,0.0,0.0
2025-02-04,1.757180075134606,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,0.0,0.0,0.0,0.0,4.2299667465787625,0.0,0.0
2025-02-10,0.0,0.0,0.0,0.7734781674200786,0.0,0.0,3.49117924825261
2025-02-11,1.7581304158999576,0.0,0.0,0.0,4.210009590506385,0.0,0.0
2025-02-12,1.7614566085786871,0.0,0.0,0.0,4.123528580859414,0.0,0.0
2025-02-20,0.0,3.309517524490412,0.0,0.0,0.0,0.0,3.492129589017961
2025-02-27,0.0,3.3076168429597095,0.0,0.0,0.0,0.0,0.0
2025-02-28,1.7229678075819586,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,1.7201167852859043,0.0,0.0,0.0,0.0,2.0488149471610297,0.0
2025-03-21,1.6958830957694455,0.0,0.0,0.0,0.0,0.0,3.483576522129799
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,3.4826261813644477
2025-03-25,0.0,3.3090423541077363,0.0,0.0,0.0,0.0,0.0
2025-03-27,1.6968334365347968,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,0.0,3.3076168429597095,0.0,0.0,0.0,0.0,0.0
2025-03-31,1.697783777300148,0.0,0.0,0.0,0.0,0.0,0.0
