date,HAITONG INTERNATIONAL SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD
2024-03-01,87.24365970492197,0.0,4.395944166201282,3.714874900758848,4.645521228117904
2024-03-04,79.91072511048858,8.310479209188145,4.115738445312104,3.3186897826492854,4.344367452361888
2024-03-05,79.39486812037136,8.343920393175395,4.07277378644749,3.8170644015351076,4.371373298470653
2024-03-06,79.42588333385822,8.347179904507028,4.074364795431583,3.779967408744172,4.372604557458994
2024-03-07,79.491418615045,8.371767651652483,4.14609135187192,3.6410727043585176,4.349649677072077
2024-03-08,79.45990690092788,8.368448944382063,4.152089537498647,3.671629213248701,4.347925403942706
2024-03-12,79.41268077282133,8.378533162287694,4.157092922945353,3.6985283647926357,4.353164777152985
2024-03-13,79.34533405108517,8.371427663065825,4.093844920053851,3.875753856849583,4.3136395089455695
2024-03-14,78.97412503412204,8.3954546486736,4.225382636657158,4.091954610031821,4.313083070515391
2024-03-15,78.67621542182289,8.416303631664318,4.235875806402868,4.323794032498722,4.3478111076111965
2024-03-18,78.66468042799974,8.445206787785493,4.1089582105041815,4.382262940646959,4.398891633063624
2024-03-20,78.35791356959729,8.477199656143029,4.233382950258982,4.515947926287078,4.415555897713629
2024-03-21,77.91066825370568,8.428814143239851,4.053598512361808,4.646515184747523,4.960403905945138
2024-03-22,78.23939548102022,8.321757450341645,4.0959495794828,5.093081543398665,4.249815945756662
2024-03-25,78.08912512388589,8.30577428155104,4.088082701136808,5.208759271543366,4.308258621882889
2024-03-26,77.66563065985677,8.311442587695081,4.114684287234729,5.482313977784605,4.425928487428811
2024-03-27,77.55159710298757,8.29536184768498,4.1069648589228285,5.628710862085522,4.417365328319102
2024-03-28,77.06334597294011,8.243135717629837,4.08110813503394,6.13884748315816,4.473562691237949
2024-04-02,76.89189084638976,8.224795897838801,4.072028242344053,6.378809036453904,4.432475976973489
2024-04-03,76.72321365291744,8.209142865299052,4.063095462982043,6.474261568117696,4.530286450683767
2024-04-08,76.72394702449175,8.209221333753908,4.062178434153795,6.474323453421669,4.530329754178866
2024-04-09,76.72413036957599,8.209240951102014,4.061949174207485,6.474338924932521,4.530340580181993
2024-05-28,76.66001306352015,8.202380600753143,4.058554658855779,6.552497040330349,4.526554636540567
2024-10-16,76.6371399887399,8.199933253598353,4.0573437064895845,6.550541969507746,4.555041081664407
2024-10-24,76.63256701160147,8.199443959408734,4.057101602726118,6.556118146218355,4.554769280045321
2024-11-18,74.53856439775029,7.975392257205822,6.678763486947406,6.376970701858048,4.430309156238428
2025-05-02,74.53908354754488,7.9754478046031405,6.678113518690598,6.377015116491691,4.430340012669686
