date,EVERBRIGHT SECURITIES INVESTMENT,GOLDMAN SACHS (ASIA) SECURITIES LTD,PRUDENTIAL BROKERAGE LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,MORTON SECURITIES LTD,QUAM SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,0.0,0.0,93.60916979344942,0.0,0.0,0.0,6.390830206550563
2024-03-20,0.0,0.0,0.0,0.0,0.0,93.55575519166794,0.0,0.0,0.0,6.44424480833206
2024-03-21,0.0,0.0,0.0,0.0,0.0,84.03317036096371,0.0,0.0,0.0,15.966829639036295
2024-03-22,0.0,0.0,0.0,0.0,34.69135222724128,54.88092724332406,0.0,0.0,0.0,10.427720529434655
2024-03-25,0.0,0.0,0.0,0.0,34.70312000136463,54.865622245889035,0.0,0.0,0.0,10.431257752746331
2024-03-28,0.0,0.0,0.0,0.0,32.029469091933485,58.40663066033886,0.0,0.0,0.0,9.563900247727648
2024-04-02,0.0,0.0,0.0,0.0,31.196574528584648,59.48822496010479,0.0,0.0,0.0,9.315200511310566
2024-04-03,0.0,0.0,0.0,0.0,25.664991841146183,48.0401159184689,18.631405183420753,0.0,0.0,7.663487056964166
2024-04-05,83.59329886794168,0.0,0.0,0.0,4.242176044765701,7.81823257131281,3.0795918907216473,0.0,0.0,1.2667006252581579
2024-04-08,84.08986174774641,0.0,0.0,0.0,4.267375518670366,7.270652268587942,3.097885354893887,0.0,0.0,1.2742251101014024
2024-04-09,84.10791813346025,0.0,0.0,0.0,4.2694408491322005,7.22860318034631,3.099384673845955,0.0,0.0,1.294653163215293
2024-04-10,83.30493391767554,0.0,0.0,0.0,4.230103607356832,8.094585176040473,3.0652197164961525,0.0,0.0,1.305157582431008
2024-04-11,76.31628080048873,0.0,5.536777721478858,2.930599697826381,3.8881229898454404,7.324356454118311,2.8073921068828374,0.0,0.0,1.1964702293594491
2024-04-12,76.5310482632618,0.0,5.558263752235618,2.9392429383273475,3.9227939223021853,6.981416474037822,2.81567197027677,0.0,0.0,1.2515626795584696
2024-04-15,76.59641798263839,0.0,5.562823994943387,2.9416544218001275,3.926012354023973,6.8999393597289185,2.820562370539504,0.0,0.0,1.2525895163257021
2024-04-16,76.68656850509832,0.0,5.5800804860488,2.945315053487554,3.9308979330783513,6.812503094157826,2.811154759884472,0.0,0.0,1.2334801682446805
2024-04-17,76.684761449998,0.0,5.585680427565419,2.9455433487769276,3.9312026222083207,6.810447429312492,2.806205234178686,0.0,0.0,1.236159487960149
2024-04-18,62.82374951365179,16.774772139353363,4.578167810927028,2.4131271197319424,3.2206253779124596,6.877863459937124,2.2989748078031598,0.0,0.0,1.0127197706831292
2024-04-19,62.82388249278343,16.77480764654053,4.578177501542197,2.413132227601998,3.2206321950153773,6.877666348160931,2.298979674046833,0.0,0.0,1.0127219143086967
2024-04-22,62.700109834207176,16.74654800741439,4.573536948785021,2.4084591352948705,3.2143953583586597,7.051662322451599,2.294527641080655,0.0,0.0,1.0107607524076274
2024-04-23,62.735115838015076,16.770422067853982,4.5771699478203125,2.4103723000540165,3.216947663171369,6.982089940774176,2.2963185898985774,0.0,0.0,1.0115636524124878
2024-04-24,62.308025531497556,16.65835169146452,4.546009330837554,2.3897631094858474,3.195047214831363,7.609040847354397,2.2806856322269287,0.0,0.0,1.013076642301835
2024-04-25,62.30671716081999,16.66430142107344,4.545913871781396,2.389712928213819,3.1949801238578712,7.604681383559428,2.2806377414106094,0.0,0.0,1.013055369283446
2024-04-26,62.292569355255736,16.662202140617826,4.545341201622426,2.389411884832644,3.200876372429455,8.149613774414377,2.2803504387439153,0.0,0.0,0.47963483208361785
2024-04-29,62.292569355255736,16.662202140617826,4.545341201622426,2.389411884832644,3.200876372429455,8.143315039164198,2.2803504387439153,0.0,0.0,0.4859335673337974
2024-04-30,62.28809440374771,16.66325171472741,4.547727229337229,2.3895623970416713,3.201077999857818,8.143827997328978,2.280494081028475,0.0,0.0,0.485964176930713
2024-05-02,61.557747728881715,16.467870067579536,4.494403757300747,2.3615440579389873,3.1635443957949176,8.048339160249194,2.2537546007943434,0.0,1.1725301309298857,0.480266100530675
2024-05-03,61.55519307642273,16.471336659016174,4.4942172391119914,2.361446053633158,3.1634131083978314,8.04800515339896,2.253661069761366,0.0,1.1724814708165332,0.48024616944125154
