date,EMPEROR SECURITIES LTD,THEIA SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,YUET SHEUNG INTERNATIONAL SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CMB INTERNATIONAL SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-03-04,0.0,0.0,26.46551724137931,0.0,73.03448275862068,0.0,0.0,0.0,0.5,0.0
2024-03-05,0.0,0.0,14.44722453896766,0.0,39.254934667778706,46.029098322676305,0.0,0.0,0.2687424705773329,0.0
2024-03-13,0.0,0.0,14.562203405601561,0.0,38.95040476412022,46.21754908346515,0.0,0.0,0.26984274681306414,0.0
2024-03-15,0.0,0.0,14.657496049818755,0.0,38.90696161353286,46.166000557672646,0.0,0.0,0.2695417789757413,0.0
2024-03-19,0.0,0.0,14.571766633293892,0.0,38.09957222171658,47.06471284245017,0.0,0.0,0.2639483025393647,0.0
2024-04-03,0.0,0.0,14.89708949134101,0.0,37.95448363405567,46.885483724725724,0.0,0.0,0.26294314987759543,0.0
2024-04-09,0.0,0.0,14.757969303423849,0.0,38.01652892561984,46.9621287803106,0.0,0.0,0.26337299064571795,0.0
2024-04-18,0.0,0.0,14.850766578971243,0.0,37.97514288306269,46.91100426381203,0.0,0.0,0.2630862741540415,0.0
2024-04-23,0.0,0.0,19.12106850495476,0.0,36.070659198621286,44.55838000861698,0.0,0.0,0.24989228780697975,0.0
2024-04-24,0.0,0.0,18.403894636181867,0.0,36.3905068243067,44.953490393810306,0.0,0.0,0.25210814570112144,0.0
2024-04-25,0.0,0.0,14.525088789727711,0.0,38.12038976413806,47.09042892268464,0.0,0.0,0.2640925234495948,0.0
2024-04-29,0.0,0.0,20.83227176220807,0.0,35.397027600849256,43.524416135881104,0.0,0.0,0.24628450106157113,0.0
2024-04-30,0.0,0.0,25.107487628782348,0.0,33.81195749168492,40.84529893729212,0.0,0.0,0.23525594224061003,0.0
2024-05-02,0.0,0.0,25.180322554501988,0.0,33.7790744792933,40.805575816516736,0.0,0.0,0.23502714968798122,0.0
2024-05-03,0.0,0.0,25.21668691778048,0.0,33.76265694613203,40.78574321587688,0.0,0.0,0.23491292021061158,0.0
2024-05-07,0.0,0.0,25.188488042156465,0.0,33.79002837454398,40.78638021888934,0.0,0.0,0.23510336441021484,0.0
2024-05-08,0.0,0.0,24.185780752591626,0.0,34.02171251326423,41.55579136397029,0.0,0.0,0.23671537017386338,0.0
2024-05-09,0.0,0.0,24.444805987147156,0.0,33.90547466037582,41.41381273895713,0.0,0.0,0.23590661351988937,0.0
2024-05-17,0.0,0.0,35.36084626626766,0.0,29.00688983227782,35.430440531700185,0.0,0.0,0.20182336975433224,0.0
2024-05-21,0.0,0.0,36.65689149560117,0.0,28.42528814021687,34.72004364727545,0.0,0.0,0.19777671690649934,0.0
2024-05-28,0.0,0.0,31.826497491885515,0.0,24.59722632044851,30.044260843906756,0.0,0.0,0.17114192977279433,13.360873413986427
2024-05-29,0.0,0.0,31.971026441316763,0.0,24.54507979506507,29.980566515517342,0.0,0.0,0.1707791060597138,13.332548142041103
2024-05-30,0.0,0.0,31.995055042091007,0.0,24.53641019603226,29.969977041266848,0.0,0.0,0.1707187849531995,13.327838935656677
2024-05-31,0.0,0.0,32.11494387964976,0.0,24.49315390491861,29.917141681847564,0.0,0.0,0.170417817476641,13.304342716107422
2024-06-03,0.0,0.0,32.210551024000935,0.0,24.458658529429027,29.87500733525028,0.0,0.0,0.17017780646675665,13.285605304853002
2024-06-07,0.0,0.0,32.28207984055337,0.0,24.432850694647986,29.843484377747814,0.0,0.0,0.1699982413975028,13.27158684565332
2024-06-11,0.0,0.0,32.31778767283806,0.0,24.41996719006328,29.827747832200608,0.0,0.0,0.16990860089055543,13.2645887040075
2024-06-12,0.0,0.0,14.568850761721638,0.0,30.82384262683035,37.649755953261355,0.0,0.0,0.2144653157816891,16.74308534240497
2024-06-13,0.0,0.0,14.644598788237031,0.0,30.796512487069606,37.616373577656276,0.0,0.0,0.2142751588591695,16.728239988177922
2024-06-14,0.0,0.0,14.638109305760711,0.044313146233382575,30.782865583456427,37.599704579025115,0.0,0.0,0.21418020679468244,16.72082717872969
2024-06-28,0.0,0.0,14.54145267791636,0.04402054292002935,30.57960381511372,38.01173881144534,0.0,0.0,0.2127659574468085,16.610418195157738
2024-07-02,0.0,0.0,12.308589762286715,0.04375091147732244,30.39229983957999,40.53521948373924,0.0,0.0,0.2114627388070585,16.508677264109668
2024-07-03,0.0,0.0,10.741438689973357,0.8187666515043213,39.521736305153034,34.01780492559621,0.0,0.0,0.18844629280655015,14.711807134966534
2024-07-04,0.0,0.0,21.75726853349055,1.06467784844577,35.555803980386855,28.90711262472812,0.0,0.0,0.16081071669232985,12.554326296256372
2024-07-05,0.0,0.0,23.021344120563562,1.0218405647712803,36.42435846507625,27.328913021356893,0.0,0.0,0.1543405019706621,12.049203326261345
2024-07-08,0.0,0.0,24.683650684114042,0.9911404433618989,36.6618720247719,25.826435615310313,0.0,0.0,0.14970350446612013,11.687197727975724
2024-07-09,0.0,0.0,25.135756836670797,0.9847858788270216,36.426819330362015,25.6916274325237,0.0,0.0,0.1487437004478314,11.61226682116863
2024-07-10,0.0,0.0,25.31416077314632,0.989352913726777,36.59575204837276,25.285180977381742,0.0,0.0,0.14943351301081528,11.66611977436158
2024-07-11,0.0,0.0,25.243617736734357,1.3241210094687996,36.079731382037444,25.584276093806068,0.0,0.0,0.14883530726587282,11.619418470687451
2024-07-12,0.0,0.0,24.950500019634013,1.97352201418264,35.93834190955156,25.534338675809238,0.0,0.0,0.14674907284947836,11.456548307973069
2024-07-15,0.0,0.0,23.609768518736825,5.776421824972061,34.97780596566841,24.372963516591298,0.0,0.0,0.1424457762960797,11.120594397735328
2024-07-16,0.0,0.0,24.56369747820534,5.847775389286407,34.76015154314995,23.65425144966352,0.0,0.0,0.14132123857442153,11.032802901120355
2024-07-17,0.0,0.0,23.065896285198363,8.236746641141423,34.35831215863261,23.29409751845609,0.0,0.0,0.13968751613631653,10.905259880435194
2024-07-18,0.0,0.0,26.41970810540694,11.529829225317885,32.019802864221994,19.711417645157038,0.0,0.0,0.13050938623505803,10.188732773661082
2024-07-19,0.0,0.0,25.0207704255897,13.972375668433102,31.276882817339324,20.143299213198887,0.0,0.0,0.12124443279011368,9.465427442648874
2024-07-22,0.0,0.0,24.16064515660765,13.78222533369316,30.875978777187523,19.992887019073745,0.0,0.0,0.11959441492432725,11.068669298513598
2024-07-23,0.0,0.0,23.100810888229137,14.45624442832246,31.317679986935836,19.776945502635588,0.0,0.0,0.12130529178858546,11.227013902088393
2024-07-24,0.0,0.0,23.707938078660447,14.213292992606771,31.59749806355252,19.265254608943444,0.0,0.0,0.11989106945479826,11.096125186782018
2024-07-25,0.0,0.0,25.09541146785022,13.95313438136876,30.68307260378497,19.238412556129656,0.0,0.0,0.11790235928312764,10.912066631583262
2024-07-26,0.0,0.0,24.99179673471286,13.903565772101665,29.983096106097285,20.169051857555143,0.0,0.0,0.11707416010190136,10.835415369431145
2024-07-29,0.0,0.0,24.93743309062808,14.018339210293778,29.917875090474684,20.19768758632558,0.0,0.0,0.11681949341911482,10.811845528858765
2024-07-30,0.0,0.0,25.021516865003786,15.181431087163608,29.53256617655855,19.588689463945165,0.0,0.0,0.11411651154166527,10.561679895787227
